Date,Open,Close,High,Low,Volume,Amount,振幅,涨跌幅,涨跌额,换手率
2025-06-30,81.13,81.83,82.43,80.73,14716440,1283619136.0,2.1,0.93,0.75,0.07
2025-07-02,81.88,81.63,82.48,81.63,13281052,1157424000.0,1.04,-0.24,-0.2,0.06
2025-07-03,81.83,81.08,82.23,81.03,11157493,965000800.0,1.47,-0.67,-0.55,0.05
2025-07-04,81.13,80.63,81.13,80.53,17216393,1480632400.0,0.74,-0.56,-0.45,0.08
2025-07-07,80.63,80.68,81.03,80.23,12811864,1099625232.0,0.99,0.06,0.05,0.06
2025-07-08,80.73,80.73,81.13,80.43,11593217,996857104.0,0.87,0.06,0.05,0.06
2025-07-09,80.63,80.78,81.13,80.23,12289321,1056245488.0,1.11,0.06,0.05,0.06
2025-07-10,80.78,80.88,81.13,80.43,9946442,856690416.0,0.87,0.12,0.1,0.05
2025-07-11,80.88,81.73,82.43,80.88,17423768,1518881504.0,1.92,1.05,0.85,0.08
2025-07-14,81.23,81.33,82.38,81.23,13669500,1187924176.0,1.41,-0.49,-0.4,0.07
2025-07-15,81.53,81.98,82.13,81.28,10686637,928590480.0,1.05,0.8,0.65,0.05
2025-07-16,81.98,82.38,82.88,81.53,11372140,998600880.0,1.65,0.49,0.4,0.05
2025-07-17,82.23,82.08,82.78,81.83,14426719,1262195456.0,1.15,-0.36,-0.3,0.07
2025-07-18,82.58,82.08,82.58,81.48,13910970,1210882048.0,1.34,0.0,0.0,0.07
2025-07-21,82.13,81.58,82.38,81.28,17357125,1507963008.0,1.34,-0.61,-0.5,0.08
2025-07-22,81.73,81.53,81.83,81.23,20641680,1789818192.0,0.74,-0.06,-0.05,0.1
2025-07-23,81.83,82.08,82.08,81.33,26977703,2345344512.0,0.92,0.67,0.55,0.13
2025-07-24,81.83,82.03,82.38,81.53,21329408,1857640880.0,1.04,-0.06,-0.05,0.1
2025-07-25,81.73,81.28,82.08,81.23,20926067,1814885328.0,1.04,-0.91,-0.75,0.1
2025-07-28,81.53,81.53,81.68,81.08,15705495,1359193968.0,0.74,0.31,0.25,0.08
2025-07-29,81.53,81.23,81.53,80.83,15248122,1316393184.0,0.86,-0.37,-0.3,0.07
2025-07-30,81.23,81.73,81.88,80.78,21117396,1831790944.0,1.35,0.62,0.5,0.1
2025-07-31,81.58,80.83,81.73,80.73,15460685,1333779184.0,1.22,-1.1,-0.9,0.07
2025-08-01,80.78,80.63,81.38,80.63,12095658,1042533600.0,0.93,-0.25,-0.2,0.06
2025-08-04,80.63,80.23,80.93,80.08,21165849,1811928752.0,1.05,-0.5,-0.4,0.1
2025-08-05,80.13,80.33,80.38,79.78,20114028,1717659520.0,0.75,0.12,0.1,0.1
2025-08-06,80.08,80.28,80.53,80.08,15530299,1329097312.0,0.56,-0.06,-0.05,0.07
2025-08-07,80.43,80.68,80.73,80.03,21766443,1864150720.0,0.87,0.5,0.4,0.11
2025-08-08,81.23,81.63,82.03,81.13,24912441,2166662848.0,1.12,1.18,0.95,0.12
2025-08-11,81.83,82.23,82.38,81.63,16350373,1428974032.0,0.92,0.74,0.6,0.08
2025-08-12,82.48,83.03,83.28,82.13,18202016,1601354624.0,1.4,0.97,0.8,0.09
2025-08-13,83.38,83.53,83.63,82.98,19521152,1731329424.0,0.78,0.6,0.5,0.09
2025-08-14,83.58,83.13,83.88,82.98,21236484,1879603696.0,1.08,-0.48,-0.4,0.1
2025-08-15,83.08,82.98,83.08,82.43,20647091,1816696096.0,0.78,-0.18,-0.15,0.1
2025-08-18,82.98,83.18,83.83,82.63,17615360,1563063536.0,1.45,0.24,0.2,0.09
2025-08-19,83.23,82.83,83.63,82.48,16607073,1462685312.0,1.38,-0.42,-0.35,0.08
2025-08-20,82.83,83.13,83.33,82.43,12210646,1075896960.0,1.09,0.36,0.3,0.06
2025-08-21,83.13,84.13,84.43,82.78,22795296,2029750960.0,1.98,1.2,1.0,0.11
2025-08-22,84.13,84.53,84.68,84.13,20323138,1822502512.0,0.65,0.48,0.4,0.1
2025-08-25,84.73,85.08,85.33,84.13,24580945,2214146528.0,1.42,0.65,0.55,0.12
2025-08-26,84.73,84.78,85.33,84.63,16228886,1464194992.0,0.82,-0.35,-0.3,0.08
2025-08-27,85.23,83.88,85.23,83.73,16556664,1483765504.0,1.77,-1.06,-0.9,0.08
2025-08-28,83.93,84.23,84.73,83.63,21963738,1968814416.0,1.31,0.42,0.35,0.11
2025-08-29,84.33,84.18,84.58,83.83,21251069,1901335472.0,0.89,-0.06,-0.05,0.1
2025-09-01,84.98,84.03,84.98,83.53,24992006,2162814016.0,1.72,-0.18,-0.15,0.12
2025-09-02,83.73,83.08,83.93,83.08,20354349,1749376880.0,1.01,-1.13,-0.95,0.1
2025-09-03,83.08,83.18,83.73,82.58,18640814,1595159456.0,1.38,0.12,0.1,0.09
2025-09-04,83.18,82.88,83.43,82.63,15674451,1340065232.0,0.96,-0.36,-0.3,0.08
2025-09-05,82.98,83.33,83.33,82.58,17092788,1462369296.0,0.9,0.54,0.45,0.08
2025-09-08,83.23,83.08,83.48,82.48,17108488,1463358208.0,1.2,-0.3,-0.25,0.08
2025-09-09,83.08,84.23,84.48,82.93,18440625,1593070128.0,1.87,1.38,1.15,0.09
2025-09-10,84.23,84.53,84.98,83.88,13703311,1194207632.0,1.31,0.36,0.3,0.07
2025-09-11,84.53,84.78,85.33,83.98,17791293,1555110112.0,1.6,0.3,0.25,0.09
2025-09-12,85.33,85.33,85.53,84.93,11962347,1051618112.0,0.71,0.65,0.55,0.06
2025-09-15,85.48,85.13,85.48,84.63,12272342,1072363024.0,1.0,-0.23,-0.2,0.06
2025-09-16,85.08,84.58,85.13,84.53,15757053,1373871616.0,0.7,-0.65,-0.55,0.08
2025-09-17,84.53,84.08,84.93,83.88,23343918,2026063600.0,1.24,-0.59,-0.5,0.11
2025-09-18,84.08,83.68,84.43,83.33,21646744,1869799296.0,1.31,-0.48,-0.4,0.1
2025-09-19,83.53,83.43,83.83,83.18,16940957,1455141344.0,0.78,-0.3,-0.25,0.08
2025-09-22,83.43,82.88,83.43,82.63,18665998,1594257232.0,0.96,-0.66,-0.55,0.09
2025-09-23,82.68,82.63,82.98,82.18,17107492,1454112080.0,0.97,-0.3,-0.25,0.08
2025-09-24,82.63,83.18,83.48,82.48,16188806,1384404112.0,1.21,0.67,0.55,0.08
2025-09-25,83.18,82.58,83.18,82.18,20296928,1724529872.0,1.2,-0.72,-0.6,0.1
2025-09-26,82.38,82.48,82.93,81.98,12151396,1033012608.0,1.15,-0.12,-0.1,0.06
2025-09-29,83.08,82.38,83.08,81.98,21907283,1855783440.0,1.33,-0.12,-0.1,0.11
2025-09-30,82.08,81.98,82.58,81.53,19756744,1666078928.0,1.27,-0.49,-0.4,0.1
2025-10-02,82.33,82.43,82.93,82.13,6467642,550631888.0,0.98,0.55,0.45,0.03
2025-10-03,82.43,82.03,82.58,81.73,5617728,474611568.0,1.03,-0.49,-0.4,0.03
2025-10-06,81.88,81.33,81.88,81.13,10826959,908381168.0,0.91,-0.85,-0.7,0.05
2025-10-08,81.38,80.68,81.48,80.18,12555224,1044115392.0,1.6,-0.8,-0.65,0.06
2025-10-09,80.78,81.83,82.48,80.28,23162330,1949294448.0,2.73,1.43,1.15,0.11
2025-10-10,81.58,82.28,82.58,81.33,22301198,1893446448.0,1.53,0.55,0.45,0.11
2025-10-13,81.28,82.38,82.73,81.23,22068218,1867212464.0,1.82,0.12,0.1,0.11
2025-10-14,82.23,82.18,82.63,81.73,21713956,1837196192.0,1.09,-0.24,-0.2,0.1
2025-10-15,82.68,82.38,82.73,82.03,13534194,1148479120.0,0.85,0.24,0.2,0.07
2025-10-16,82.38,83.18,83.33,82.08,16506919,1411251200.0,1.52,0.97,0.8,0.08
2025-10-17,83.18,82.78,83.63,82.78,17802183,1525582240.0,1.02,-0.48,-0.4,0.09
2025-10-20,83.58,83.88,84.28,83.23,21326061,1841725024.0,1.27,1.33,1.1,0.1
2025-10-21,84.18,82.68,84.73,82.38,31454153,2698084816.0,2.8,-1.43,-1.2,0.15
2025-10-22,82.48,81.93,82.78,81.68,22876623,1936162048.0,1.33,-0.91,-0.75,0.11
2025-10-23,82.08,82.58,82.63,81.98,31381209,2664263664.0,0.79,0.79,0.65,0.15
2025-10-24,82.73,82.88,83.18,82.73,13169060,1125867296.0,0.54,0.36,0.3,0.06
2025-10-27,83.03,82.68,83.18,82.23,17959228,1528751664.0,1.15,-0.24,-0.2,0.09
2025-10-28,82.68,83.03,83.28,82.33,17465496,1491569952.0,1.15,0.42,0.35,0.08
2025-10-30,83.38,83.38,84.13,83.08,21734825,1872555616.0,1.26,0.42,0.35,0.1
2025-10-31,83.73,82.73,83.73,82.53,13303861,1137625792.0,1.44,-0.78,-0.65,0.06
2025-11-03,82.88,83.68,83.93,82.68,19203234,1651703184.0,1.51,1.15,0.95,0.09
2025-11-04,83.23,84.18,84.48,83.23,22122073,1917226608.0,1.49,0.6,0.5,0.11
2025-11-05,84.33,84.13,84.58,83.38,16865881,1457487536.0,1.43,-0.06,-0.05,0.08
2025-11-06,84.08,84.63,84.63,83.88,18766488,1632296464.0,0.89,0.59,0.5,0.09
2025-11-07,84.43,84.63,85.38,84.38,19033168,1665585856.0,1.18,0.0,0.0,0.09
2025-11-10,84.68,85.28,85.33,84.58,19276181,1688839488.0,0.89,0.77,0.65,0.09
2025-11-11,85.38,85.98,86.23,85.13,22304363,1969735072.0,1.29,0.82,0.7,0.11
2025-11-12,86.28,86.33,86.38,85.63,22984031,2036781344.0,0.87,0.41,0.35,0.11
2025-11-13,86.33,85.33,86.33,84.88,23474226,2061136096.0,1.68,-1.16,-1.0,0.11
2025-11-14,84.98,84.98,85.18,84.73,14294890,1249729280.0,0.53,-0.41,-0.35,0.07
2025-11-17,84.83,84.23,84.98,84.03,15518851,1346998880.0,1.12,-0.88,-0.75,0.07
2025-11-18,83.98,84.28,84.28,83.58,13656501,1180067056.0,0.83,0.06,0.05,0.07
2025-11-19,84.48,83.83,84.63,83.83,14578374,1260849568.0,0.95,-0.53,-0.45,0.07
2025-11-20,83.98,83.98,84.33,83.83,13929467,1205091232.0,0.6,0.18,0.15,0.07
2025-11-21,83.98,83.48,84.38,83.28,18020369,1555020208.0,1.31,-0.6,-0.5,0.09
2025-11-24,83.68,85.08,85.08,83.68,17025806,1483413232.0,1.68,1.92,1.6,0.08
2025-11-25,84.88,84.73,85.13,84.48,16145679,1409184320.0,0.76,-0.41,-0.35,0.08
2025-11-26,84.98,84.83,85.63,84.83,13153847,1153499552.0,0.94,0.12,0.1,0.06
2025-11-27,84.83,84.73,85.03,84.18,15433105,1342843776.0,1.0,-0.12,-0.1,0.07
2025-11-28,84.73,84.78,84.88,84.38,10578710,922508544.0,0.59,0.06,0.05,0.05
2025-12-01,84.73,85.23,85.33,84.58,10513559,920497248.0,0.88,0.53,0.45,0.05
2025-12-02,85.23,85.28,85.68,85.18,10421387,916128544.0,0.59,0.06,0.05,0.05
2025-12-03,85.28,84.33,85.28,84.23,11391800,991235712.0,1.23,-1.11,-0.95,0.05
