Date,Open,Close,High,Low,Volume,Amount,振幅,涨跌幅,涨跌额,换手率
2025-06-30,128.6,125.3,128.9,125.3,71889200,9110888192.0,2.78,-3.17,-4.1,1.3
2025-07-02,127.2,126.0,127.8,124.0,49628850,6241884672.0,3.03,0.56,0.7,0.9
2025-07-03,124.9,122.8,125.5,122.4,67794577,8346799616.0,2.46,-2.54,-3.2,1.23
2025-07-04,121.3,120.8,123.2,119.5,61959326,7509491456.0,3.01,-1.63,-2.0,1.12
2025-07-07,119.4,119.0,119.4,115.8,83139176,9778342912.0,2.98,-1.49,-1.8,1.5
2025-07-08,117.6,122.2,122.5,116.8,61606923,7408083968.0,4.79,2.69,3.2,1.11
2025-07-09,121.5,119.2,122.1,118.8,49539878,5953496576.0,2.7,-2.45,-3.0,0.9
2025-07-10,118.0,118.6,120.5,117.5,46874068,5569256960.0,2.52,-0.5,-0.6,0.85
2025-07-11,118.5,120.0,122.9,117.2,59292989,7178497536.0,4.81,1.18,1.4,1.07
2025-07-14,119.8,120.9,121.6,118.3,37669963,4529048576.0,2.75,0.75,0.9,0.68
2025-07-15,121.0,126.2,126.5,120.8,89410007,11134362624.0,4.71,4.38,5.3,1.62
2025-07-16,127.8,124.1,129.6,123.8,68803291,8722600960.0,4.6,-1.66,-2.1,1.24
2025-07-17,125.4,125.5,127.4,125.0,40731440,5139007488.0,1.93,1.13,1.4,0.74
2025-07-18,127.8,127.3,129.1,126.7,40295446,5145781760.0,1.91,1.43,1.8,0.73
2025-07-21,133.0,130.8,133.7,130.1,83230227,10964742656.0,2.83,2.75,3.5,1.5
2025-07-22,130.9,129.0,131.5,127.2,56136421,7223747584.0,3.29,-1.38,-1.8,1.02
2025-07-23,131.0,133.2,134.2,128.2,72661334,9599165952.0,4.65,3.26,4.2,1.31
2025-07-24,133.0,134.4,136.1,132.0,56625778,7610103552.0,3.08,0.9,1.2,1.02
2025-07-25,134.4,130.1,135.4,129.7,50780870,6669210368.0,4.24,-3.2,-4.3,0.92
2025-07-28,130.7,129.4,131.3,129.0,35482986,4606670592.0,1.77,-0.54,-0.7,0.64
2025-07-29,129.1,128.6,129.2,126.2,42962406,5473167872.0,2.32,-0.62,-0.8,0.78
2025-07-30,127.0,127.4,130.6,125.8,46172472,5921838080.0,3.73,-0.93,-1.2,0.83
2025-07-31,123.5,121.6,123.6,120.5,96061772,11712066048.0,2.43,-4.55,-5.8,1.74
2025-08-01,121.1,122.2,125.9,121.1,55437231,6844131584.0,3.95,0.49,0.6,1.0
2025-08-04,122.2,123.0,123.2,119.9,34769687,4230830240.0,2.7,0.65,0.8,0.63
2025-08-05,122.6,122.9,123.2,121.0,30068857,3676937408.0,1.79,-0.08,-0.1,0.54
2025-08-06,122.8,121.1,122.8,120.3,45089472,5459457792.0,2.03,-1.46,-1.8,0.82
2025-08-07,121.8,122.0,122.7,120.9,29091754,3543346000.0,1.49,0.74,0.9,0.53
2025-08-08,121.0,120.8,122.2,120.5,21911956,2652028112.0,1.39,-0.98,-1.2,0.4
2025-08-11,121.1,119.2,121.3,118.6,39684143,4736078336.0,2.24,-1.32,-1.6,0.72
2025-08-12,118.4,119.4,119.9,117.8,32006831,3801177312.0,1.76,0.17,0.2,0.58
2025-08-13,121.0,124.3,124.9,120.5,54998562,6772082432.0,3.69,4.1,4.9,0.99
2025-08-14,126.2,124.4,127.0,123.7,44651247,5588056832.0,2.65,0.08,0.1,0.81
2025-08-15,121.9,121.7,122.1,119.6,62448840,7555710208.0,2.01,-2.17,-2.7,1.13
2025-08-18,121.7,121.5,124.3,120.9,39442216,4836410112.0,2.79,-0.16,-0.2,0.71
2025-08-19,121.6,120.8,121.8,120.4,31105236,3760503840.0,1.15,-0.58,-0.7,0.56
2025-08-20,120.0,120.8,121.3,119.7,25371797,3057170752.0,1.32,0.0,0.0,0.46
2025-08-21,121.0,117.1,121.0,116.2,70414468,8308405504.0,3.97,-3.06,-3.7,1.27
2025-08-22,117.1,118.4,118.6,116.0,55624919,6512929280.0,2.22,1.11,1.3,1.01
2025-08-25,119.1,122.3,122.9,118.8,82491028,10023564032.0,3.46,3.29,3.9,1.49
2025-08-26,122.0,120.0,122.0,120.0,46013154,5552060160.0,1.64,-1.88,-2.3,0.83
2025-08-27,120.0,116.3,120.3,116.1,80540435,9476609024.0,3.5,-3.08,-3.7,1.46
2025-08-28,105.0,101.7,108.3,101.0,309557440,32178614272.0,6.28,-12.55,-14.6,5.6
2025-08-29,102.4,102.7,103.4,100.2,113304631,11561609216.0,3.15,0.98,1.0,2.05
2025-09-01,101.5,103.0,104.8,98.0,132661260,13474700288.0,6.62,0.29,0.3,2.4
2025-09-02,101.7,101.1,102.8,99.8,73829916,7460781824.0,2.91,-1.84,-1.9,1.33
2025-09-03,101.0,100.5,102.0,99.8,64088481,6434646016.0,2.18,-0.59,-0.6,1.16
2025-09-04,100.8,101.4,101.9,100.2,63068026,6381494784.0,1.69,0.9,0.9,1.14
2025-09-05,101.3,103.0,104.2,101.0,101979886,10505462784.0,3.16,1.58,1.6,1.84
2025-09-08,102.5,102.0,103.8,100.8,96814388,9919662592.0,2.91,-0.97,-1.0,1.75
2025-09-09,102.0,99.65,102.0,97.1,148686738,14766702080.0,4.8,-2.3,-2.35,2.69
2025-09-10,98.45,101.7,103.4,98.45,94064361,9569403392.0,4.97,2.06,2.05,1.7
2025-09-11,100.2,96.55,101.0,96.4,138996794,13560486400.0,4.52,-5.06,-5.15,2.51
2025-09-12,97.0,96.55,98.05,95.35,108406343,10499837696.0,2.8,0.0,0.0,1.96
2025-09-15,95.7,97.35,97.85,95.35,62754919,6075424256.0,2.59,0.83,0.8,1.13
2025-09-16,98.0,100.3,101.8,97.55,95908509,9604222976.0,4.37,3.03,2.95,1.73
2025-09-17,101.1,105.2,106.7,101.0,139083488,14604464128.0,5.68,4.89,4.9,2.51
2025-09-18,104.9,105.5,109.7,104.0,124934835,13341089280.0,5.42,0.29,0.3,2.26
2025-09-19,105.6,106.3,107.6,104.3,64899879,6880077312.0,3.13,0.76,0.8,1.17
2025-09-22,105.2,103.9,105.5,102.3,70033614,7253293568.0,3.01,-2.26,-2.4,1.27
2025-09-23,103.8,101.0,104.0,100.3,58944762,5970150656.0,3.56,-2.79,-2.9,1.07
2025-09-24,100.3,102.2,104.1,100.3,60736788,6227841024.0,3.76,1.19,1.2,1.1
2025-09-25,101.6,102.3,103.0,100.7,45966392,4684903424.0,2.25,0.1,0.1,0.83
2025-09-26,101.0,100.6,102.0,100.3,40317300,4072455184.0,1.66,-1.66,-1.7,0.73
2025-09-29,101.0,102.8,103.8,101.0,58610731,6018687744.0,2.78,2.19,2.2,1.06
2025-09-30,102.4,104.5,105.3,101.9,71076759,7364012800.0,3.31,1.65,1.7,1.28
2025-10-02,104.2,105.8,107.5,104.1,62226576,6630323968.0,3.25,1.24,1.3,1.12
2025-10-03,105.8,106.1,106.6,105.1,33287609,3521204992.0,1.42,0.28,0.3,0.6
2025-10-06,106.1,105.6,107.8,104.9,30205074,3206359024.0,2.73,-0.47,-0.5,0.55
2025-10-08,105.0,103.7,105.2,102.5,37052377,3824739808.0,2.56,-1.8,-1.9,0.67
2025-10-09,104.8,103.6,105.8,102.5,48363814,5030679552.0,3.18,-0.1,-0.1,0.87
2025-10-10,102.5,101.7,103.7,101.2,47852870,4885307392.0,2.41,-1.83,-1.9,0.87
2025-10-13,98.55,99.8,101.0,97.2,85317769,8463502592.0,3.74,-1.87,-1.9,1.54
2025-10-14,100.1,98.3,101.2,97.85,56742746,5626928640.0,3.36,-1.5,-1.5,1.03
2025-10-15,99.8,99.9,100.3,98.95,39259817,3914500800.0,1.37,1.63,1.6,0.71
2025-10-16,99.05,98.75,100.1,97.9,33048302,3263048048.0,2.2,-1.15,-1.15,0.6
2025-10-17,98.55,94.5,98.6,94.05,72221262,6909172224.0,4.61,-4.3,-4.25,1.31
2025-10-20,97.5,96.65,97.5,96.05,39887843,3857625360.0,1.53,2.28,2.15,0.72
2025-10-21,97.5,96.5,98.9,96.4,39365037,3838220848.0,2.59,-0.16,-0.15,0.71
2025-10-22,96.0,96.1,97.15,95.4,31999681,3075527904.0,1.81,-0.41,-0.4,0.58
2025-10-23,95.25,100.0,102.7,95.25,106954704,10621247744.0,7.75,4.06,3.9,1.93
2025-10-24,101.3,100.6,101.9,98.4,53974824,5389310208.0,3.5,0.6,0.6,0.98
2025-10-27,101.5,102.0,103.6,101.0,56223912,5750306304.0,2.58,1.39,1.4,1.02
2025-10-28,102.0,100.0,102.5,99.75,38000867,3822206064.0,2.7,-1.96,-2.0,0.69
2025-10-30,101.2,102.4,105.3,99.15,100543878,10366753536.0,6.15,2.4,2.4,1.82
2025-10-31,102.6,102.0,104.6,102.0,39102336,4024880240.0,2.54,-0.39,-0.4,0.71
2025-11-03,102.9,102.3,103.8,101.4,31041608,3181967632.0,2.35,0.29,0.3,0.56
2025-11-04,101.8,99.9,102.2,99.2,44273602,4446131968.0,2.93,-2.35,-2.4,0.8
2025-11-05,98.6,101.2,102.0,98.3,42049675,4230579008.0,3.7,1.3,1.3,0.76
2025-11-06,102.1,103.3,103.6,101.5,42887298,4413807616.0,2.08,2.08,2.1,0.78
2025-11-07,101.9,102.0,102.2,100.8,29757750,3022506736.0,1.36,-1.26,-1.3,0.54
2025-11-10,102.0,103.3,103.6,101.2,30303643,3112785552.0,2.35,1.27,1.3,0.55
2025-11-11,103.3,102.0,104.4,100.6,41269159,4197723584.0,3.68,-1.26,-1.3,0.75
2025-11-12,102.0,101.8,102.4,100.8,24968884,2537600016.0,1.57,-0.2,-0.2,0.45
2025-11-13,101.0,102.1,103.0,99.5,33815896,3421970528.0,3.44,0.29,0.3,0.61
2025-11-14,100.6,100.0,101.6,99.5,35419273,3545426576.0,2.06,-2.06,-2.1,0.64
2025-11-17,99.5,100.3,102.5,99.5,28915570,2907676032.0,3.0,0.3,0.3,0.52
2025-11-18,99.35,98.6,100.1,98.05,33786187,3335585520.0,2.04,-1.69,-1.7,0.61
2025-11-19,98.65,98.0,99.65,97.7,25108369,2468961728.0,1.98,-0.61,-0.6,0.45
2025-11-20,98.95,98.5,99.4,97.2,24966349,2453894928.0,2.24,0.51,0.5,0.45
2025-11-21,97.0,95.55,97.25,95.15,46164332,4433509376.0,2.13,-2.99,-2.95,0.83
2025-11-24,96.05,98.15,98.6,95.65,38950345,3810237344.0,3.09,2.72,2.6,0.7
2025-11-25,99.2,98.25,99.6,97.45,29485452,2900235568.0,2.19,0.1,0.1,0.53
2025-11-26,102.4,103.8,105.2,102.1,128129815,13326934272.0,3.16,5.65,5.55,2.32
2025-11-27,103.6,104.0,104.8,101.9,58022656,6003642368.0,2.79,0.19,0.2,1.05
2025-11-28,104.5,102.5,104.8,102.3,43785936,4522753792.0,2.4,-1.44,-1.5,0.79
2025-12-01,100.1,99.55,103.4,98.6,86464495,8686237184.0,4.68,-2.88,-2.95,1.56
2025-12-02,99.5,96.5,99.7,95.7,80744936,7831610624.0,4.02,-3.06,-3.05,1.46
2025-12-03,96.5,95.9,97.4,95.4,39051180,3751362896.0,2.07,-0.62,-0.6,0.71
2025-12-04,96.8,98.1,98.8,96.25,49912883,4876753408.0,2.66,2.29,2.2,0.9
2025-12-05,97.6,99.05,99.75,96.65,44529788,4375516416.0,3.16,0.97,0.95,0.8
2025-12-08,98.4,99.5,101.2,98.4,31145522,3102147104.0,2.83,0.45,0.45,0.56
2025-12-09,99.5,97.35,99.7,97.2,36058225,3530965456.0,2.51,-2.16,-2.15,0.65
2025-12-10,98.4,100.0,100.5,97.65,51497713,5117375744.0,2.93,2.72,2.65,0.93
2025-12-11,100.2,101.5,102.0,99.8,41406607,4188543776.0,2.2,1.5,1.5,0.75
2025-12-12,102.0,102.4,104.0,101.4,85213513,8775018752.0,2.56,0.89,0.9,1.54
2025-12-15,101.6,100.9,102.8,100.5,38535431,3912560224.0,2.25,-1.46,-1.5,0.7
2025-12-16,100.2,99.5,101.3,98.65,32115324,3197773760.0,2.63,-1.39,-1.4,0.58
2025-12-17,99.6,101.3,103.0,98.9,38155110,3857350656.0,4.12,1.81,1.8,0.69
2025-12-18,100.7,101.4,102.1,100.2,22759882,2299834128.0,1.88,0.1,0.1,0.41
2025-12-19,102.2,102.7,104.5,101.7,50727640,5225878016.0,2.76,1.28,1.3,0.92
2025-12-22,104.2,102.8,105.2,102.4,31556484,3259380432.0,2.73,0.1,0.1,0.57
2025-12-23,103.7,103.2,104.0,102.5,21108052,2176705968.0,1.46,0.39,0.4,0.38
2025-12-24,102.8,103.2,104.2,102.7,12043868,1245784800.0,1.45,0.0,0.0,0.22
2025-12-29,104.0,104.2,106.7,103.8,56811243,5981620224.0,2.81,0.97,1.0,1.03
2025-12-30,104.0,104.3,105.1,103.7,32946951,3440189360.0,1.34,0.1,0.1,0.6
2025-12-31,103.7,103.3,104.3,102.5,21806552,2247874000.0,1.73,-0.96,-1.0,0.39
2026-01-02,103.3,104.6,105.8,102.2,24476486,2563068464.0,3.48,1.26,1.3,0.44
2026-01-05,104.2,105.4,106.2,103.7,40887247,4296123648.0,2.39,0.76,0.8,0.74
2026-01-06,106.2,106.1,108.0,105.7,47681423,5099691008.0,2.18,0.66,0.7,0.86
2026-01-07,106.1,104.5,106.1,103.5,43863326,4570699776.0,2.45,-1.51,-1.6,0.79
2026-01-08,103.7,101.0,103.9,99.65,71725824,7253550848.0,4.07,-3.35,-3.5,1.3
2026-01-09,100.0,98.5,100.6,98.2,71605201,7076085760.0,2.38,-2.48,-2.5,1.29
2026-01-12,101.3,105.0,106.4,100.8,108743770,11309799424.0,5.69,6.6,6.5,1.97
2026-01-13,106.5,104.9,107.0,103.9,52013088,5460947200.0,2.95,-0.1,-0.1,0.94
2026-01-14,104.9,101.5,104.9,100.4,80092305,8142038528.0,4.29,-3.24,-3.4,1.45
2026-01-15,102.0,100.8,102.3,100.2,39093176,3945024960.0,2.07,-0.69,-0.7,0.71
2026-01-16,101.9,100.0,102.5,99.35,37523001,3754492448.0,3.13,-0.79,-0.8,0.68
2026-01-19,98.8,98.5,99.9,98.3,37288820,3688128608.0,1.6,-1.5,-1.5,0.67
2026-01-20,98.3,97.35,99.45,97.05,45401371,4439900160.0,2.44,-1.17,-1.15,0.82
2026-01-21,97.0,97.3,98.0,96.3,38515912,3732826128.0,1.75,-0.05,-0.05,0.7
2026-01-22,97.35,97.0,98.1,96.2,34480371,3337220656.0,1.95,-0.31,-0.3,0.62
2026-01-23,97.3,97.55,98.8,97.0,37200891,3638783232.0,1.86,0.57,0.55,0.67
