Date,Open,Close,High,Low,Volume,Amount,振幅,涨跌幅,涨跌额,换手率
2025-06-30,110.472,108.772,110.972,108.772,90192013,9964296704.0,1.98,-2.07,-2.3,0.47
2025-07-02,110.672,108.372,110.972,107.672,88248907,9684701696.0,3.03,-0.37,-0.4,0.46
2025-07-03,107.772,105.172,108.572,104.172,155395466,16470648064.0,4.06,-2.95,-3.2,0.81
2025-07-04,104.172,104.072,105.372,102.072,106812953,11171143936.0,3.14,-1.05,-1.1,0.56
2025-07-07,102.972,104.372,104.572,101.272,81216305,8464981760.0,3.17,0.29,0.3,0.43
2025-07-08,103.672,105.972,106.572,103.172,81928731,8709027584.0,3.26,1.53,1.6,0.43
2025-07-09,105.072,101.872,105.272,101.672,134137844,13950844672.0,3.4,-3.87,-4.1,0.7
2025-07-10,100.972,102.172,102.772,100.772,98855593,10134491392.0,1.96,0.29,0.3,0.52
2025-07-11,102.272,104.072,105.872,102.272,115975182,12260558592.0,3.52,1.86,1.9,0.61
2025-07-14,103.372,105.072,105.672,103.372,65552727,6943468032.0,2.21,0.96,1.0,0.34
2025-07-15,105.472,112.472,112.672,105.472,195489816,21651880448.0,6.85,7.04,7.4,1.02
2025-07-16,114.672,112.772,116.672,112.472,144295161,16700161536.0,3.73,0.27,0.3,0.76
2025-07-17,112.372,111.472,113.972,111.072,74908706,8471113728.0,2.57,-1.15,-1.3,0.39
2025-07-18,114.272,114.772,115.272,113.372,83105716,9596749312.0,1.7,2.96,3.3,0.44
2025-07-21,117.772,116.872,117.772,115.972,95474095,11260049920.0,1.57,1.83,2.1,0.5
2025-07-22,116.672,116.972,117.172,114.972,63352702,7425803520.0,1.88,0.09,0.1,0.33
2025-07-23,117.972,119.872,120.972,116.672,119661760,14368327424.0,3.68,2.48,2.9,0.63
2025-07-24,119.872,119.272,120.772,118.872,77592812,9381948672.0,1.59,-0.5,-0.6,0.41
2025-07-25,118.072,116.972,118.272,116.472,63455940,7500431360.0,1.51,-1.93,-2.3,0.33
2025-07-28,118.472,119.572,120.672,117.872,69215231,8337951744.0,2.39,2.22,2.6,0.36
2025-07-29,118.172,119.672,119.972,117.072,59019387,7050020864.0,2.43,0.08,0.1,0.31
2025-07-30,116.672,116.072,118.572,116.072,88754280,10470600960.0,2.09,-3.01,-3.6,0.47
2025-07-31,114.972,114.672,116.972,113.272,97698587,11334093056.0,3.19,-1.21,-1.4,0.51
2025-08-01,116.772,115.872,118.272,115.672,75031091,8850693120.0,2.27,1.05,1.2,0.39
2025-08-04,114.472,115.172,115.672,113.672,50516068,5852281856.0,1.73,-0.6,-0.7,0.26
2025-08-05,115.072,114.972,115.272,113.572,52371110,6050231808.0,1.48,-0.17,-0.2,0.27
2025-08-06,114.572,115.672,118.172,114.072,73715023,8636796160.0,3.57,0.61,0.7,0.39
2025-08-07,118.072,118.172,118.772,116.872,66845112,7959246848.0,1.64,2.16,2.5,0.35
2025-08-08,117.572,115.272,117.572,115.072,60373207,7063571968.0,2.12,-2.45,-2.9,0.32
2025-08-11,116.972,117.472,117.972,115.872,43065055,5086535168.0,1.82,1.91,2.2,0.23
2025-08-12,115.772,115.572,116.472,115.072,55676119,6496837120.0,1.19,-1.62,-1.9,0.29
2025-08-13,118.972,122.672,122.772,118.172,150500459,18308914944.0,3.98,6.14,7.1,0.79
2025-08-14,123.772,120.772,124.172,119.972,83916791,10311184896.0,3.42,-1.55,-1.9,0.44
2025-08-15,118.272,117.072,118.772,116.772,110541625,13097069056.0,1.66,-3.06,-3.7,0.58
2025-08-18,117.272,117.572,119.772,117.272,76093381,9087497728.0,2.14,0.43,0.5,0.4
2025-08-19,117.372,117.272,118.672,116.872,55732895,6612360192.0,1.53,-0.26,-0.3,0.29
2025-08-20,116.172,116.472,116.972,115.072,62830049,7348177152.0,1.62,-0.68,-0.8,0.33
2025-08-21,116.272,114.672,116.572,113.972,66716053,7746247680.0,2.23,-1.55,-1.8,0.35
2025-08-22,114.472,116.972,117.272,114.272,73604857,8619159552.0,2.62,2.01,2.3,0.39
2025-08-25,119.372,123.472,124.972,119.372,162992103,20176124416.0,4.79,5.56,6.5,0.85
2025-08-26,120.972,120.272,122.872,120.072,90253630,11045100032.0,2.27,-2.59,-3.2,0.47
2025-08-27,120.272,120.472,123.272,119.972,114213258,13972168960.0,2.74,0.17,0.2,0.6
2025-08-28,118.072,114.772,118.272,114.572,171962832,20064065536.0,3.07,-4.73,-5.7,0.9
2025-08-29,115.772,114.672,117.972,114.672,110429482,12885953536.0,2.88,-0.09,-0.1,0.58
2025-09-01,131.972,136.072,136.972,131.972,404948192,54916950784.0,4.36,18.66,21.4,2.12
2025-09-02,138.872,133.672,138.872,133.672,166594096,22727724800.0,3.82,-1.76,-2.4,0.87
2025-09-03,135.472,133.072,136.772,131.972,104631522,14119905280.0,3.59,-0.45,-0.6,0.55
2025-09-04,133.272,128.772,133.772,127.472,148595855,19356945408.0,4.73,-3.23,-4.3,0.78
2025-09-05,127.472,130.772,131.972,127.072,127450276,16688212224.0,3.81,1.55,2.0,0.67
2025-09-08,132.172,136.272,136.972,132.072,147299900,20077519616.0,3.75,4.21,5.5,0.77
2025-09-09,137.572,140.872,141.772,136.972,181120225,25571992832.0,3.52,3.38,4.6,0.95
2025-09-10,143.672,141.772,146.872,141.572,181722198,26367188480.0,3.76,0.64,0.9,0.95
2025-09-11,139.872,142.272,145.472,138.072,174456621,24964367872.0,5.22,0.35,0.5,0.91
2025-09-12,150.672,150.072,152.772,149.072,170663495,25931662336.0,2.6,5.48,7.8,0.89
2025-09-15,149.372,153.572,155.772,149.072,146193613,22604762112.0,4.46,2.33,3.5,0.77
2025-09-16,152.972,152.472,155.772,151.472,111088746,17147548928.0,2.8,-0.72,-1.1,0.58
2025-09-17,156.672,160.572,161.272,155.672,156646724,25103703808.0,3.67,5.31,8.1,0.82
2025-09-18,161.072,157.372,163.772,155.272,209809246,33703773952.0,5.29,-1.99,-3.2,1.1
2025-09-19,157.872,158.072,161.772,155.572,138827373,22168296960.0,3.94,0.44,0.7,0.73
2025-09-22,156.572,158.172,160.472,156.272,103208970,16452375808.0,2.66,0.06,0.1,0.54
2025-09-23,158.972,158.372,162.072,155.672,119175251,19010074368.0,4.05,0.13,0.2,0.62
2025-09-24,157.472,172.972,173.872,156.572,261023658,44091254784.0,10.92,9.22,14.6,1.37
2025-09-25,172.972,170.972,176.772,170.072,172333447,30033316352.0,3.87,-1.16,-2.0,0.9
2025-09-26,167.372,165.472,170.872,163.972,152987253,25743281408.0,4.04,-3.22,-5.5,0.8
2025-09-29,165.872,172.372,173.272,165.872,134259119,23097912320.0,4.47,4.17,6.9,0.7
2025-09-30,175.572,175.972,176.972,172.672,135460219,23892748800.0,2.49,2.09,3.6,0.71
2025-10-02,178.672,182.072,183.972,178.072,96036992,17573327616.0,3.35,3.47,6.1,0.5
2025-10-03,183.972,184.072,185.172,182.272,56780997,10471400448.0,1.59,1.1,2.0,0.3
2025-10-06,180.772,179.472,182.772,178.772,49211980,8914874880.0,2.17,-2.5,-4.6,0.26
2025-10-08,177.072,176.572,177.272,172.472,75252197,13249751040.0,2.67,-1.62,-2.9,0.39
2025-10-09,177.972,172.272,177.972,170.472,158029622,27615986176.0,4.25,-2.44,-4.3,0.83
2025-10-10,168.072,164.372,169.272,163.772,186753966,31172922880.0,3.19,-4.59,-7.9,0.98
2025-10-13,157.972,161.572,162.572,155.072,282816640,45255101696.0,4.56,-1.7,-2.8,1.48
2025-10-14,163.772,154.572,165.072,152.972,201534774,32056081152.0,7.49,-4.33,-7.0,1.06
2025-10-15,157.672,160.572,161.672,155.072,111159729,17818995712.0,4.27,3.88,6.0,0.58
2025-10-16,161.572,160.172,163.172,157.572,73190193,11792460032.0,3.49,-0.25,-0.4,0.38
2025-10-17,159.972,153.372,159.972,151.972,133552318,20779808256.0,4.99,-4.25,-6.8,0.7
2025-10-20,161.072,160.872,161.872,158.972,98042110,15824574976.0,1.89,4.89,7.5,0.51
2025-10-21,166.472,164.072,167.972,163.772,110624314,18485325824.0,2.61,1.99,3.2,0.58
2025-10-22,161.672,160.872,162.572,158.972,67640668,10948293888.0,2.19,-1.95,-3.2,0.35
2025-10-23,160.872,163.572,164.472,158.072,86447894,14053583872.0,3.98,1.68,2.7,0.45
2025-10-24,166.972,167.272,168.272,165.572,84064278,14125844992.0,1.65,2.26,3.7,0.44
2025-10-27,173.772,172.572,173.972,171.072,96795907,16798028544.0,1.73,3.17,5.3,0.51
2025-10-28,172.972,169.972,173.172,168.472,78492657,13467272960.0,2.72,-1.51,-2.6,0.41
2025-10-30,172.372,171.072,173.772,167.972,112254088,19352270080.0,3.41,0.65,1.1,0.59
2025-10-31,168.772,164.072,169.572,164.072,97457096,16298385408.0,3.22,-4.09,-7.0,0.51
2025-11-03,163.872,162.172,165.272,160.472,74773287,12210171392.0,2.93,-1.16,-1.9,0.39
2025-11-04,162.972,157.972,162.972,157.072,89529769,14354452992.0,3.64,-2.59,-4.2,0.47
2025-11-05,155.572,157.472,158.272,153.172,94071358,14714389760.0,3.23,-0.32,-0.5,0.49
2025-11-06,159.772,163.972,164.272,158.872,83528391,13600934144.0,3.43,4.13,6.5,0.44
2025-11-07,162.172,159.072,162.172,157.872,66709927,10713546240.0,2.62,-2.99,-4.9,0.35
2025-11-10,161.772,162.372,163.172,159.372,57596575,9360847616.0,2.39,2.07,3.3,0.3
2025-11-11,160.472,159.372,161.372,157.572,73054852,11669988096.0,2.34,-1.85,-3.0,0.38
2025-11-12,156.072,155.772,157.372,154.172,96741580,15147545344.0,2.01,-2.26,-3.6,0.51
2025-11-13,152.872,160.972,164.972,152.272,155447392,24785001728.0,8.15,3.34,5.2,0.81
2025-11-14,155.472,153.872,157.372,153.472,101354219,15847725824.0,2.42,-4.41,-7.1,0.53
2025-11-17,151.272,153.872,156.972,151.072,113907864,17641626880.0,3.83,0.0,0.0,0.6
2025-11-18,152.172,153.572,157.372,152.172,102880519,16010863872.0,3.38,-0.19,-0.3,0.54
2025-11-19,154.772,155.372,156.872,154.072,71141046,11135128064.0,1.82,1.17,1.8,0.37
2025-11-20,157.272,153.772,158.772,152.972,65486765,10209807104.0,3.73,-1.03,-1.6,0.34
2025-11-21,148.972,146.572,149.572,145.872,141043093,20975029504.0,2.41,-4.68,-7.2,0.74
2025-11-24,146.772,153.472,155.272,146.772,199790253,30721048064.0,5.8,4.71,6.9,1.05
2025-11-25,157.972,156.772,159.472,152.372,147102629,23217856512.0,4.63,2.15,3.3,0.77
2025-11-26,152.972,153.772,156.972,152.372,110863259,17256390656.0,2.93,-1.91,-3.0,0.58
2025-11-27,152.972,149.572,153.872,149.072,103303822,15705984512.0,3.12,-2.73,-4.2,0.54
2025-11-28,150.772,150.472,152.172,149.972,66572166,10111443968.0,1.47,0.6,0.9,0.35
2025-12-01,151.972,153.872,155.872,150.972,93259220,14494289920.0,3.26,2.26,3.4,0.49
2025-12-02,159.072,155.972,159.072,155.272,74133971,11717077248.0,2.47,1.36,2.1,0.39
2025-12-03,154.772,152.572,155.572,152.072,54076752,8332496384.0,2.24,-2.18,-3.4,0.28
2025-12-04,152.072,153.372,154.072,151.472,57110210,8771618560.0,1.7,0.52,0.8,0.3
2025-12-05,152.172,153.972,154.072,151.572,78815068,12166046464.0,1.63,0.39,0.6,0.41
2025-12-08,153.972,152.372,154.472,151.772,75226835,11582000640.0,1.75,-1.04,-1.6,0.39
2025-12-09,154.072,149.872,155.772,149.372,69789164,10648884224.0,4.2,-1.64,-2.5,0.37
2025-12-10,149.472,152.172,152.372,148.572,61369895,9321713408.0,2.54,1.53,2.3,0.32
2025-12-11,153.972,149.572,154.472,149.472,59433982,9052893696.0,3.29,-1.71,-2.6,0.31
2025-12-12,151.672,153.072,153.072,149.772,88532981,13539596544.0,2.21,2.34,3.5,0.46
2025-12-15,149.772,147.572,150.672,147.472,94298860,14139023872.0,2.09,-3.59,-5.5,0.49
2025-12-16,145.872,143.172,145.972,140.572,118119058,16974022144.0,3.66,-2.98,-4.4,0.62
2025-12-17,143.172,144.972,146.272,142.072,60486179,8790893824.0,2.93,1.26,1.8,0.32
2025-12-18,142.072,143.072,143.872,141.872,47014025,6764239872.0,1.38,-1.31,-1.9,0.25
2025-12-19,143.972,144.272,145.672,143.172,70392591,10237987328.0,1.75,0.84,1.2,0.37
2025-12-22,144.972,145.372,147.472,143.972,58877432,8625656064.0,2.43,0.76,1.1,0.31
2025-12-23,145.672,146.172,146.972,145.372,47601549,7009550848.0,1.1,0.55,0.8,0.25
2025-12-24,145.972,144.972,147.072,144.072,28967695,4234823632.0,2.05,-0.82,-1.2,0.15
2025-12-29,146.072,142.272,147.472,142.272,62656820,9131340544.0,3.59,-1.86,-2.7,0.33
2025-12-30,142.272,143.472,144.672,142.172,60201594,8701232640.0,1.76,0.84,1.2,0.32
2025-12-31,142.672,141.772,142.772,141.372,35628222,5089590784.0,0.98,-1.18,-1.7,0.19
2026-01-02,142.172,147.972,148.672,141.872,48902470,7215810304.0,4.8,4.37,6.2,0.26
2026-01-05,150.072,151.772,152.772,148.972,102834720,15681695744.0,2.57,2.57,3.8,0.54
2026-01-06,149.872,149.772,152.172,149.472,112004139,16966606080.0,1.78,-1.32,-2.0,0.59
2026-01-07,146.072,144.872,146.772,142.472,149677478,21758990592.0,2.87,-3.27,-4.9,0.78
2026-01-08,142.572,141.572,143.872,139.972,107421412,15345323776.0,2.69,-2.28,-3.3,0.56
2026-01-09,146.972,145.472,148.472,144.872,115234256,17002974208.0,2.54,2.75,3.9,0.6
2026-01-12,145.872,153.272,153.572,144.972,164580300,25051108864.0,5.91,5.36,7.8,0.86
2026-01-13,160.972,158.872,162.972,156.372,153153842,24540402176.0,4.31,3.65,5.6,0.8
2026-01-14,162.772,167.972,168.772,161.072,244622843,40785747200.0,4.85,5.73,9.1,1.28
2026-01-15,167.872,163.572,169.072,162.072,133061563,22058494208.0,4.17,-2.62,-4.4,0.7
2026-01-16,166.872,165.172,167.672,163.972,79370877,13213026048.0,2.26,0.98,1.6,0.42
2026-01-19,160.972,159.372,161.472,159.072,72500898,11677672960.0,1.45,-3.51,-5.8,0.38
2026-01-20,158.772,158.672,161.172,157.572,55456218,8868225792.0,2.26,-0.44,-0.7,0.29
2026-01-21,157.272,162.172,163.872,157.272,67441221,10924846848.0,4.16,2.21,3.5,0.35
2026-01-22,164.972,163.772,165.472,161.772,59810988,9836717312.0,2.28,0.99,1.6,0.31
2026-01-23,170.172,167.472,170.972,167.272,93252549,15805617920.0,2.26,2.26,3.7,0.49
2026-01-26,168.472,164.172,169.172,163.472,67819829,11255344128.0,3.4,-1.97,-3.3,0.36
2026-01-27,165.772,168.872,168.872,163.872,73661350,12414178304.0,3.05,2.86,4.7,0.39
2026-01-28,169.472,172.472,172.772,167.572,102209414,17569439744.0,3.08,2.13,3.6,0.54
2026-01-29,170.072,172.272,173.172,169.272,67539478,11666256896.0,2.26,-0.12,-0.2,0.35
2026-01-30,168.972,168.172,169.672,165.972,75134065,12703476224.0,2.15,-2.38,-4.1,0.39
2026-02-02,163.672,162.272,166.872,159.972,100747598,16482826496.0,4.1,-3.51,-5.9,0.53
2026-02-03,164.372,159.972,164.972,154.172,111086312,17742273792.0,6.66,-1.42,-2.3,0.58
2026-02-04,158.372,158.472,161.272,156.072,71689072,11420543488.0,3.25,-0.94,-1.5,0.38
2026-02-05,154.472,158.572,159.372,152.972,89720504,14067922176.0,4.04,0.06,0.1,0.47
2026-02-06,152.472,153.972,155.772,152.172,78125091,12098851328.0,2.27,-2.9,-4.6,0.41
2026-02-09,158.472,156.872,159.172,156.572,58582947,9290992896.0,1.69,1.88,2.9,0.31
2026-02-10,158.672,159.472,161.572,157.672,58402811,9385856512.0,2.49,1.66,2.6,0.31
2026-02-11,160.272,159.072,161.672,158.572,51639528,8312329216.0,1.94,-0.25,-0.4,0.27
2026-02-12,156.872,157.572,158.472,155.072,56768511,8953857536.0,2.14,-0.94,-1.5,0.3
2026-02-13,152.972,154.372,155.372,152.872,69945660,10844812800.0,1.59,-2.03,-3.2,0.37
2026-02-16,151.572,153.672,153.872,149.472,29215118,4460519936.0,2.85,-0.45,-0.7,0.15
2026-02-20,148.972,146.072,150.672,146.072,70273864,10443089408.0,2.99,-4.95,-7.6,0.37
2026-02-23,149.072,151.172,152.272,148.472,44852186,6820099072.0,2.6,3.49,5.1,0.23
