attempt,model,model_cn,roc_auc,auc_ci_low,auc_ci_high,auc_ci
截面60日排名,logistic_regression,逻辑回归,0.5086519757280143,0.2638404346582785,0.6789590708288229,0.264—0.679
截面60日排名,decision_tree,决策树,0.4771433963359753,0.3073027718550106,0.5723151293441338,0.307—0.572
截面60日排名,random_forest,随机森林,0.532764277211625,0.2977150924912118,0.6842206689312766,0.298—0.684
20日绝对涨跌,logistic_regression,逻辑回归,0.5289815875817598,0.4993168843734881,0.5867838790504099,0.499—0.587
20日绝对涨跌,decision_tree,决策树,0.4903525191632918,0.4087363494539781,0.5762649560207188,0.409—0.576
20日绝对涨跌,random_forest,随机森林,0.4920393158864935,0.4166056698489391,0.6193399217653388,0.417—0.619
宁德时代20日超额收益,logistic_regression,逻辑回归,0.368695652173913,0.1562065972222222,0.5856778996865204,0.156—0.586
宁德时代20日超额收益,decision_tree,决策树,0.5243478260869565,0.34918430335097,0.6913313094429347,0.349—0.691
宁德时代20日超额收益,random_forest,随机森林,0.4,0.1781120312859443,0.6206409801136363,0.178—0.621
宁德时代20日超额收益,gradient_boosting,梯度提升,0.4495652173913043,0.2315996503496503,0.6574184303350968,0.232—0.657
