Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,PctChg,涨跌额,Turnover
2025-08-20,000001,11.215,11.225,11.275,11.135,1048739.0,,,,,
2025-08-21,000001,11.205,11.305,11.345,11.185,1217418.0,,1.4254,0.7127,0.08,
2025-08-22,000001,11.305,11.215,11.325,11.135,1644260.0,,1.6807,-0.7961,-0.09,
2025-08-25,000001,11.275,11.605,11.685,11.255,3045088.0,,3.8342,3.4775,0.39,
2025-08-26,000001,11.605,11.515,11.655,11.455,1383599.0,,1.7234,-0.7755,-0.09,
2025-08-27,000001,11.475,11.215,11.515,11.205,1860050.0,,2.6921,-2.6053,-0.3,
2025-08-28,000001,11.245,11.235,11.295,11.125,1653588.0,,1.5158,0.1783,0.02,
2025-08-29,000001,11.205,11.205,11.375,11.185,1805126.0,,1.6911,-0.267,-0.03,
2025-09-01,000001,11.205,11.045,11.205,11.005,1858459.0,,1.7849,-1.4279,-0.16,
2025-09-02,000001,11.005,11.135,11.145,10.995,1492716.0,,1.3581,0.8148,0.09,
2025-09-03,000001,11.135,10.905,11.165,10.895,1367232.0,,2.4248,-2.0656,-0.23,
2025-09-04,000001,10.915,10.895,10.925,10.755,1295300.0,,1.5589,-0.0917,-0.01,
2025-09-05,000001,10.885,10.875,10.895,10.785,819662.0,,1.0096,-0.1836,-0.02,
2025-09-08,000001,10.865,10.855,10.935,10.825,924431.0,,1.0115,-0.1839,-0.02,
2025-09-09,000001,10.865,10.905,10.935,10.835,860539.0,,0.9212,0.4606,0.05,
2025-09-10,000001,10.895,10.925,10.945,10.865,792668.0,,0.7336,0.1834,0.02,
2025-09-11,000001,10.925,11.005,11.005,10.865,963932.0,,1.2815,0.7323,0.08,
2025-09-12,000001,10.985,10.875,11.035,10.855,940385.0,,1.6356,-1.1813,-0.13,
2025-09-15,000001,10.855,10.805,10.875,10.785,840387.0,,0.8276,-0.6437,-0.07,
2025-09-16,000001,10.815,10.795,10.865,10.765,708048.0,,0.9255,-0.0925,-0.01,
2025-09-17,000001,10.795,10.795,10.825,10.735,771129.0,,0.8337,0.0,0.0,
2025-09-18,000001,10.805,10.565,10.815,10.535,1386160.0,,2.5938,-2.1306,-0.23,
2025-09-19,000001,10.565,10.605,10.665,10.525,834651.0,,1.3251,0.3786,0.04,
2025-09-22,000001,10.595,10.535,10.625,10.525,596402.0,,0.943,-0.6601,-0.07,
2025-09-23,000001,10.525,10.675,10.735,10.475,1341430.0,,2.468,1.3289,0.14,
2025-09-24,000001,10.665,10.615,10.775,10.585,1139583.0,,1.7799,-0.5621,-0.06,
2025-09-25,000001,10.585,10.555,10.625,10.515,773276.0,,1.0363,-0.5652,-0.06,
2025-09-26,000001,10.545,10.555,10.595,10.475,753239.0,,1.1369,0.0,0.0,
2025-09-29,000001,10.555,10.525,10.635,10.425,1176012.0,,1.9896,-0.2842,-0.03,
2025-09-30,000001,10.525,10.495,10.525,10.445,832479.0,,0.7601,-0.285,-0.03,
2025-10-09,000001,10.485,10.555,10.565,10.425,1047469.0,,1.334,0.5717,0.06,
2025-10-10,000001,10.525,10.585,10.645,10.515,1087948.0,,1.2316,0.2842,0.03,
2025-10-13,000001,10.475,10.555,10.615,10.435,1168802.0,,1.7005,-0.2834,-0.03,
2025-10-14,000001,10.545,10.725,10.755,10.515,1843428.0,,2.2738,1.6106,0.17,
2025-10-15,000001,10.731,10.791,10.811,10.651,1271061.0,,1.4918,0.6154,0.066,
2025-10-16,000001,10.771,10.931,10.941,10.751,1261937.0,,1.7607,1.2974,0.14,
2025-10-17,000001,10.891,10.791,10.971,10.771,1039666.0,,1.8297,-1.2808,-0.14,
2025-10-20,000001,10.801,10.811,10.841,10.661,952641.0,,1.6681,0.1853,0.02,
2025-10-21,000001,10.791,10.821,10.861,10.781,761165.0,,0.74,0.0925,0.01,
2025-10-22,000001,10.791,10.911,10.931,10.791,833703.0,,1.2938,0.8317,0.09,
2025-10-23,000001,10.911,11.021,11.101,10.891,1373112.0,,1.9247,1.0082,0.11,
2025-10-24,000001,10.991,10.951,11.071,10.941,980475.0,,1.1796,-0.6352,-0.07,
2025-10-27,000001,10.931,10.911,11.001,10.831,1239485.0,,1.5524,-0.3653,-0.04,
2025-10-28,000001,10.921,10.861,10.971,10.811,821568.0,,1.4664,-0.4583,-0.05,
2025-10-29,000001,10.851,10.781,10.851,10.751,966214.0,,0.9207,-0.7366,-0.08,
2025-10-30,000001,10.771,10.771,10.861,10.751,943770.0,,1.0203,-0.0928,-0.01,
2025-10-31,000001,10.771,10.711,10.791,10.691,970193.0,,0.9284,-0.5571,-0.06,
2025-11-03,000001,10.731,10.821,10.831,10.691,952326.0,,1.3071,1.027,0.11,
2025-11-04,000001,10.811,10.981,11.031,10.791,1503007.0,,2.2179,1.4786,0.16,
2025-11-05,000001,10.981,10.911,10.991,10.891,794926.0,,0.9107,-0.6375,-0.07,
2025-11-06,000001,10.891,10.901,10.971,10.861,766585.0,,1.0082,-0.0917,-0.01,
2025-11-07,000001,10.911,10.941,10.971,10.891,734851.0,,0.7339,0.3669,0.04,
2025-11-10,000001,10.911,11.021,11.031,10.841,827208.0,,1.7366,0.7312,0.08,
2025-11-11,000001,11.011,11.061,11.081,10.961,886509.0,,1.0888,0.3629,0.04,
2025-11-12,000001,11.091,11.071,11.181,11.041,1141325.0,,1.2657,0.0904,0.01,
2025-11-13,000001,11.071,11.091,11.111,10.961,978991.0,,1.3549,0.1807,0.02,
2025-11-14,000001,11.061,11.141,11.231,11.051,1316995.0,,1.6229,0.4508,0.05,
2025-11-17,000001,11.141,11.061,11.141,11.011,995233.0,,1.1669,-0.7181,-0.08,
2025-11-18,000001,11.041,10.981,11.081,10.961,670077.0,,1.0849,-0.7233,-0.08,
2025-11-19,000001,10.971,11.191,11.221,10.961,1334996.0,,2.3677,1.9124,0.21,
2025-11-20,000001,11.181,11.241,11.381,11.131,1637040.0,,2.2339,0.4468,0.05,
2025-11-21,000001,11.191,11.081,11.271,11.051,1465359.0,,1.9571,-1.4234,-0.16,
2025-11-24,000001,11.091,10.991,11.121,10.991,1117119.0,,1.1732,-0.8122,-0.09,
2025-11-25,000001,11.001,11.191,11.191,10.971,1028081.0,,2.0016,1.8197,0.2,
2025-11-26,000001,11.201,11.081,11.241,11.041,821301.0,,1.7872,-0.9829,-0.11,
2025-11-27,000001,11.051,11.101,11.101,10.971,1011847.0,,1.1732,0.1805,0.02,
2025-11-28,000001,11.061,11.001,11.071,10.971,884358.0,,0.9008,-0.9008,-0.1,
2025-12-01,000001,10.991,11.081,11.091,10.921,1037323.0,,1.5453,0.7272,0.08,
2025-12-02,000001,11.071,11.031,11.121,10.981,768060.0,,1.2634,-0.4512,-0.05,
2025-12-03,000001,11.031,10.941,11.091,10.931,944601.0,,1.4505,-0.8159,-0.09,
2025-12-04,000001,10.941,10.881,10.971,10.851,886090.0,,1.0968,-0.5484,-0.06,
2025-12-05,000001,10.881,10.921,10.931,10.791,890766.0,,1.2866,0.3676,0.04,
2025-12-08,000001,10.881,10.911,10.991,10.871,855899.0,,1.0988,-0.0916,-0.01,
2025-12-09,000001,10.911,10.821,10.931,10.821,733957.0,,1.0082,-0.8249,-0.09,
2025-12-10,000001,10.831,10.721,10.851,10.681,1044065.0,,1.571,-0.9241,-0.1,
2025-12-11,000001,10.741,10.761,10.781,10.691,925261.0,,0.8395,0.3731,0.04,
2025-12-12,000001,10.761,10.741,10.821,10.691,1191895.0,,1.2081,-0.1859,-0.02,
2025-12-15,000001,10.731,10.901,10.931,10.721,940833.0,,1.9551,1.4896,0.16,
2025-12-16,000001,10.881,10.871,10.941,10.831,647351.0,,1.0091,-0.2752,-0.03,
2025-12-17,000001,10.861,10.921,10.971,10.811,701495.0,,1.4718,0.4599,0.05,
2025-12-18,000001,10.901,11.031,11.041,10.871,790467.0,,1.5566,1.0072,0.11,
2025-12-19,000001,11.021,11.011,11.041,10.971,649886.0,,0.6346,-0.1813,-0.02,
2025-12-22,000001,11.001,10.911,11.001,10.901,742369.0,,0.9082,-0.9082,-0.1,
2025-12-23,000001,10.911,10.951,10.991,10.891,666266.0,,0.9165,0.3666,0.04,
2025-12-24,000001,10.941,10.931,10.971,10.881,505244.0,,0.8218,-0.1826,-0.02,
2025-12-25,000001,10.931,10.951,11.011,10.911,547455.0,,0.9148,0.183,0.02,
2025-12-26,000001,10.951,10.931,10.981,10.921,436340.0,,0.5479,-0.1826,-0.02,
2025-12-29,000001,10.931,10.951,11.011,10.891,648295.0,,1.0978,0.183,0.02,
2025-12-30,000001,10.921,10.871,10.951,10.841,582584.0,,1.0045,-0.7305,-0.08,
2025-12-31,000001,10.871,10.801,10.881,10.791,590620.0,,0.8279,-0.6439,-0.07,
2026-01-05,000001,10.811,10.891,10.901,10.801,875491.0,,0.9258,0.8333,0.09,
2026-01-06,000001,10.891,11.061,11.071,10.871,1304648.0,,1.8364,1.5609,0.17,
2026-01-07,000001,11.051,11.031,11.211,11.011,966236.0,,1.8082,-0.2712,-0.03,
2026-01-08,000001,11.031,10.901,11.041,10.881,1100085.0,,1.4505,-1.1785,-0.13,
2026-01-09,000001,10.921,10.851,10.921,10.831,983390.0,,0.8256,-0.4587,-0.05,
2026-01-12,000001,10.841,10.871,10.881,10.811,855213.0,,0.6451,0.1843,0.02,
2026-01-13,000001,10.871,10.861,10.931,10.831,1061541.0,,0.9199,-0.092,-0.01,
2026-01-14,000001,10.861,10.751,10.861,10.741,1274757.0,,1.1049,-1.0128,-0.11,
2026-01-15,000001,10.721,10.701,10.761,10.691,884960.0,,0.6511,-0.4651,-0.05,
2026-01-16,000001,10.731,10.581,10.731,10.551,1119473.0,,1.6821,-1.1214,-0.12,
2026-01-19,000001,10.541,10.511,10.601,10.501,804741.0,,0.9451,-0.6616,-0.07,
2026-01-20,000001,10.511,10.551,10.591,10.501,772276.0,,0.8562,0.3806,0.04,
2026-01-21,000001,10.541,10.461,10.571,10.451,900125.0,,1.1373,-0.853,-0.09,
2026-01-22,000001,10.461,10.461,10.541,10.441,788635.0,,0.9559,0.0,0.0,
2026-01-23,000001,10.461,10.381,10.481,10.371,1109994.0,,1.0515,-0.7647,-0.08,
2026-01-26,000001,10.371,10.351,10.451,10.311,1106247.0,,1.3486,-0.289,-0.03,
2026-01-27,000001,10.351,10.331,10.421,10.321,894091.0,,0.9661,-0.1932,-0.02,
2026-01-28,000001,10.331,10.231,10.381,10.211,1438766.0,,1.6455,-0.968,-0.1,
2026-01-29,000001,10.231,10.351,10.371,10.051,1852994.0,,3.1277,1.1729,0.12,
2026-01-30,000001,10.331,10.221,10.421,10.221,1091755.0,,1.9322,-1.2559,-0.13,
