Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,PctChg,涨跌额,Turnover
2025-05-29,002594,118.54,119.05,120.68,117.04,192061,6942900394.87,3.04,-0.49,-0.59,1.65
2025-05-30,002594,117.68,116.11,118.28,115.78,190560,6733498590.72,2.1,-2.47,-2.94,1.64
2025-06-03,002594,115.76,117.34,118.01,115.01,181893,6453885813.19,2.58,1.06,1.23,1.56
2025-06-04,002594,118.51,118.85,120.12,118.06,146904,5311224036.65,1.76,1.29,1.51,1.26
2025-06-05,002594,119.47,118.93,119.59,117.35,108613,3908084317.51,1.88,0.07,0.08,0.93
2025-06-06,002594,119.01,118.66,119.47,117.84,89698,3228098167.59,1.37,-0.23,-0.27,0.77
2025-06-09,002594,117.38,114.72,117.48,113.71,255091,8932441522.56,3.18,-3.32,-3.94,2.19
2025-06-10,002594,115.21,116.39,117.01,114.75,171786,6042960183.12,1.97,1.46,1.67,1.48
2025-06-11,002594,116.68,119.34,120.67,116.68,203107,7326544793.73,3.43,2.53,2.95,1.75
2025-06-12,002594,118.64,116.42,118.64,116.35,144047,5117764843.95,1.92,-2.45,-2.92,1.24
2025-06-13,002594,115.18,114.01,115.31,112.51,210240,7256548253.58,2.41,-2.07,-2.41,1.81
2025-06-16,002594,114.01,113.49,114.36,112.28,102284,3508947839.19,1.82,-0.46,-0.52,0.88
2025-06-17,002594,113.34,113.26,114.14,112.81,70045,2408912943.95,1.17,-0.2,-0.23,0.6
2025-06-18,002594,112.95,114.33,115.08,112.67,102897,3565398001.68,2.13,0.94,1.07,0.89
2025-06-19,002594,113.35,112.18,113.77,112.13,100381,3437688886.94,1.43,-1.88,-2.15,0.86
2025-06-20,002594,112.02,112.09,113.0,111.94,73538,2507526429.81,0.94,-0.08,-0.09,0.63
2025-06-23,002594,110.96,111.41,111.91,109.88,94593,3185477391.05,1.81,-0.61,-0.68,0.81
2025-06-24,002594,112.42,113.14,114.08,112.42,144713,4979495319.17,1.49,1.55,1.73,1.24
2025-06-25,002594,114.01,115.1,115.25,113.02,125738,4352301719.65,1.97,1.73,1.96,1.08
2025-06-26,002594,113.45,111.16,113.45,110.95,204932,6967640374.17,2.17,-3.42,-3.94,1.76
2025-06-27,002594,110.01,110.09,110.92,109.82,138617,4633461708.45,0.99,-0.96,-1.07,1.19
2025-06-30,002594,110.09,109.31,110.09,108.21,144003,4768270278.13,1.71,-0.71,-0.78,1.24
2025-07-01,002594,108.78,109.12,109.79,108.27,88518,2931303336.66,1.39,-0.17,-0.19,0.76
2025-07-02,002594,109.34,108.9,109.96,108.32,93270,3083342650.35,1.5,-0.2,-0.22,0.8
2025-07-03,002594,109.0,110.2,110.43,108.9,123498,4123732531.23,1.4,1.19,1.3,1.06
2025-07-04,002594,109.53,109.01,110.34,108.6,104104,3454495463.05,1.58,-1.08,-1.19,0.9
2025-07-07,002594,108.41,108.21,108.84,108.16,88208,2901015557.38,0.62,-0.73,-0.8,0.76
2025-07-08,002594,107.68,107.64,108.6,107.25,116918,3825413668.2,1.25,-0.53,-0.57,1.01
2025-07-09,002594,107.64,107.28,108.08,107.27,121633,3969384130.1,0.75,-0.33,-0.36,1.05
2025-07-10,002594,107.28,105.75,107.37,104.96,210022,6741345468.09,2.25,-1.43,-1.53,1.81
2025-07-11,002594,105.31,106.65,107.63,105.02,168270,5456832017.95,2.47,0.85,0.9,1.45
2025-07-14,002594,106.65,104.84,106.65,104.53,172309,5502331853.72,1.99,-1.7,-1.81,1.48
2025-07-15,002594,104.74,106.36,107.01,104.68,162791,5252631321.92,2.22,1.45,1.52,1.4
2025-07-16,002594,106.36,106.58,107.31,106.36,110758,3594544238.09,0.89,0.21,0.22,0.95
2025-07-17,002594,107.01,108.02,108.25,106.71,156891,5138610960.73,1.44,1.35,1.44,1.35
2025-07-18,002594,108.39,108.38,108.51,107.09,136866,4482466755.08,1.31,0.33,0.36,1.18
2025-07-21,002594,108.01,110.05,110.05,107.76,153945,5102459145.61,2.11,1.54,1.67,1.32
2025-07-22,002594,110.34,112.57,112.68,109.75,214164,7227731006.63,2.66,2.29,2.52,1.84
2025-07-23,002594,112.71,111.37,113.01,111.01,158907,5395840274.18,1.78,-1.07,-1.2,1.37
2025-07-24,002594,111.37,112.92,114.19,111.22,189063,6489370095.95,2.67,1.39,1.55,1.63
2025-07-25,002594,112.34,111.32,112.48,110.34,157041,5307866610.59,1.9,-1.42,-1.6,1.35
2025-07-28,002594,111.32,111.01,111.71,110.52,117057,3947000993.53,1.07,-0.28,-0.31,1.01
2025-07-29,002594,112.01,111.42,112.5,109.77,387360,4322742015.41,2.46,0.37,0.41,1.11
2025-07-30,002594,108.05,108.7,111.16,107.12,524834,5743878668.38,3.63,-2.44,-2.72,1.51
2025-07-31,002594,108.2,105.24,108.2,105.0,599499,6344900790.83,2.94,-3.18,-3.46,1.72
2025-08-01,002594,104.95,105.8,106.24,104.36,362337,3816659557.87,1.79,0.53,0.56,1.04
2025-08-04,002594,104.0,104.88,105.14,102.57,412937,4293903589.58,2.43,-0.87,-0.92,1.18
2025-08-05,002594,104.88,104.86,105.21,103.78,338350,3539636639.53,1.36,-0.02,-0.02,0.97
2025-08-06,002594,104.86,104.35,105.0,103.9,305620,3184784992.59,1.05,-0.49,-0.51,0.88
2025-08-07,002594,104.27,105.33,106.43,104.16,428763,4526612773.43,2.18,0.94,0.98,1.23
2025-08-08,002594,105.0,103.93,105.03,103.91,326615,3405317252.01,1.06,-1.33,-1.4,0.94
2025-08-11,002594,103.88,105.52,105.66,103.23,356698,3741329572.1,2.34,1.53,1.59,1.02
2025-08-12,002594,105.4,105.67,106.43,104.7,312195,3302639096.41,1.64,0.14,0.15,0.9
2025-08-13,002594,106.29,106.83,107.65,105.84,459830,4908744877.15,1.71,1.1,1.16,1.32
2025-08-14,002594,107.37,106.37,107.5,105.79,419548,4478119017.41,1.6,-0.43,-0.46,1.2
2025-08-15,002594,105.85,106.07,106.64,105.32,361353,3831047052.11,1.24,-0.28,-0.3,1.04
2025-08-18,002594,105.66,108.37,109.49,105.66,619252,6680761816.28,3.61,2.17,2.3,1.78
2025-08-19,002594,108.67,107.63,108.92,107.18,389735,4205349328.86,1.61,-0.68,-0.74,1.12
2025-08-20,002594,107.18,108.25,108.26,106.01,385053,4130459251.5,2.09,0.58,0.62,1.1
2025-08-21,002594,107.8,107.1,108.83,107.0,449464,4843670255.1,1.69,-1.06,-1.15,1.29
2025-08-22,002594,107.11,110.66,110.97,107.11,763120,8351469725.95,3.6,3.32,3.56,2.19
2025-08-25,002594,111.31,111.61,112.49,110.31,611628,6803182882.92,1.97,0.86,0.95,1.75
