Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,PctChg,涨跌额,Turnover
2025-07-16,00388,427.4,424.4,429.6,422.6,3921884.0,,,,,
2025-07-17,00388,425.4,427.0,428.6,424.8,2566959.0,,0.8954,0.6126,2.6,
2025-07-18,00388,429.0,430.0,431.0,425.2,4171000.0,,1.3583,0.7026,3.0,
2025-07-21,00388,429.6,431.2,431.6,427.2,3494109.0,,1.0233,0.2791,1.2,
2025-07-22,00388,431.8,432.6,434.6,430.8,3708904.0,,0.8813,0.3247,1.4,
2025-07-23,00388,436.0,439.8,441.0,431.2,7809206.0,,2.2654,1.6644,7.2,
2025-07-24,00388,439.8,448.2,452.0,437.4,10265301.0,,3.3197,1.91,8.4,
2025-07-25,00388,447.0,435.8,447.6,434.0,8532723.0,,3.0344,-2.7666,-12.4,
2025-07-28,00388,439.0,449.4,452.0,435.8,7488372.0,,3.7173,3.1207,13.6,
2025-07-29,00388,443.6,440.8,444.6,436.8,8991861.0,,1.7356,-1.9137,-8.6,
2025-07-30,00388,440.8,433.2,440.8,430.2,7707951.0,,2.4047,-1.7241,-7.6,
2025-07-31,00388,428.2,427.0,435.2,426.0,7104129.0,,2.1237,-1.4312,-6.2,
2025-08-01,00388,426.2,417.0,428.2,416.4,9964066.0,,2.7635,-2.3419,-10.0,
2025-08-04,00388,416.0,421.0,421.4,412.0,5842805.0,,2.2542,0.9592,4.0,
2025-08-05,00388,424.0,423.4,425.8,421.6,4337801.0,,0.9976,0.5701,2.4,
2025-08-06,00388,424.4,428.4,429.2,424.0,4140934.0,,1.2282,1.1809,5.0,
2025-08-07,00388,428.4,431.6,434.2,428.2,3828273.0,,1.4006,0.747,3.2,
2025-08-08,00388,430.0,427.4,430.2,426.0,2477690.0,,0.9731,-0.9731,-4.2,
2025-08-11,00388,431.8,430.6,431.8,426.8,2390805.0,,1.1699,0.7487,3.2,
2025-08-12,00388,429.6,430.0,430.6,426.4,3115583.0,,0.9754,-0.1393,-0.6,
2025-08-13,00388,433.2,439.8,440.4,432.8,6197033.0,,1.7674,2.2791,9.8,
2025-08-14,00388,447.8,439.2,447.8,436.6,4987532.0,,2.5466,-0.1364,-0.6,
2025-08-15,00388,435.0,439.4,441.4,433.2,5382653.0,,1.867,0.0455,0.2,
2025-08-18,00388,441.0,439.6,444.0,438.4,4533380.0,,1.2745,0.0455,0.2,
2025-08-19,00388,440.6,433.8,443.2,432.6,4896694.0,,2.4113,-1.3194,-5.8,
2025-08-20,00388,430.0,441.2,442.4,427.2,5863255.0,,3.5039,1.7059,7.4,
2025-08-21,00388,445.0,442.2,447.0,439.4,5946547.0,,1.7226,0.2267,1.0,
2025-08-22,00388,443.4,448.0,449.0,443.4,5341910.0,,1.2664,1.3116,5.8,
2025-08-25,00388,454.0,462.8,466.0,453.6,11684135.0,,2.7679,3.3036,14.8,
2025-08-26,00388,460.0,455.4,462.2,455.4,5040946.0,,1.4693,-1.599,-7.4,
2025-08-27,00388,457.8,447.6,458.6,446.2,7234406.0,,2.7229,-1.7128,-7.8,
2025-08-28,00388,446.0,449.8,450.8,442.0,5590449.0,,1.966,0.4915,2.2,
2025-08-29,00388,453.0,451.0,454.6,450.0,3743683.0,,1.0227,0.2668,1.2,
2025-09-01,00388,454.6,454.0,456.0,451.8,3906220.0,,0.9313,0.6652,3.0,
2025-09-02,00388,448.0,443.6,450.0,440.6,4027458.0,,2.0705,-2.2907,-10.4,
2025-09-03,00388,445.0,437.6,448.0,434.0,6321176.0,,3.156,-1.3526,-6.0,
2025-09-04,00388,439.0,432.2,442.6,431.2,5726476.0,,2.6051,-1.234,-5.4,
2025-09-05,00388,434.0,435.6,437.6,431.0,4940181.0,,1.5271,0.7867,3.4,
2025-09-08,00388,437.0,436.2,437.6,432.0,3925190.0,,1.2856,0.1377,0.6,
2025-09-09,00388,439.0,438.6,443.4,436.8,6585385.0,,1.5131,0.5502,2.4,
2025-09-10,00388,443.0,444.6,448.8,441.8,5388777.0,,1.596,1.368,6.0,
2025-09-11,00388,441.0,444.0,445.8,439.4,3449989.0,,1.4395,-0.135,-0.6,
2025-09-12,00388,450.0,448.4,452.4,446.0,4212713.0,,1.4414,0.991,4.4,
2025-09-15,00388,445.0,449.4,451.4,444.8,3077034.0,,1.4719,0.223,1.0,
2025-09-16,00388,451.0,451.8,454.6,449.0,3931510.0,,1.2461,0.534,2.4,
2025-09-17,00388,453.0,458.0,459.0,450.2,5922985.0,,1.9478,1.3723,6.2,
2025-09-18,00388,455.2,444.0,457.2,441.8,7957897.0,,3.3624,-3.0568,-14.0,
2025-09-19,00388,447.8,445.0,448.0,441.0,6527488.0,,1.5766,0.2252,1.0,
2025-09-22,00388,445.0,442.6,446.0,440.2,4193607.0,,1.3034,-0.5393,-2.4,
2025-09-23,00388,447.0,437.4,447.0,434.0,5244056.0,,2.9372,-1.1749,-5.2,
2025-09-24,00388,435.4,438.2,439.4,433.4,5155356.0,,1.3717,0.1829,0.8,
2025-09-25,00388,436.8,435.6,438.2,434.0,5514202.0,,0.9585,-0.5933,-2.6,
2025-09-26,00388,433.2,430.2,435.4,428.8,5578807.0,,1.5152,-1.2397,-5.4,
2025-09-29,00388,432.4,442.2,444.8,432.4,6232701.0,,2.8824,2.7894,12.0,
2025-09-30,00388,441.6,442.0,444.8,436.4,4933131.0,,1.8996,-0.0452,-0.2,
2025-10-02,00388,444.8,451.2,452.6,442.2,7496348.0,,2.3529,2.0814,9.2,
2025-10-03,00388,451.2,450.2,452.8,447.4,2736862.0,,1.1968,-0.2216,-1.0,
2025-10-06,00388,447.4,448.4,450.0,446.0,1532822.0,,0.8885,-0.3998,-1.8,
2025-10-08,00388,449.0,445.0,449.8,440.4,3671413.0,,2.0963,-0.7583,-3.4,
2025-10-09,00388,445.8,456.8,460.2,440.0,8863671.0,,4.5393,2.6517,11.8,
2025-10-10,00388,452.0,444.6,453.8,442.4,4617428.0,,2.4956,-2.6708,-12.2,
2025-10-13,00388,429.0,432.8,435.4,421.6,14909392.0,,3.1039,-2.6541,-11.8,
2025-10-14,00388,433.0,420.0,435.0,418.4,11822195.0,,3.8355,-2.9575,-12.8,
2025-10-15,00388,423.2,427.8,430.4,423.2,5114416.0,,1.7143,1.8571,7.8,
2025-10-16,00388,427.0,424.4,431.2,421.6,4332911.0,,2.244,-0.7948,-3.4,
2025-10-17,00388,422.6,414.0,424.4,411.0,8093205.0,,3.1574,-2.4505,-10.4,
2025-10-20,00388,426.8,425.0,428.0,422.2,4668109.0,,1.401,2.657,11.0,
2025-10-21,00388,428.0,429.2,434.8,428.0,5285162.0,,1.6,0.9882,4.2,
2025-10-22,00388,426.8,422.4,428.8,422.4,4156310.0,,1.4911,-1.5843,-6.8,
2025-10-23,00388,421.8,421.8,424.6,418.6,3042728.0,,1.4205,-0.142,-0.6,
2025-10-24,00388,428.0,425.0,430.2,424.4,2689754.0,,1.3751,0.7587,3.2,
2025-10-27,00388,431.8,434.2,436.6,430.4,5555573.0,,1.4588,2.1647,9.2,
2025-10-28,00388,436.0,432.4,436.4,431.0,3147448.0,,1.2437,-0.4146,-1.8,
2025-10-30,00388,436.8,432.4,437.0,429.6,5957582.0,,1.7114,0.0,0.0,
2025-10-31,00388,431.0,423.6,432.0,421.0,5685831.0,,2.5439,-2.0352,-8.8,
2025-11-03,00388,424.6,428.8,428.8,421.6,2971587.0,,1.6997,1.2276,5.2,
2025-11-04,00388,429.0,425.6,431.0,424.4,3934108.0,,1.5392,-0.7463,-3.2,
2025-11-05,00388,420.0,423.6,426.4,413.2,6657368.0,,3.1015,-0.4699,-2.0,
2025-11-06,00388,428.8,433.0,434.0,427.8,6297729.0,,1.4636,2.2191,9.4,
2025-11-07,00388,433.2,428.6,433.2,426.6,5288774.0,,1.5242,-1.0162,-4.4,
2025-11-10,00388,430.0,436.0,436.8,429.0,5012982.0,,1.8199,1.7266,7.4,
2025-11-11,00388,438.8,435.4,440.2,431.8,3271978.0,,1.9266,-0.1376,-0.6,
2025-11-12,00388,438.0,437.4,438.8,434.0,3026961.0,,1.1024,0.4593,2.0,
2025-11-13,00388,436.6,436.6,438.2,433.4,2916061.0,,1.0974,-0.1829,-0.8,
2025-11-14,00388,430.0,425.2,430.8,425.0,5829378.0,,1.3284,-2.6111,-11.4,
2025-11-17,00388,424.2,422.2,426.0,420.0,4837728.0,,1.4111,-0.7056,-3.0,
2025-11-18,00388,418.0,416.8,420.4,414.8,5566980.0,,1.3264,-1.279,-5.4,
2025-11-19,00388,418.4,416.4,419.4,414.4,2941268.0,,1.1996,-0.096,-0.4,
2025-11-20,00388,420.6,417.6,420.8,415.0,2843422.0,,1.3929,0.2882,1.2,
2025-11-21,00388,410.2,409.2,412.8,407.2,6353592.0,,1.341,-2.0115,-8.4,
2025-11-24,00388,412.2,415.2,416.8,410.0,5120092.0,,1.6618,1.4663,6.0,
2025-11-25,00388,420.0,415.4,420.2,414.6,2622853.0,,1.3487,0.0482,0.2,
2025-11-26,00388,420.0,413.2,420.0,413.2,3188838.0,,1.637,-0.5296,-2.2,
2025-11-27,00388,412.6,411.8,416.0,411.0,3551387.0,,1.2101,-0.3388,-1.4,
2025-11-28,00388,413.0,411.0,413.6,410.4,2021076.0,,0.7771,-0.1943,-0.8,
2025-12-01,00388,411.0,412.6,414.8,411.0,2582051.0,,0.9246,0.3893,1.6,
2025-12-02,00388,413.4,410.2,414.6,408.8,2416460.0,,1.4057,-0.5817,-2.4,
2025-12-03,00388,408.6,404.2,410.2,403.4,3989559.0,,1.6577,-1.4627,-6.0,
2025-12-04,00388,404.0,406.4,407.0,402.2,4200405.0,,1.1875,0.5443,2.2,
2025-12-05,00388,402.2,407.4,408.8,401.4,3423195.0,,1.8209,0.2461,1.0,
2025-12-08,00388,408.4,404.6,412.6,404.2,3197267.0,,2.0619,-0.6873,-2.8,
2025-12-09,00388,403.4,401.2,404.6,399.0,4256421.0,,1.3841,-0.8403,-3.4,
2025-12-10,00388,399.0,402.8,403.2,394.0,3949986.0,,2.2931,0.3988,1.6,
2025-12-11,00388,403.6,400.8,405.0,400.2,2366860.0,,1.1917,-0.4965,-2.0,
2025-12-12,00388,404.4,401.8,406.6,401.8,5576007.0,,1.1976,0.2495,1.0,
2025-12-15,00388,401.4,403.8,406.0,399.0,3858835.0,,1.7422,0.4978,2.0,
2025-12-16,00388,399.6,396.0,401.6,393.8,6302511.0,,1.9316,-1.9316,-7.8,
2025-12-17,00388,395.0,398.4,400.0,392.8,3460196.0,,1.8182,0.6061,2.4,
2025-12-18,00388,395.0,401.8,403.4,395.0,3423972.0,,2.1084,0.8534,3.4,
2025-12-19,00388,404.6,407.0,407.0,402.8,3281541.0,,1.0453,1.2942,5.2,
2025-12-22,00388,401.0,407.0,409.6,401.0,3071851.0,,2.113,0.0,0.0,
2025-12-23,00388,410.6,407.6,412.4,407.0,4581011.0,,1.3268,0.1474,0.6,
2025-12-24,00388,406.0,410.0,414.6,406.0,2322142.0,,2.1099,0.5888,2.4,
2025-12-29,00388,410.0,408.2,416.4,408.2,3564631.0,,2.0,-0.439,-1.8,
2025-12-30,00388,407.4,408.6,410.8,404.0,2919071.0,,1.6659,0.098,0.4,
2025-12-31,00388,408.8,407.6,409.8,405.8,1558003.0,,0.979,-0.2447,-1.0,
2026-01-02,00388,409.0,415.8,416.8,406.6,3592360.0,,2.5025,2.0118,8.2,
2026-01-05,00388,416.8,420.2,421.2,414.2,5966386.0,,1.6835,1.0582,4.4,
2026-01-06,00388,424.8,432.4,433.8,422.6,9937060.0,,2.6654,2.9034,12.2,
2026-01-07,00388,429.0,430.2,431.4,426.6,4114142.0,,1.1101,-0.5088,-2.2,
2026-01-08,00388,428.4,425.2,429.4,421.2,4720328.0,,1.9061,-1.1623,-5.0,
