Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,PctChg,涨跌额,Turnover
2025-07-28,00700,550.5,555.5,558.0,546.5,14661199.0,,,,,
2025-07-29,00700,551.5,555.0,556.5,546.0,16847424.0,,1.8902,-0.09,-0.5,
2025-07-30,00700,550.0,549.0,556.0,542.5,19362555.0,,2.4324,-1.0811,-6.0,
2025-07-31,00700,547.0,550.0,559.0,545.0,20453269.0,,2.5501,0.1821,1.0,
2025-08-01,00700,551.5,535.0,554.5,533.5,21203861.0,,3.8182,-2.7273,-15.0,
2025-08-04,00700,536.0,550.0,551.5,533.0,17340007.0,,3.4579,2.8037,15.0,
2025-08-05,00700,554.5,559.0,559.0,549.0,17347823.0,,1.8182,1.6364,9.0,
2025-08-06,00700,560.0,568.5,570.0,558.0,20737133.0,,2.1467,1.6995,9.5,
2025-08-07,00700,571.0,567.0,572.0,560.5,16940382.0,,2.0229,-0.2639,-1.5,
2025-08-08,00700,567.0,561.0,568.5,557.5,13305719.0,,1.94,-1.0582,-6.0,
2025-08-11,00700,561.0,561.0,562.5,553.5,11790350.0,,1.6043,0.0,0.0,
2025-08-12,00700,557.5,559.5,564.5,556.0,13827897.0,,1.5152,-0.2674,-1.5,
2025-08-13,00700,568.0,586.0,586.0,566.0,37596415.0,,3.5746,4.7364,26.5,
2025-08-14,00700,600.0,590.0,600.0,589.0,36339315.0,,1.8771,0.6826,4.0,
2025-08-15,00700,587.0,592.0,596.5,584.5,22176876.0,,2.0339,0.339,2.0,
2025-08-18,00700,594.0,587.0,596.0,587.0,17590658.0,,1.5203,-0.8446,-5.0,
2025-08-19,00700,588.0,592.5,597.0,583.0,16359474.0,,2.385,0.937,5.5,
2025-08-20,00700,589.0,590.5,594.5,585.5,15952765.0,,1.519,-0.3376,-2.0,
2025-08-21,00700,590.5,593.0,597.0,589.5,14290178.0,,1.2701,0.4234,2.5,
2025-08-22,00700,599.0,600.0,606.5,595.5,19378950.0,,1.855,1.1804,7.0,
2025-08-25,00700,608.5,614.5,621.0,608.0,25694519.0,,2.1667,2.4167,14.5,
2025-08-26,00700,612.0,609.5,618.0,609.5,20656474.0,,1.3832,-0.8137,-5.0,
2025-08-27,00700,613.0,599.0,614.5,595.0,21263402.0,,3.1993,-1.7227,-10.5,
2025-08-28,00700,595.0,594.0,599.0,590.0,21712370.0,,1.5025,-0.8347,-5.0,
2025-08-29,00700,595.5,596.5,605.0,594.0,18234935.0,,1.8519,0.4209,2.5,
2025-09-01,00700,605.0,605.0,610.0,601.5,15958837.0,,1.425,1.425,8.5,
2025-09-02,00700,605.5,600.5,608.5,599.0,14808157.0,,1.5702,-0.7438,-4.5,
2025-09-03,00700,606.5,598.5,613.0,596.0,15523985.0,,2.831,-0.3331,-2.0,
2025-09-04,00700,605.0,592.5,605.0,591.0,18003934.0,,2.3392,-1.0025,-6.0,
2025-09-05,00700,599.5,605.5,609.0,595.5,19047729.0,,2.2785,2.1941,13.0,
2025-09-08,00700,605.5,617.5,619.0,605.0,21815489.0,,2.3121,1.9818,12.0,
2025-09-09,00700,620.0,627.0,628.0,617.5,19871460.0,,1.7004,1.5385,9.5,
2025-09-10,00700,630.0,633.5,639.0,628.0,19193376.0,,1.7544,1.0367,6.5,
2025-09-11,00700,633.0,629.5,633.0,624.0,18191860.0,,1.4207,-0.6314,-4.0,
2025-09-12,00700,645.0,643.5,649.0,642.0,20780375.0,,1.112,2.224,14.0,
2025-09-15,00700,646.0,643.5,648.5,637.5,16371242.0,,1.7094,0.0,0.0,
2025-09-16,00700,647.0,645.0,649.5,640.5,13339685.0,,1.3986,0.2331,1.5,
2025-09-17,00700,646.5,661.5,663.5,645.0,22349048.0,,2.8682,2.5581,16.5,
2025-09-18,00700,662.0,642.0,664.5,635.5,29989898.0,,4.384,-2.9478,-19.5,
2025-09-19,00700,647.0,642.5,647.0,638.0,20805608.0,,1.4019,0.0779,0.5,
2025-09-22,00700,642.0,641.0,643.5,634.0,12899662.0,,1.4786,-0.2335,-1.5,
2025-09-23,00700,641.5,635.5,643.5,627.0,15293080.0,,2.5741,-0.858,-5.5,
2025-09-24,00700,633.5,648.5,651.0,628.0,18440788.0,,3.6192,2.0456,13.0,
2025-09-25,00700,651.0,650.0,659.0,643.5,17384258.0,,2.3901,0.2313,1.5,
2025-09-26,00700,645.0,644.0,653.0,640.0,19504951.0,,2.0,-0.9231,-6.0,
2025-09-29,00700,649.5,660.0,664.5,647.5,20489556.0,,2.6398,2.4845,16.0,
2025-09-30,00700,658.0,663.0,666.5,657.5,20610633.0,,1.3636,0.4545,3.0,
2025-10-02,00700,667.5,676.5,683.0,665.5,17137745.0,,2.6395,2.0362,13.5,
2025-10-03,00700,677.0,673.5,680.0,670.0,7125093.0,,1.4782,-0.4435,-3.0,
2025-10-06,00700,675.0,677.5,682.5,670.0,7828323.0,,1.856,0.5939,4.0,
2025-10-08,00700,680.0,675.0,680.0,669.5,10540730.0,,1.5498,-0.369,-2.5,
2025-10-09,00700,675.0,675.5,681.0,665.5,14454705.0,,2.2963,0.0741,0.5,
2025-10-10,00700,669.0,651.5,669.0,647.5,19904705.0,,3.1828,-3.5529,-24.0,
2025-10-13,00700,630.0,639.0,648.5,622.5,38012175.0,,3.9908,-1.9186,-12.5,
2025-10-14,00700,642.5,621.0,644.0,617.0,26797863.0,,4.2254,-2.8169,-18.0,
2025-10-15,00700,624.5,627.0,633.0,620.5,18381023.0,,2.0129,0.9662,6.0,
2025-10-16,00700,626.0,620.0,629.0,615.5,14285465.0,,2.1531,-1.1164,-7.0,
2025-10-17,00700,618.5,608.0,620.5,602.5,18654519.0,,2.9032,-1.9355,-12.0,
2025-10-20,00700,624.0,627.5,632.5,621.5,14963360.0,,1.8092,3.2072,19.5,
2025-10-21,00700,643.0,630.5,644.0,630.0,14171988.0,,2.2311,0.4781,3.0,
2025-10-22,00700,626.0,623.5,629.0,616.5,9979448.0,,1.9826,-1.1102,-7.0,
2025-10-23,00700,620.0,633.0,636.0,618.0,12419348.0,,2.8869,1.5237,9.5,
2025-10-24,00700,639.0,637.5,641.5,633.5,11997034.0,,1.2638,0.7109,4.5,
2025-10-27,00700,649.0,656.0,656.0,646.0,16043970.0,,1.5686,2.902,18.5,
2025-10-28,00700,656.0,645.0,656.0,641.0,16295470.0,,2.2866,-1.6768,-11.0,
2025-10-30,00700,657.0,651.0,664.0,645.0,21772780.0,,2.9457,0.9302,6.0,
2025-10-31,00700,651.5,629.0,655.0,629.0,20578283.0,,3.9939,-3.3794,-22.0,
2025-11-03,00700,630.5,628.0,634.0,622.5,11591004.0,,1.8283,-0.159,-1.0,
2025-11-04,00700,631.0,629.0,640.0,625.5,14972125.0,,2.3089,0.1592,1.0,
2025-11-05,00700,621.0,629.0,632.0,613.0,13309811.0,,3.0207,0.0,0.0,
2025-11-06,00700,629.5,644.0,645.5,629.5,13081287.0,,2.5437,2.3847,15.0,
2025-11-07,00700,638.0,634.0,643.0,628.5,13314360.0,,2.2516,-1.5528,-10.0,
2025-11-10,00700,641.0,649.5,651.0,641.0,14513815.0,,1.5773,2.4448,15.5,
2025-11-11,00700,662.0,650.0,662.0,641.0,13087772.0,,3.2333,0.077,0.5,
2025-11-12,00700,655.0,657.0,658.5,652.0,13658568.0,,1.0,1.0769,7.0,
2025-11-13,00700,649.5,656.0,660.0,645.0,17299913.0,,2.2831,-0.1522,-1.0,
2025-11-14,00700,645.0,641.0,659.0,640.0,19956444.0,,2.8963,-2.2866,-15.0,
2025-11-17,00700,640.0,636.5,642.5,633.0,13794477.0,,1.4821,-0.702,-4.5,
2025-11-18,00700,628.0,623.5,641.0,620.5,18818609.0,,3.2207,-2.0424,-13.0,
2025-11-19,00700,627.5,622.5,631.5,619.5,13959708.0,,1.9246,-0.1604,-1.0,
