Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,PctChg,涨跌额,Turnover
2025-07-07,00941,85.9,85.95,86.3,85.5,12811864.0,,,,,
2025-07-08,00941,86.0,86.0,86.4,85.7,11593217.0,,0.8144,0.0582,0.05,
2025-07-09,00941,85.9,86.05,86.4,85.5,12289321.0,,1.0465,0.0581,0.05,
2025-07-10,00941,86.05,86.15,86.4,85.7,9946442.0,,0.8135,0.1162,0.1,
2025-07-11,00941,86.15,87.0,87.7,86.15,17423768.0,,1.7992,0.9867,0.85,
2025-07-14,00941,86.5,86.6,87.65,86.5,13669500.0,,1.3218,-0.4598,-0.4,
2025-07-15,00941,86.8,87.25,87.4,86.55,10686637.0,,0.9815,0.7506,0.65,
2025-07-16,00941,87.25,87.65,88.15,86.8,11372140.0,,1.5473,0.4585,0.4,
2025-07-17,00941,87.5,87.35,88.05,87.1,14426719.0,,1.0839,-0.3423,-0.3,
2025-07-18,00941,87.85,87.35,87.85,86.75,13910970.0,,1.2593,0.0,0.0,
2025-07-21,00941,87.4,86.85,87.65,86.55,17357125.0,,1.2593,-0.5724,-0.5,
2025-07-22,00941,87.0,86.8,87.1,86.5,20641680.0,,0.6908,-0.0576,-0.05,
2025-07-23,00941,87.1,87.35,87.35,86.6,26977703.0,,0.8641,0.6336,0.55,
2025-07-24,00941,87.1,87.3,87.65,86.8,21329408.0,,0.9731,-0.0572,-0.05,
2025-07-25,00941,87.0,86.55,87.35,86.5,20926067.0,,0.9737,-0.8591,-0.75,
2025-07-28,00941,86.8,86.8,86.95,86.35,15705495.0,,0.6932,0.2889,0.25,
2025-07-29,00941,86.8,86.5,86.8,86.1,15248122.0,,0.8065,-0.3456,-0.3,
2025-07-30,00941,86.5,87.0,87.15,86.05,21117396.0,,1.2717,0.578,0.5,
2025-07-31,00941,86.85,86.1,87.0,86.0,15460685.0,,1.1494,-1.0345,-0.9,
2025-08-01,00941,86.05,85.9,86.65,85.9,12095658.0,,0.8711,-0.2323,-0.2,
2025-08-04,00941,85.9,85.5,86.2,85.35,21165849.0,,0.9895,-0.4657,-0.4,
2025-08-05,00941,85.4,85.6,85.65,85.05,20114028.0,,0.7018,0.117,0.1,
2025-08-06,00941,85.35,85.55,85.8,85.35,15530299.0,,0.5257,-0.0584,-0.05,
2025-08-07,00941,85.7,85.95,86.0,85.3,21766443.0,,0.8182,0.4676,0.4,
2025-08-08,00941,86.5,86.9,87.3,86.4,24912441.0,,1.0471,1.1053,0.95,
2025-08-11,00941,87.1,87.5,87.65,86.9,16350373.0,,0.8631,0.6904,0.6,
2025-08-12,00941,87.75,88.3,88.55,87.4,18202016.0,,1.3143,0.9143,0.8,
2025-08-13,00941,88.65,88.8,88.9,88.25,19521152.0,,0.7361,0.5663,0.5,
2025-08-14,00941,88.85,88.4,89.15,88.25,21236484.0,,1.0135,-0.4505,-0.4,
2025-08-15,00941,88.35,88.25,88.35,87.7,20647091.0,,0.7353,-0.1697,-0.15,
2025-08-18,00941,88.25,88.45,89.1,87.9,17615360.0,,1.3598,0.2266,0.2,
2025-08-19,00941,88.5,88.1,88.9,87.75,16607073.0,,1.3002,-0.3957,-0.35,
2025-08-20,00941,88.1,88.4,88.6,87.7,12210646.0,,1.0216,0.3405,0.3,
2025-08-21,00941,88.4,89.4,89.7,88.05,22795296.0,,1.8665,1.1312,1.0,
2025-08-22,00941,89.4,89.8,89.95,89.4,20323138.0,,0.6152,0.4474,0.4,
2025-08-25,00941,90.0,90.35,90.6,89.4,24580945.0,,1.3363,0.6125,0.55,
2025-08-26,00941,90.0,90.05,90.6,89.9,16228886.0,,0.7748,-0.332,-0.3,
2025-08-27,00941,90.5,89.15,90.5,89.0,16556664.0,,1.6657,-0.9994,-0.9,
2025-08-28,00941,89.2,89.5,90.0,88.9,21963738.0,,1.2339,0.3926,0.35,
