Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,PctChg,涨跌额,Turnover
2025-06-26,03690,130.1,130.0,131.2,128.6,36118238.0,,,,,
2025-06-27,03690,129.6,129.4,131.2,128.5,44855347.0,,2.0769,-0.4615,-0.6,
2025-06-30,03690,128.6,125.3,128.9,125.3,71889200.0,,2.7821,-3.1685,-4.1,
2025-07-02,03690,127.2,126.0,127.8,124.0,49628850.0,,3.0327,0.5587,0.7,
2025-07-03,03690,124.9,122.8,125.5,122.4,67794577.0,,2.4603,-2.5397,-3.2,
2025-07-04,03690,121.3,120.8,123.2,119.5,61959326.0,,3.013,-1.6287,-2.0,
2025-07-07,03690,119.4,119.0,119.4,115.8,83139176.0,,2.9801,-1.4901,-1.8,
2025-07-08,03690,117.6,122.2,122.5,116.8,61606923.0,,4.7899,2.6891,3.2,
2025-07-09,03690,121.5,119.2,122.1,118.8,49539878.0,,2.7005,-2.455,-3.0,
2025-07-10,03690,118.0,118.6,120.5,117.5,46874068.0,,2.5168,-0.5034,-0.6,
2025-07-11,03690,118.5,120.0,122.9,117.2,59292989.0,,4.8061,1.1804,1.4,
2025-07-14,03690,119.8,120.9,121.6,118.3,37669963.0,,2.75,0.75,0.9,
2025-07-15,03690,121.0,126.2,126.5,120.8,89410007.0,,4.7146,4.3838,5.3,
2025-07-16,03690,127.8,124.1,129.6,123.8,68803291.0,,4.5959,-1.664,-2.1,
2025-07-17,03690,125.4,125.5,127.4,125.0,40731440.0,,1.9339,1.1281,1.4,
2025-07-18,03690,127.8,127.3,129.1,126.7,40295446.0,,1.9124,1.4343,1.8,
2025-07-21,03690,133.0,130.8,133.7,130.1,83230227.0,,2.828,2.7494,3.5,
2025-07-22,03690,130.9,129.0,131.5,127.2,56136421.0,,3.2875,-1.3761,-1.8,
2025-07-23,03690,131.0,133.2,134.2,128.2,72661334.0,,4.6512,3.2558,4.2,
2025-07-24,03690,133.0,134.4,136.1,132.0,56625778.0,,3.0781,0.9009,1.2,
2025-07-25,03690,134.4,130.1,135.4,129.7,50780870.0,,4.2411,-3.1994,-4.3,
2025-07-28,03690,130.7,129.4,131.3,129.0,35482986.0,,1.7679,-0.538,-0.7,
2025-07-29,03690,129.1,128.6,129.2,126.2,42962406.0,,2.3184,-0.6182,-0.8,
2025-07-30,03690,127.0,127.4,130.6,125.8,46172472.0,,3.7325,-0.9331,-1.2,
2025-07-31,03690,123.5,121.6,123.6,120.5,96061772.0,,2.4333,-4.5526,-5.8,
2025-08-01,03690,121.1,122.2,125.9,121.1,55437231.0,,3.9474,0.4934,0.6,
2025-08-04,03690,122.2,123.0,123.2,119.9,34769687.0,,2.7005,0.6547,0.8,
2025-08-05,03690,122.6,122.9,123.2,121.0,30068857.0,,1.7886,-0.0813,-0.1,
2025-08-06,03690,122.8,121.1,122.8,120.3,45089472.0,,2.0342,-1.4646,-1.8,
2025-08-07,03690,121.8,122.0,122.7,120.9,29091754.0,,1.4864,0.7432,0.9,
2025-08-08,03690,121.0,120.8,122.2,120.5,21911956.0,,1.3934,-0.9836,-1.2,
2025-08-11,03690,121.1,119.2,121.3,118.6,39684143.0,,2.2351,-1.3245,-1.6,
2025-08-12,03690,118.4,119.4,119.9,117.8,32006831.0,,1.7617,0.1678,0.2,
2025-08-13,03690,121.0,124.3,124.9,120.5,54998562.0,,3.6851,4.1039,4.9,
