Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,PctChg,涨跌额,Turnover
2025-07-21,09988,118.8,117.9,118.8,117.0,95474095.0,,,,,
2025-07-22,09988,117.7,118.0,118.2,116.0,63352702.0,,1.866,0.0848,0.1,
2025-07-23,09988,119.0,120.9,122.0,117.7,119661760.0,,3.6441,2.4576,2.9,
2025-07-24,09988,120.9,120.3,121.8,119.9,77592812.0,,1.5715,-0.4963,-0.6,
2025-07-25,09988,119.1,118.0,119.3,117.5,63455940.0,,1.4963,-1.9119,-2.3,
2025-07-28,09988,119.5,120.6,121.7,118.9,69215231.0,,2.3729,2.2034,2.6,
2025-07-29,09988,119.2,120.7,121.0,118.1,59019387.0,,2.4046,0.0829,0.1,
2025-07-30,09988,117.7,117.1,119.6,117.1,88754280.0,,2.0713,-2.9826,-3.6,
2025-07-31,09988,116.0,115.7,118.0,114.3,97698587.0,,3.1597,-1.1956,-1.4,
2025-08-01,09988,117.8,116.9,119.3,116.7,75031091.0,,2.2472,1.0372,1.2,
2025-08-04,09988,115.5,116.2,116.7,114.7,50516068.0,,1.7109,-0.5988,-0.7,
2025-08-05,09988,116.1,116.0,116.3,114.6,52371110.0,,1.463,-0.1721,-0.2,
2025-08-06,09988,115.6,116.7,119.2,115.1,73715023.0,,3.5345,0.6034,0.7,
2025-08-07,09988,119.1,119.2,119.8,117.9,66845112.0,,1.6281,2.1422,2.5,
2025-08-08,09988,118.6,116.3,118.6,116.1,60373207.0,,2.0973,-2.4329,-2.9,
2025-08-11,09988,118.0,118.5,119.0,116.9,43065055.0,,1.8057,1.8917,2.2,
2025-08-12,09988,116.8,116.6,117.5,116.1,55676119.0,,1.1814,-1.6034,-1.9,
2025-08-13,09988,120.0,123.7,123.8,119.2,150500459.0,,3.9451,6.0892,7.1,
2025-08-14,09988,124.8,121.8,125.2,121.0,83916791.0,,3.3953,-1.536,-1.9,
2025-08-15,09988,119.3,118.1,119.8,117.8,110541625.0,,1.642,-3.0378,-3.7,
2025-08-18,09988,118.3,118.6,120.8,118.3,76093381.0,,2.1169,0.4234,0.5,
2025-08-19,09988,118.4,118.3,119.7,117.9,55732895.0,,1.5177,-0.253,-0.3,
2025-08-20,09988,117.2,117.5,118.0,116.1,62830049.0,,1.6061,-0.6762,-0.8,
2025-08-21,09988,117.3,115.7,117.6,115.0,66716053.0,,2.2128,-1.5319,-1.8,
2025-08-22,09988,115.5,118.0,118.3,115.3,73604857.0,,2.5929,1.9879,2.3,
2025-08-25,09988,120.4,124.5,126.0,120.4,162992103.0,,4.7458,5.5085,6.5,
2025-08-26,09988,122.0,121.3,123.9,121.1,90253630.0,,2.249,-2.5703,-3.2,
2025-08-27,09988,121.3,121.5,124.3,121.0,114213258.0,,2.7205,0.1649,0.2,
2025-08-28,09988,119.1,115.8,119.3,115.6,171962832.0,,3.0453,-4.6914,-5.7,
