Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,PctChg,涨跌额,Turnover
2025-07-01,300750,244.592,243.592,244.832,241.972,95323.0,,,,,
2025-07-02,300750,243.592,242.542,244.102,241.282,115714.0,,1.1577,-0.431,-1.05,
2025-07-03,300750,243.562,254.682,255.302,242.682,338037.0,,5.2032,5.0053,12.14,
2025-07-04,300750,257.102,257.892,262.072,253.072,272060.0,,3.5338,1.2604,3.21,
2025-07-07,300750,257.892,252.982,260.972,250.972,174665.0,,3.8776,-1.9039,-4.91,
2025-07-08,300750,252.792,255.402,257.992,251.912,155923.0,,2.4033,0.9566,2.42,
2025-07-09,300750,254.292,262.892,266.552,254.192,293884.0,,4.8394,2.9326,7.49,
2025-07-10,300750,267.082,264.092,267.082,260.592,242393.0,,2.4687,0.4565,1.2,
2025-07-11,300750,263.592,263.592,266.092,262.192,213282.0,,1.4768,-0.1893,-0.5,
2025-07-14,300750,263.092,260.592,263.412,258.192,149789.0,,1.9803,-1.1381,-3.0,
2025-07-15,300750,260.592,259.842,264.592,258.092,169526.0,,2.4943,-0.2878,-0.75,
2025-07-16,300750,260.592,256.492,260.792,255.132,156265.0,,2.1782,-1.2892,-3.35,
2025-07-17,300750,257.462,257.592,259.842,256.452,145110.0,,1.3217,0.4289,1.1,
2025-07-18,300750,260.792,263.292,264.542,257.892,221866.0,,2.5816,2.2128,5.7,
2025-07-21,300750,269.092,271.752,274.092,265.642,324863.0,,3.2094,3.2132,8.46,
2025-07-22,300750,272.092,278.752,282.092,271.272,333090.0,,3.9816,2.5759,7.0,
2025-07-23,300750,280.252,279.112,282.842,278.682,200190.0,,1.4924,0.1291,0.36,
2025-07-24,300750,281.092,277.292,281.292,275.002,223891.0,,2.2536,-0.6521,-1.82,
2025-07-25,300750,277.292,274.892,277.292,273.842,134326.0,,1.2442,-0.8655,-2.4,
2025-07-28,300750,275.112,278.392,281.182,273.392,238973.0,,2.8338,1.2732,3.5,
2025-07-29,300750,278.792,283.912,284.092,278.772,233946.0,,1.911,1.9828,5.52,
2025-07-30,300750,284.292,269.182,284.292,268.452,415943.0,,5.5792,-5.1882,-14.73,
2025-07-31,300750,272.892,256.712,274.072,256.712,447104.0,,6.4492,-4.6326,-12.47,
2025-08-01,300750,256.892,255.162,258.692,254.842,252500.0,,1.4997,-0.6038,-1.55,
2025-08-04,300750,255.092,258.572,260.092,253.792,237682.0,,2.469,1.3364,3.41,
2025-08-05,300750,259.592,257.792,261.092,255.592,219760.0,,2.1271,-0.3017,-0.78,
2025-08-06,300750,257.312,257.092,258.992,255.322,153233.0,,1.4236,-0.2715,-0.7,
2025-08-07,300750,257.092,255.142,258.582,254.292,165481.0,,1.6687,-0.7585,-1.95,
2025-08-08,300750,256.092,255.572,258.252,254.102,174282.0,,1.6265,0.1685,0.43,
2025-08-11,300750,255.572,255.752,258.242,254.592,213309.0,,1.4282,0.0704,0.18,
2025-08-12,300750,255.592,255.342,257.272,249.812,222407.0,,2.9169,-0.1603,-0.41,
2025-08-13,300750,256.862,265.692,267.092,256.602,394668.0,,4.1082,4.0534,10.35,
2025-08-14,300750,268.982,271.982,274.092,266.572,371708.0,,2.8303,2.3674,6.29,
2025-08-15,300750,270.472,272.762,274.392,268.192,241092.0,,2.2796,0.2868,0.78,
2025-08-18,300750,272.762,275.092,277.572,270.112,285288.0,,2.735,0.8542,2.33,
2025-08-19,300750,275.092,269.892,276.092,268.312,244286.0,,2.8281,-1.8903,-5.2,
2025-08-20,300750,270.594,272.294,273.084,265.144,233535.0,,2.9419,0.89,2.402,
2025-08-21,300750,272.364,272.094,274.894,271.094,182698.0,,1.3956,-0.0735,-0.2,
2025-08-22,300750,272.024,280.274,282.444,271.694,264219.0,,3.9508,3.0063,8.18,
2025-08-25,300750,283.094,283.374,286.974,279.874,312297.0,,2.5332,1.1061,3.1,
2025-08-26,300750,280.114,282.594,284.084,278.674,230245.0,,1.9091,-0.2753,-0.78,
2025-08-27,300750,282.094,271.394,282.634,271.284,382584.0,,4.0164,-3.9633,-11.2,
2025-08-28,300750,269.154,270.504,272.084,265.814,304664.0,,2.3103,-0.3279,-0.89,
2025-08-29,300750,271.404,299.274,309.754,271.044,780139.0,,14.3103,10.6357,28.77,
2025-09-01,300750,299.594,297.094,299.994,292.394,429964.0,,2.5395,-0.7284,-2.18,
2025-09-02,300750,297.124,295.964,304.194,292.124,371169.0,,4.0627,-0.3804,-1.13,
2025-09-03,300750,296.594,302.094,304.744,296.124,508975.0,,2.9125,2.0712,6.13,
2025-09-04,300750,306.564,297.124,316.424,293.724,657548.0,,7.5142,-1.6452,-4.97,
2025-09-05,300750,292.994,318.204,318.204,292.914,708198.0,,8.5116,7.0947,21.08,
2025-09-08,300750,327.094,318.464,330.744,316.594,588346.0,,4.4468,0.0817,0.26,
2025-09-09,300750,315.894,313.094,327.674,310.254,434024.0,,5.47,-1.6862,-5.37,
2025-09-10,300750,311.084,309.134,315.094,306.094,367527.0,,2.8745,-1.2648,-3.96,
2025-09-11,300750,308.644,315.644,316.074,302.134,380345.0,,4.5094,2.1059,6.51,
2025-09-12,300750,318.994,318.094,322.994,315.294,338713.0,,2.4395,0.7762,2.45,
2025-09-15,300750,339.104,347.794,364.614,337.114,718410.0,,8.6452,9.3369,29.7,
2025-09-16,300750,349.204,346.514,352.094,341.594,377445.0,,3.019,-0.368,-1.28,
2025-09-17,300750,349.894,370.194,374.974,347.094,543771.0,,8.0459,6.8338,23.68,
2025-09-18,300750,367.684,359.984,373.094,353.894,518897.0,,5.1865,-2.758,-10.21,
2025-09-19,300750,358.094,361.584,368.804,354.814,339149.0,,3.8863,0.4445,1.6,
2025-09-22,300750,363.594,363.144,365.814,355.874,285278.0,,2.749,0.4314,1.56,
2025-09-23,300750,361.094,361.244,370.054,353.094,348493.0,,4.6703,-0.5232,-1.9,
2025-09-24,300750,364.094,373.024,373.094,359.154,383145.0,,3.8589,3.261,11.78,
2025-09-25,300750,369.694,385.944,395.684,369.564,466393.0,,7.0022,3.4636,12.92,
2025-09-26,300750,385.114,373.494,393.084,373.094,362633.0,,5.1795,-3.2259,-12.45,
2025-09-29,300750,379.434,390.464,392.984,379.104,389647.0,,3.7163,4.5436,16.97,
2025-09-30,300750,389.094,395.094,401.974,389.094,330313.0,,3.2986,1.1858,4.63,
2025-10-09,300750,393.074,402.984,417.454,392.834,412088.0,,6.2314,1.997,7.89,
2025-10-10,300750,394.094,375.044,396.894,372.104,533118.0,,6.1516,-6.9333,-27.94,
2025-10-13,300750,355.954,367.594,377.694,355.954,471510.0,,5.7967,-1.9864,-7.45,
2025-10-14,300750,374.094,351.094,378.894,348.864,496399.0,,8.1693,-4.4886,-16.5,
2025-10-15,300750,351.594,362.394,362.804,347.854,369934.0,,4.2581,3.2185,11.3,
2025-10-16,300750,360.594,361.594,366.994,357.594,276295.0,,2.5939,-0.2208,-0.8,
2025-10-17,300750,360.594,351.234,368.094,350.084,319058.0,,4.9807,-2.8651,-10.36,
2025-10-20,300750,358.094,359.594,361.984,352.624,284324.0,,2.6649,2.3802,8.36,
2025-10-21,300750,366.094,368.994,374.444,356.194,446329.0,,5.0752,2.6141,9.4,
2025-10-22,300750,368.994,365.954,371.974,361.294,219459.0,,2.8944,-0.8239,-3.04,
2025-10-23,300750,366.894,369.544,371.894,362.094,239981.0,,2.6779,0.981,3.59,
2025-10-24,300750,373.064,378.864,380.894,371.094,320416.0,,2.6519,2.522,9.32,
2025-10-27,300750,386.094,379.274,386.094,369.664,404510.0,,4.3366,0.1082,0.41,
2025-10-28,300750,379.254,379.574,386.894,376.114,287083.0,,2.8423,0.0791,0.3,
2025-10-29,300750,379.094,393.094,393.134,377.794,344740.0,,4.0414,3.5619,13.52,
2025-10-30,300750,399.074,391.384,402.174,389.924,343061.0,,3.1163,-0.435,-1.71,
2025-10-31,300750,391.094,381.864,399.894,381.294,340484.0,,4.7524,-2.4324,-9.52,
2025-11-03,300750,380.094,379.954,385.004,368.864,263682.0,,4.2266,-0.5002,-1.91,
