Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,PctChg,涨跌额,Turnover
2025-07-07,600519,1370.299,1358.719,1371.519,1358.029,23855.0,,,,,
2025-07-08,600519,1358.729,1364.129,1368.019,1358.719,18674.0,,0.6845,0.3982,5.41,
2025-07-09,600519,1363.019,1366.899,1377.989,1362.189,27745.0,,1.1582,0.2031,2.77,
2025-07-10,600519,1366.989,1374.519,1384.199,1358.419,38725.0,,1.886,0.5575,7.62,
2025-07-11,600519,1371.179,1375.019,1406.019,1371.179,57243.0,,2.5347,0.0364,0.5,
2025-07-14,600519,1378.019,1371.619,1382.999,1369.619,27781.0,,0.9731,-0.2473,-3.4,
2025-07-15,600519,1368.999,1359.019,1370.949,1356.339,35406.0,,1.0652,-0.9186,-12.6,
2025-07-16,600519,1358.029,1359.049,1365.509,1357.969,21286.0,,0.5548,0.0022,0.03,
2025-07-17,600519,1361.999,1364.369,1371.029,1360.899,23106.0,,0.7454,0.3915,5.32,
2025-07-18,600519,1368.019,1385.019,1385.829,1364.399,41823.0,,1.5707,1.5135,20.65,
2025-07-21,600519,1385.009,1391.019,1394.819,1383.019,26203.0,,0.852,0.4332,6.0,
2025-07-22,600519,1392.019,1412.999,1414.619,1388.699,42119.0,,1.8634,1.5801,21.98,
2025-07-23,600519,1417.019,1423.519,1443.019,1416.969,45045.0,,1.8436,0.7445,10.52,
2025-07-24,600519,1424.019,1439.519,1447.019,1423.019,38804.0,,1.686,1.124,16.0,
2025-07-25,600519,1439.419,1403.019,1439.419,1401.019,41911.0,,2.6676,-2.5356,-36.5,
2025-07-28,600519,1401.019,1386.679,1403.009,1384.319,38586.0,,1.3321,-1.1646,-16.34,
2025-07-29,600519,1387.619,1387.019,1396.809,1383.029,26304.0,,0.9937,0.0245,0.34,
2025-07-30,600519,1392.019,1397.459,1405.179,1385.019,31868.0,,1.4535,0.7527,10.44,
2025-07-31,600519,1391.019,1369.689,1392.889,1366.019,51798.0,,1.9228,-1.9872,-27.77,
2025-08-01,600519,1369.889,1365.019,1373.979,1362.019,29636.0,,0.8732,-0.341,-4.67,
2025-08-04,600519,1363.019,1367.019,1367.819,1362.019,18688.0,,0.4249,0.1465,2.0,
2025-08-05,600519,1369.019,1375.759,1377.959,1365.129,25342.0,,0.9385,0.6393,8.74,
2025-08-06,600519,1377.019,1371.899,1377.019,1367.319,23699.0,,0.7051,-0.2806,-3.86,
2025-08-07,600519,1371.899,1370.369,1375.719,1368.079,28001.0,,0.5569,-0.1115,-1.53,
2025-08-08,600519,1371.069,1368.989,1374.519,1366.019,18655.0,,0.6203,-0.1007,-1.38,
2025-08-11,600519,1371.519,1393.019,1400.009,1371.019,47159.0,,2.1176,1.7553,24.03,
2025-08-12,600519,1397.019,1385.059,1413.089,1384.019,42019.0,,2.0868,-0.5714,-7.96,
2025-08-13,600519,1373.019,1368.069,1381.699,1368.019,65528.0,,0.9877,-1.2267,-16.99,
2025-08-14,600519,1368.959,1375.009,1395.529,1368.959,48129.0,,1.9422,0.5073,6.94,
2025-08-15,600519,1374.029,1370.099,1376.679,1368.239,47582.0,,0.6138,-0.3571,-4.91,
2025-08-18,600519,1375.009,1376.519,1384.659,1371.119,47378.0,,0.9882,0.4686,6.42,
2025-08-19,600519,1381.519,1386.019,1394.679,1380.019,46372.0,,1.065,0.6901,9.5,
2025-08-20,600519,1386.019,1398.019,1400.819,1378.039,45805.0,,1.6436,0.8658,12.0,
2025-08-21,600519,1401.469,1396.269,1403.009,1391.669,30891.0,,0.8111,-0.1252,-1.75,
2025-08-22,600519,1396.899,1411.969,1412.019,1392.789,44971.0,,1.3772,1.1244,15.7,
2025-08-25,600519,1418.029,1438.349,1444.019,1414.019,65325.0,,2.1247,1.8683,26.38,
2025-08-26,600519,1438.339,1429.629,1442.249,1428.029,39602.0,,0.9886,-0.6063,-8.72,
2025-08-27,600519,1429.899,1396.019,1432.949,1396.019,56006.0,,2.5832,-2.351,-33.61,
2025-08-28,600519,1395.989,1394.119,1404.119,1386.789,39282.0,,1.2414,-0.1361,-1.9,
2025-08-29,600519,1401.019,1428.019,1430.599,1400.019,62256.0,,2.1935,2.4316,33.9,
2025-09-01,600519,1430.219,1424.119,1436.019,1413.719,45123.0,,1.5616,-0.2731,-3.9,
2025-09-02,600519,1426.679,1439.319,1457.019,1426.019,56688.0,,2.1768,1.0673,15.2,
2025-09-03,600519,1439.019,1428.569,1451.519,1414.019,45045.0,,2.6054,-0.7469,-10.75,
2025-09-04,600519,1420.019,1420.679,1427.319,1408.489,47747.0,,1.3181,-0.5523,-7.89,
2025-09-05,600519,1419.019,1431.019,1434.989,1412.019,37388.0,,1.6168,0.7278,10.34,
2025-09-08,600519,1431.019,1449.249,1454.459,1425.519,51383.0,,2.0223,1.2739,18.23,
2025-09-09,600519,1453.019,1453.019,1457.969,1441.439,35743.0,,1.1406,0.2601,3.77,
2025-09-10,600519,1454.679,1470.029,1477.969,1444.019,49663.0,,2.3365,1.1707,17.01,
2025-09-11,600519,1470.029,1471.519,1474.039,1456.519,37239.0,,1.1918,0.1014,1.49,
2025-09-12,600519,1474.019,1464.019,1486.039,1458.549,33722.0,,1.8681,-0.5097,-7.5,
2025-09-15,600519,1463.889,1463.119,1465.499,1449.519,25827.0,,1.0915,-0.0615,-0.9,
2025-09-16,600519,1463.119,1447.999,1469.009,1444.229,32718.0,,1.6936,-1.0334,-15.12,
2025-09-17,600519,1448.009,1441.019,1458.299,1438.029,30331.0,,1.3999,-0.482,-6.98,
2025-09-18,600519,1440.019,1415.979,1445.819,1411.519,49721.0,,2.3803,-1.7377,-25.04,
2025-09-19,600519,1416.009,1415.989,1423.519,1405.029,32637.0,,1.3058,0.0007,0.01,
2025-09-22,600519,1413.109,1401.369,1415.989,1398.029,34947.0,,1.2684,-1.0325,-14.62,
2025-09-23,600519,1398.519,1395.439,1405.519,1388.019,38663.0,,1.2488,-0.4232,-5.93,
2025-09-24,600519,1382.089,1390.019,1404.799,1382.089,30744.0,,1.6274,-0.3884,-5.42,
2025-09-25,600519,1390.849,1387.019,1393.229,1384.019,33870.0,,0.6626,-0.2158,-3.0,
2025-09-26,600519,1389.199,1383.019,1395.129,1376.029,45121.0,,1.3771,-0.2884,-4.0,
2025-09-29,600519,1387.399,1408.879,1418.009,1383.019,53684.0,,2.53,1.8698,25.86,
2025-09-30,600519,1408.019,1392.009,1408.779,1388.019,39364.0,,1.4735,-1.1974,-16.87,
2025-10-09,600519,1384.019,1384.799,1387.399,1368.019,54918.0,,1.3922,-0.518,-7.21,
2025-10-10,600519,1385.619,1378.019,1387.959,1375.519,36001.0,,0.8983,-0.4896,-6.78,
2025-10-13,600519,1363.719,1367.219,1370.869,1363.139,46069.0,,0.561,-0.7837,-10.8,
2025-10-14,600519,1378.009,1399.039,1412.019,1378.009,66672.0,,2.4875,2.3274,31.82,
2025-10-15,600519,1398.999,1410.019,1411.019,1393.099,42785.0,,1.2809,0.7848,10.98,
2025-10-16,600519,1409.939,1432.929,1432.969,1406.899,45730.0,,1.8489,1.6248,22.91,
2025-10-17,600519,1431.119,1403.019,1436.019,1402.049,38086.0,,2.3707,-2.0873,-29.91,
2025-10-20,600519,1403.019,1405.949,1417.519,1402.899,25950.0,,1.042,0.2088,2.93,
2025-10-21,600519,1407.019,1410.279,1417.959,1403.519,25443.0,,1.0271,0.308,4.33,
2025-10-22,600519,1410.099,1406.719,1413.749,1404.019,18195.0,,0.6899,-0.2524,-3.56,
2025-10-23,600519,1403.019,1415.999,1416.819,1395.219,29322.0,,1.5355,0.6597,9.28,
2025-10-24,600519,1415.969,1398.019,1426.899,1397.359,38226.0,,2.0862,-1.2698,-17.98,
2025-10-27,600519,1388.019,1388.429,1400.509,1384.009,37102.0,,1.1802,-0.686,-9.59,
2025-10-28,600519,1390.019,1393.019,1399.219,1389.119,27124.0,,0.7274,0.3306,4.59,
