Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,PctChg,涨跌额,Turnover
2025-08-07,601318,55.43,55.2,55.78,54.85,327972.0,,,,,
2025-08-08,601318,55.2,54.86,55.22,54.54,397933.0,,1.2319,-0.6159,-0.34,
2025-08-11,601318,55.09,54.79,55.46,54.79,431869.0,,1.2213,-0.1276,-0.07,
2025-08-12,601318,54.79,55.07,55.39,54.79,426985.0,,1.0951,0.511,0.28,
2025-08-13,601318,55.24,54.93,55.72,54.78,728453.0,,1.7069,-0.2542,-0.14,
2025-08-14,601318,55.12,55.94,56.92,55.09,1022768.0,,3.3315,1.8387,1.01,
2025-08-15,601318,55.92,56.12,56.77,55.32,892968.0,,2.5921,0.3218,0.18,
2025-08-18,601318,56.24,55.66,56.67,55.66,957263.0,,1.7997,-0.8197,-0.46,
2025-08-19,601318,56.09,54.52,56.5,54.4,954810.0,,3.7729,-2.0481,-1.14,
2025-08-20,601318,54.41,55.52,55.52,54.01,762725.0,,2.7696,1.8342,1.0,
2025-08-21,601318,55.52,55.94,56.28,55.23,574601.0,,1.8912,0.7565,0.42,
2025-08-22,601318,55.83,56.82,56.83,55.76,780974.0,,1.9128,1.5731,0.88,
2025-08-25,601318,56.92,57.32,57.37,56.43,670113.0,,1.6543,0.88,0.5,
2025-08-26,601318,57.22,56.84,57.32,56.77,491986.0,,0.9595,-0.8374,-0.48,
2025-08-27,601318,56.7,55.01,56.77,55.01,1064558.0,,3.0964,-3.2196,-1.83,
2025-08-28,601318,55.07,55.16,55.44,54.63,636105.0,,1.4725,0.2727,0.15,
2025-08-29,601318,55.27,56.2,57.42,55.26,1080309.0,,3.9159,1.8854,1.04,
2025-09-01,601318,56.11,54.83,56.11,54.65,948525.0,,2.5979,-2.4377,-1.37,
2025-09-02,601318,54.82,54.98,55.12,54.54,649036.0,,1.0578,0.2736,0.15,
2025-09-03,601318,55.26,54.1,55.42,53.68,714746.0,,3.1648,-1.6006,-0.88,
2025-09-04,601318,54.09,53.82,54.29,53.38,727436.0,,1.6821,-0.5176,-0.28,
2025-09-05,601318,53.82,54.22,54.38,53.35,558184.0,,1.9138,0.7432,0.4,
2025-09-08,601318,54.08,54.02,54.36,53.64,487733.0,,1.3279,-0.3689,-0.2,
2025-09-09,601318,54.08,54.32,54.61,53.87,518911.0,,1.3699,0.5553,0.3,
2025-09-10,601318,54.09,54.19,54.48,53.94,308470.0,,0.9941,-0.2393,-0.13,
2025-09-11,601318,54.22,55.01,55.01,53.92,595072.0,,2.0114,1.5132,0.82,
2025-09-12,601318,55.3,54.0,55.52,53.82,735376.0,,3.0903,-1.836,-1.01,
2025-09-15,601318,53.97,53.65,54.31,53.41,546842.0,,1.6667,-0.6481,-0.35,
2025-09-16,601318,53.67,52.94,53.77,52.82,685714.0,,1.7707,-1.3234,-0.71,
2025-09-17,601318,52.98,52.89,53.29,52.77,684652.0,,0.9822,-0.0944,-0.05,
2025-09-18,601318,52.96,51.6,52.99,51.43,1012074.0,,2.9495,-2.439,-1.29,
2025-09-19,601318,51.61,51.42,52.32,51.32,543321.0,,1.938,-0.3488,-0.18,
2025-09-22,601318,51.69,51.47,51.97,51.32,374438.0,,1.2641,0.0972,0.05,
