市场,名称,交易日,期初,期末,最高,最低,涨跌幅(%),年化波动(%),最大回撤(%)
A股,平安银行,241,11.47,10.23,12.58,10.09,-10.81,16.44,19.79
A股,贵州茅台,241,1357.54,1168.63,1526.98,1168.63,-13.92,20.81,23.47
A股,比亚迪,241,109.31,78.2,114.06,78.2,-28.46,27.5,31.44
A股,中国平安,241,52.78,47.23,72.57,47.23,-10.52,26.8,34.92
A股,宁德时代,241,244.31,381.0,460.0,242.54,55.95,39.13,18.77
港股,腾讯控股,244,497.7,411.8,672.2,411.8,-17.26,30.63,38.74
港股,阿里巴巴,244,108.772,89.5,184.072,89.5,-17.72,47.81,51.38
港股,美团,244,125.3,64.25,134.4,64.25,-48.72,41.24,52.19
港股,香港交易所,244,406.28,362.2,451.48,362.2,-10.85,22.22,19.77
港股,中国移动,244,81.83,77.4,86.33,74.98,-5.41,11.71,13.15
