feature,feature_cn,cv_auc_mean,cv_auc_std,cv_auc_min,direction_consistency
worst perimeter,较大值周长,0.97203302373581,0.0165888861025722,0.95562435500516,1.0
worst area,较大值面积,0.967905056759546,0.0186345249268519,0.9453044375644996,1.0
worst radius,较大值半径,0.9675438596491228,0.0191174555614206,0.946078431372549,1.0
mean concave points,平均凹点数,0.9639834881320948,0.0301723043411428,0.930340557275542,1.0
worst concave points,较大值凹点数,0.9635706914344686,0.0335126309499148,0.9285345717234262,1.0
mean perimeter,平均周长,0.9444272445820434,0.028645672447242,0.9099587203302372,1.0
mean area,平均面积,0.9364293085655314,0.030432056837805,0.8975748194014448,1.0
mean radius,平均半径,0.9363261093911248,0.0312094335142088,0.8975748194014447,1.0
mean concavity,平均凹度,0.93359133126935,0.0505121481566852,0.8681630546955624,1.0
area error,面积标准误,0.923374613003096,0.0161429207543453,0.9091847265221878,1.0
worst concavity,较大值凹度,0.9124871001031992,0.0502465138615997,0.8503611971104231,1.0
perimeter error,周长标准误,0.8726006191950464,0.0315699245829634,0.8498452012383901,1.0
mean compactness,平均紧密度,0.8717234262125902,0.0742994638330687,0.7791537667698658,1.0
radius error,半径标准误,0.8666150670794635,0.0339235402489336,0.8436532507739938,1.0
worst compactness,较大值紧密度,0.8618679050567597,0.0670034100893473,0.7899896800825593,1.0
