feature,feature_cn,benign_mean,malignant_mean,standardized_mean_difference,raw_auc,direction_free_auc,cv_auc_mean,cv_auc_std,cv_auc_min,direction_consistency,direction
worst perimeter,较大值周长,87.21898245614034,142.46535294117646,2.595332603671787,0.9735810113519092,0.9735810113519092,0.9720330237358101,0.016588886102572264,0.95562435500516,1.0,值越大越偏恶性
worst area,较大值面积,561.8122807017544,1441.7205882352941,2.214484500828425,0.9681940144478846,0.9681940144478846,0.9679050567595459,0.01863452492685198,0.9453044375644996,1.0,值越大越偏恶性
worst radius,较大值半径,13.411364912280703,21.28058823529412,2.550832781894568,0.9689783281733746,0.9689783281733746,0.9675438596491228,0.019117455561420697,0.946078431372549,1.0,值越大越偏恶性
mean concave points,平均凹点数,0.025263936842105265,0.08883188235294118,2.5354441584930014,0.9635706914344685,0.9635706914344685,0.9639834881320949,0.030172304341142826,0.9303405572755419,1.0,值越大越偏恶性
worst concave points,较大值凹点数,0.07494196842105262,0.1834694705882353,2.6249766594712325,0.9627038183694531,0.9627038183694531,0.9635706914344686,0.03351263094991483,0.9285345717234262,1.0,值越大越偏恶性
mean perimeter,平均周长,78.10449122807019,115.87317647058825,2.269408993279913,0.9456965944272446,0.9456965944272446,0.9444272445820434,0.028645672447242098,0.9099587203302373,1.0,值越大越偏恶性
mean area,平均面积,463.85684210526307,987.699411764706,2.043945327838392,0.9372652218782248,0.9372652218782248,0.9364293085655314,0.03043205683780501,0.8975748194014448,1.0,值越大越偏恶性
mean radius,平均半径,12.155491228070176,17.53676470588235,2.191220194209736,0.9367905056759546,0.9367905056759546,0.9363261093911248,0.03120943351420882,0.8975748194014447,1.0,值越大越偏恶性
mean concavity,平均凹度,0.04609255684210527,0.16142629411764706,1.9323138688050554,0.9327244582043344,0.9327244582043344,0.9335913312693499,0.05051214815668523,0.8681630546955624,1.0,值越大越偏恶性
area error,面积标准误,21.35193684210526,74.68641176470588,1.3021801152179227,0.9208771929824562,0.9208771929824562,0.9233746130030959,0.016142920754345362,0.9091847265221878,1.0,值越大越偏恶性
worst concavity,较大值凹度,0.16994953333333332,0.45155929411764706,1.7322059414397553,0.9154592363261095,0.9154592363261095,0.9124871001031991,0.05024651386159974,0.8503611971104231,1.0,值越大越偏恶性
perimeter error,周长标准误,2.0160098245614035,4.412947058823529,1.3468754780473016,0.8714138286893705,0.8714138286893705,0.8726006191950464,0.03156992458296348,0.8498452012383901,1.0,值越大越偏恶性
mean compactness,平均紧密度,0.07861101754385964,0.14612188235294116,1.5732658695890396,0.8695975232198142,0.8695975232198142,0.8717234262125902,0.07429946383306871,0.7791537667698658,1.0,值越大越偏恶性
radius error,半径标准误,0.28613964912280704,0.6208258823529412,1.388974043553512,0.8659029927760578,0.8659029927760578,0.8666150670794635,0.03392354024893363,0.8436532507739938,1.0,值越大越偏恶性
worst compactness,较大值紧密度,0.18379122807017542,0.3757965294117647,1.495660698370473,0.861486068111455,0.861486068111455,0.8618679050567597,0.06700341008934736,0.7899896800825593,1.0,值越大越偏恶性
concave points error,凹点数标准误,0.009738333333333333,0.014963564705882353,0.9065211577727983,0.7871001031991743,0.7871001031991743,0.7918472652218783,0.07800233837888398,0.6754385964912281,1.0,值越大越偏恶性
worst texture,较大值纹理,23.716105263157896,29.57429411764706,1.088301583987131,0.7878637770897833,0.7878637770897833,0.7867905056759545,0.03424994265962748,0.7512899896800825,1.0,值越大越偏恶性
concavity error,凹度标准误,0.02644917754385965,0.041352764705882346,0.48182535850782443,0.7769556243550052,0.7769556243550052,0.7779153766769866,0.0758957839257957,0.6702786377708978,1.0,值越大越偏恶性
mean texture,平均纹理,18.048631578947372,21.712882352941175,0.9369611789395835,0.7708565531475747,0.7708565531475747,0.7668214654282767,0.04447618030568237,0.7007223942208463,1.0,值越大越偏恶性
worst smoothness,较大值光滑度,0.12426382456140352,0.14519170588235292,0.9869539686305333,0.7589576883384933,0.7589576883384933,0.759545923632611,0.07642315203951958,0.6839525283797729,1.0,值越大越偏恶性
mean smoothness,平均光滑度,0.09170312280701755,0.10318470588235294,0.869837623748415,0.7423013415892673,0.7423013415892673,0.7490712074303406,0.0839490159189051,0.6635706914344686,1.0,值越大越偏恶性
worst symmetry,较大值对称度,0.2706340350877193,0.32611647058823534,0.9717848783468044,0.7420639834881322,0.7420639834881322,0.740970072239422,0.06872461637965958,0.6542827657378741,1.0,值越大越偏恶性
compactness error,紧密度标准误,0.0214490701754386,0.03181868823529412,0.6131507269823923,0.7188854489164087,0.7188854489164087,0.721001031991744,0.07927563332311613,0.6217750257997936,1.0,值越大越偏恶性
mean symmetry,平均对称度,0.17421754385964913,0.19370117647058824,0.7489442557805314,0.7020020639834881,0.7020020639834881,0.6971620227038184,0.08784505797276684,0.5851393188854489,1.0,值越大越偏恶性
worst fractal dimension,较大值分形维数,0.07955280701754386,0.09178664705882353,0.7115012916893532,0.6920227038183695,0.6920227038183695,0.69437564499484,0.07483865984664224,0.5923632610939112,1.0,值越大越偏恶性
fractal dimension error,分形维数标准误,0.0036232045614035084,0.004005494117647059,0.1454472114600138,0.6214447884416925,0.6214447884416925,0.6230650154798762,0.0956601934633865,0.5054179566563467,1.0,值越大越偏恶性
symmetry error,对称度标准误,0.020385470175438597,0.02049581764705882,0.0132635781126333,0.4425180598555212,0.5574819401444788,0.5588235294117647,0.07975683948814523,0.46310629514963886,1.0,值越小越偏恶性
smoothness error,光滑度标准误,0.007020021052631579,0.006686082352941176,-0.11704135327465034,0.463921568627451,0.5360784313725491,0.46656346749226013,0.08227294883105288,0.32301341589267285,0.8,值越小越偏恶性
mean fractal dimension,平均分形维数,0.06268505263157895,0.06276470588235294,0.01141461435286003,0.49282765737874096,0.5071723426212591,0.45897832817337464,0.07827123337109453,0.3637770897832817,0.8,值越小越偏恶性
texture error,纹理标准误,1.220721052631579,1.2131223529411763,-0.01374312530375603,0.5143653250773994,0.5143653250773994,0.4518575851393189,0.03984485576957074,0.4171826625386997,0.6,值越大越偏恶性
