model,model_label,actual_label,predicted_label,count,row_rate
decision_tree,决策树,实际未跑赢 0,预测未跑赢 0,20,0.8695652173913043
decision_tree,决策树,实际未跑赢 0,预测跑赢 1,3,0.13043478260869565
decision_tree,决策树,实际跑赢 1,预测未跑赢 0,17,0.68
decision_tree,决策树,实际跑赢 1,预测跑赢 1,8,0.32
gradient_boosting,梯度提升,实际未跑赢 0,预测未跑赢 0,2,0.08695652173913043
gradient_boosting,梯度提升,实际未跑赢 0,预测跑赢 1,21,0.9130434782608695
gradient_boosting,梯度提升,实际跑赢 1,预测未跑赢 0,5,0.2
gradient_boosting,梯度提升,实际跑赢 1,预测跑赢 1,20,0.8
random_forest,随机森林,实际未跑赢 0,预测未跑赢 0,9,0.391304347826087
random_forest,随机森林,实际未跑赢 0,预测跑赢 1,14,0.6086956521739131
random_forest,随机森林,实际跑赢 1,预测未跑赢 0,13,0.52
random_forest,随机森林,实际跑赢 1,预测跑赢 1,12,0.48
logistic_regression,逻辑回归,实际未跑赢 0,预测未跑赢 0,4,0.17391304347826086
logistic_regression,逻辑回归,实际未跑赢 0,预测跑赢 1,19,0.8260869565217391
logistic_regression,逻辑回归,实际跑赢 1,预测未跑赢 0,7,0.28
logistic_regression,逻辑回归,实际跑赢 1,预测跑赢 1,18,0.72
