model,model_cn,params,mean_validation_auc,std_validation_auc,auc_2021,auc_2022,auc_2023,auc_2024
logistic_regression,逻辑回归,"{""C"": 0.03}",0.5774164059320309,0.06428199850068761,0.6734375,0.5400641025641025,0.5535714285714286,0.5425925925925925
logistic_regression,逻辑回归,"{""C"": 0.1}",0.5854369588744589,0.08061937154587112,0.70625,0.5416666666666666,0.5438311688311688,0.55
logistic_regression,逻辑回归,"{""C"": 0.3}",0.5862771921365671,0.08522242219364921,0.7140625,0.546474358974359,0.5438311688311688,0.5407407407407407
logistic_regression,逻辑回归,"{""C"": 1.0}",0.5870899355274356,0.08791893318719841,0.71875,0.5496794871794872,0.5373376623376623,0.5425925925925926
decision_tree,决策树,"{""max_depth"": 2, ""min_samples_leaf"": 8, ""class_weight"": ""balanced""}",0.5112082145285269,0.03191419946279759,0.48046875,0.5536858974358974,0.5162337662337662,0.49444444444444435
decision_tree,决策树,"{""max_depth"": 2, ""min_samples_leaf"": 15, ""class_weight"": ""balanced""}",0.5359260964729715,0.05158956618854381,0.4765625,0.5536858974358974,0.5162337662337662,0.5972222222222223
decision_tree,决策树,"{""max_depth"": 3, ""min_samples_leaf"": 8, ""class_weight"": ""balanced""}",0.5070254398379398,0.05973463772914704,0.42500000000000004,0.5681089743589743,0.5211038961038961,0.5138888888888888
decision_tree,决策树,"{""max_depth"": 3, ""min_samples_leaf"": 15, ""class_weight"": ""balanced""}",0.5534057594604469,0.06320081814994676,0.51953125,0.5248397435897436,0.5211038961038961,0.6481481481481481
decision_tree,决策树,"{""max_depth"": 4, ""min_samples_leaf"": 8, ""class_weight"": ""balanced""}",0.4992578529687905,0.03216876180955106,0.46640625,0.4927884615384615,0.4943181818181818,0.5435185185185185
decision_tree,决策树,"{""max_depth"": 4, ""min_samples_leaf"": 15, ""class_weight"": ""balanced""}",0.5341777363261738,0.04832005603889313,0.52890625,0.5240384615384615,0.48376623376623373,0.6
random_forest,随机森林,"{""max_depth"": 3, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.5497058786121286,0.08067182513426788,0.634375,0.5865384615384616,0.4464285714285714,0.5314814814814814
random_forest,随机森林,"{""max_depth"": 3, ""min_samples_leaf"": 10, ""max_features"": ""sqrt""}",0.5733858011201762,0.07238746210247635,0.6515625,0.5721153846153847,0.4772727272727273,0.5925925925925926
random_forest,随机森林,"{""max_depth"": 5, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.553251436063936,0.0883809419279123,0.63125,0.5881410256410257,0.42694805194805197,0.5666666666666667
random_forest,随机森林,"{""max_depth"": 5, ""min_samples_leaf"": 10, ""max_features"": ""sqrt""}",0.5637887430856181,0.08923770740521014,0.6453125,0.5625,0.43993506493506496,0.6074074074074074
random_forest,随机森林,"{""max_depth"": 7, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",0.5453427793271542,0.09359521117159313,0.6265624999999999,0.594551282051282,0.413961038961039,0.5462962962962963
random_forest,随机森林,"{""max_depth"": 7, ""min_samples_leaf"": 10, ""max_features"": ""sqrt""}",0.5662705205673956,0.08727315585368059,0.6453125,0.5657051282051282,0.44480519480519476,0.6092592592592593
gradient_boosting,梯度提升,"{""n_estimators"": 80, ""learning_rate"": 0.03, ""max_depth"": 1, ""min_samples_leaf"": 8}",0.5557693102614978,0.03663491964736145,0.5945312500000001,0.5737179487179487,0.5446428571428571,0.5101851851851852
gradient_boosting,梯度提升,"{""n_estimators"": 80, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 8}",0.5513437589609465,0.05742505975885203,0.59453125,0.6057692307692307,0.4902597402597403,0.5148148148148148
gradient_boosting,梯度提升,"{""n_estimators"": 80, ""learning_rate"": 0.05, ""max_depth"": 1, ""min_samples_leaf"": 8}",0.5709911399364523,0.047010559491996055,0.6054687499999999,0.6113782051282051,0.5560064935064934,0.5111111111111111
gradient_boosting,梯度提升,"{""n_estimators"": 80, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 8}",0.5574280898499648,0.05529335641758708,0.5890624999999999,0.609775641025641,0.48457792207792205,0.5462962962962963
gradient_boosting,梯度提升,"{""n_estimators"": 150, ""learning_rate"": 0.03, ""max_depth"": 1, ""min_samples_leaf"": 8}",0.5645713733604358,0.06024766688904283,0.6085937499999999,0.624198717948718,0.5162337662337663,0.5092592592592593
gradient_boosting,梯度提升,"{""n_estimators"": 150, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 8}",0.5557925147768898,0.0520846269013338,0.5828125,0.6049679487179487,0.48538961038961037,0.55
gradient_boosting,梯度提升,"{""n_estimators"": 150, ""learning_rate"": 0.05, ""max_depth"": 1, ""min_samples_leaf"": 8}",0.5702645228035853,0.06870138364293436,0.63359375,0.625801282051282,0.510551948051948,0.5111111111111111
gradient_boosting,梯度提升,"{""n_estimators"": 150, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 8}",0.5616077643421393,0.05173863646991769,0.5890625,0.6057692307692307,0.48863636363636365,0.562962962962963
