model,fpr,tpr,threshold
logistic_regression,0.0,0.0,1.8362039996144939
logistic_regression,0.0,0.04,0.8362039996144939
logistic_regression,0.0,0.12,0.7784514035750288
logistic_regression,0.17391304347826086,0.12,0.7236232865726139
logistic_regression,0.17391304347826086,0.16,0.722509137734727
logistic_regression,0.34782608695652173,0.16,0.6927672196770611
logistic_regression,0.34782608695652173,0.2,0.6902611323302775
logistic_regression,0.4782608695652174,0.2,0.662483318977137
logistic_regression,0.4782608695652174,0.32,0.6288635402858052
logistic_regression,0.5217391304347826,0.32,0.620725100510973
logistic_regression,0.5217391304347826,0.36,0.618350765480709
logistic_regression,0.5652173913043478,0.36,0.6149732177350541
logistic_regression,0.5652173913043478,0.4,0.5956297554369747
logistic_regression,0.6956521739130435,0.4,0.5757178792457256
logistic_regression,0.6956521739130435,0.44,0.5744462601754804
logistic_regression,0.7391304347826086,0.44,0.5597184617123983
logistic_regression,0.7391304347826086,0.56,0.5454171073460125
logistic_regression,0.782608695652174,0.56,0.5355512667561196
logistic_regression,0.782608695652174,0.6,0.5320838665927471
logistic_regression,0.8260869565217391,0.6,0.5220075252134336
logistic_regression,0.8260869565217391,0.76,0.4938764689732113
logistic_regression,0.8695652173913043,0.76,0.48988478913576267
logistic_regression,0.8695652173913043,0.8,0.489532314773144
logistic_regression,0.9130434782608695,0.8,0.48908589208831343
logistic_regression,0.9130434782608695,0.84,0.46881033948902273
logistic_regression,0.9565217391304348,0.84,0.4570976894867448
logistic_regression,0.9565217391304348,0.88,0.45441768937219373
logistic_regression,1.0,0.88,0.44806715249762946
logistic_regression,1.0,1.0,0.3428032932364128
decision_tree,0.0,0.0,1.8506258692628652
decision_tree,0.0,0.08,0.8506258692628651
decision_tree,0.0,0.12,0.7564625850340136
decision_tree,0.13043478260869565,0.32,0.7042625839850203
decision_tree,0.6956521739130435,0.56,0.49586932031543346
decision_tree,0.9565217391304348,1.0,0.36326678765880194
decision_tree,1.0,1.0,0.05255198487712667
random_forest,0.0,0.0,1.7831971257813712
random_forest,0.0,0.04,0.7831971257813712
random_forest,0.0,0.12,0.6890837455803847
random_forest,0.30434782608695654,0.12,0.6188651068068283
random_forest,0.30434782608695654,0.16,0.6015328787687853
random_forest,0.43478260869565216,0.16,0.5776831481178333
random_forest,0.43478260869565216,0.36,0.5607470017864409
random_forest,0.5217391304347826,0.36,0.5459800924656437
random_forest,0.5217391304347826,0.4,0.5316102678303103
random_forest,0.5652173913043478,0.4,0.5302435885784645
random_forest,0.5652173913043478,0.44,0.5170412111003665
random_forest,0.6086956521739131,0.44,0.5007292386734092
random_forest,0.6086956521739131,0.48,0.5005548232235998
random_forest,0.7391304347826086,0.48,0.49282456353402415
random_forest,0.7391304347826086,0.68,0.4733248249869906
random_forest,0.782608695652174,0.68,0.45012001430732795
random_forest,0.782608695652174,0.72,0.44984056896235786
random_forest,0.8695652173913043,0.72,0.44342911002496316
random_forest,0.8695652173913043,0.84,0.4369727443559303
random_forest,0.9130434782608695,0.84,0.429542890211036
random_forest,0.9130434782608695,0.92,0.4126340940123373
random_forest,0.9565217391304348,0.92,0.4115427269295576
random_forest,0.9565217391304348,1.0,0.3962611550244482
random_forest,1.0,1.0,0.3835294186766008
gradient_boosting,0.0,0.0,1.820925231851799
gradient_boosting,0.0,0.04,0.8209252318517989
gradient_boosting,0.0,0.12,0.689722784227633
gradient_boosting,0.0,0.2,0.6647131071466277
gradient_boosting,0.08695652173913043,0.2,0.6537379273532897
gradient_boosting,0.17391304347826086,0.2,0.6529675813297451
gradient_boosting,0.2608695652173913,0.2,0.6411761136901653
gradient_boosting,0.30434782608695654,0.24,0.633546739334295
gradient_boosting,0.30434782608695654,0.28,0.626645930891076
gradient_boosting,0.34782608695652173,0.28,0.6256238536442045
gradient_boosting,0.43478260869565216,0.28,0.6127809592216508
gradient_boosting,0.4782608695652174,0.32,0.6057324591367522
gradient_boosting,0.4782608695652174,0.44,0.5925146283174624
gradient_boosting,0.6086956521739131,0.48,0.5853468516155917
gradient_boosting,0.6956521739130435,0.48,0.5646986278109871
gradient_boosting,0.6956521739130435,0.56,0.5499399929115506
gradient_boosting,0.7391304347826086,0.72,0.5362836299545992
gradient_boosting,0.9130434782608695,0.8,0.5289131469742877
gradient_boosting,0.9130434782608695,0.84,0.49471909163799926
gradient_boosting,0.9565217391304348,0.84,0.46581974837390794
gradient_boosting,0.9565217391304348,0.92,0.4515978780015895
gradient_boosting,1.0,0.92,0.4442761882604039
gradient_boosting,1.0,1.0,0.3865264261651286
