feature,feature_cn,mean_auc,std_auc,min_auc,max_auc,years_above_0_5
return_1d,1日收益,0.5779597861629111,0.0629857958009807,0.5148148148148147,0.6546875,4
rsi14,RSI(14),0.570270556989307,0.06561685320780211,0.49358974358974356,0.653125,3
open_close_return,开收盘收益,0.5509518982175232,0.0636330909663031,0.4981481481481481,0.6359374999999999,3
ma20_gap,20日均线偏离,0.5447055115023864,0.07047391176011225,0.4503205128205128,0.6203125,3
return_10d,10日收益,0.5394042733886484,0.0523236186419013,0.47916666666666663,0.6015625,3
return_20d,20日收益,0.5376060137778889,0.05176081746519688,0.47516025641025644,0.6000000000000001,3
amount_ratio20,20日额比,0.5363290644540645,0.06312959532065895,0.47077922077922074,0.6203703703703703,3
return_5d,5日收益,0.5337056895650646,0.05584771991078173,0.4519230769230769,0.5765625,3
volume_ratio20,20日量比,0.531190640956266,0.07821339705084264,0.4366883116883117,0.6277777777777778,3
intraday_range,日内振幅,0.5275388890623266,0.04581426996999047,0.47077922077922074,0.5681089743589745,3
benchmark_volatility20,沪深300 20日波动率,0.5243814778971029,0.09683255282286318,0.4,0.6038961038961038,2
ma5_gap,5日均线偏离,0.515897672928923,0.07702322903761963,0.437037037037037,0.596875,2
benchmark_return_20d,沪深300 20日收益,0.5118007137538387,0.12221025383493592,0.33974358974358976,0.6217532467532467,3
excess_return_5d,5日超额收益,0.5048892947330447,0.08541331233020853,0.39583333333333337,0.6031249999999999,2
excess_return_20d,20日超额收益,0.501101097976098,0.08581316962808122,0.3766025641025641,0.5648148148148149,3
macd_pct,MACD/价格,0.49789618656806156,0.09535775681239952,0.37031249999999993,0.5925925925925926,2
volatility20,20日波动率,0.49504953958078957,0.1328300657916165,0.359375,0.6407407407407408,2
atr14_pct,ATR(14)/价格,0.47140167413604916,0.1256449123786529,0.3140625,0.5787037037037037,2
ma60_gap,60日均线偏离,0.44741063334813336,0.11307031929800793,0.30000000000000004,0.5665064102564102,1
beta60,60日贝塔,0.41153889513264513,0.20636422395485954,0.18888888888888888,0.671875,1
