feature,feature_cn,validation_year,auc,training_direction,validation_above_random
return_1d,1日收益,2021,0.6546875,1,True
return_1d,1日收益,2022,0.5400641025641025,1,True
return_1d,1日收益,2023,0.6022727272727273,1,True
return_1d,1日收益,2024,0.5148148148148147,1,True
return_5d,5日收益,2021,0.5765625,1,True
return_5d,5日收益,2022,0.4519230769230769,1,False
return_5d,5日收益,2023,0.547077922077922,1,True
return_5d,5日收益,2024,0.5592592592592593,1,True
return_10d,10日收益,2021,0.6015625,1,True
return_10d,10日收益,2022,0.47916666666666663,1,False
return_10d,10日收益,2023,0.5194805194805194,1,True
return_10d,10日收益,2024,0.5574074074074074,1,True
return_20d,20日收益,2021,0.5265625,1,True
return_20d,20日收益,2022,0.47516025641025644,1,False
return_20d,20日收益,2023,0.5487012987012987,1,True
return_20d,20日收益,2024,0.6000000000000001,1,True
ma5_gap,5日均线偏离,2021,0.596875,1,True
ma5_gap,5日均线偏离,2022,0.46474358974358976,1,False
ma5_gap,5日均线偏离,2023,0.564935064935065,1,True
ma5_gap,5日均线偏离,2024,0.437037037037037,1,False
ma20_gap,20日均线偏离,2021,0.6203125,1,True
ma20_gap,20日均线偏离,2022,0.4503205128205128,1,False
ma20_gap,20日均线偏离,2023,0.547077922077922,1,True
ma20_gap,20日均线偏离,2024,0.5611111111111111,1,True
ma60_gap,60日均线偏离,2021,0.30000000000000004,1,False
ma60_gap,60日均线偏离,2022,0.5665064102564102,-1,True
ma60_gap,60日均线偏离,2023,0.4935064935064935,-1,False
ma60_gap,60日均线偏离,2024,0.4296296296296296,-1,False
rsi14,RSI(14),2021,0.653125,1,True
rsi14,RSI(14),2022,0.49358974358974356,1,False
rsi14,RSI(14),2023,0.5584415584415584,1,True
rsi14,RSI(14),2024,0.575925925925926,1,True
macd_pct,MACD/价格,2021,0.37031249999999993,1,False
macd_pct,MACD/价格,2022,0.5416666666666667,-1,True
macd_pct,MACD/价格,2023,0.487012987012987,-1,False
macd_pct,MACD/价格,2024,0.5925925925925926,1,True
atr14_pct,ATR(14)/价格,2021,0.3140625,1,False
atr14_pct,ATR(14)/价格,2022,0.42628205128205127,-1,False
atr14_pct,ATR(14)/价格,2023,0.5665584415584416,1,True
atr14_pct,ATR(14)/价格,2024,0.5787037037037037,1,True
volatility20,20日波动率,2021,0.359375,1,False
volatility20,20日波动率,2022,0.40865384615384615,-1,False
volatility20,20日波动率,2023,0.5714285714285714,1,True
volatility20,20日波动率,2024,0.6407407407407408,1,True
intraday_range,日内振幅,2021,0.51015625,1,True
intraday_range,日内振幅,2022,0.5681089743589745,-1,True
intraday_range,日内振幅,2023,0.47077922077922074,-1,False
intraday_range,日内振幅,2024,0.5611111111111111,1,True
open_close_return,开收盘收益,2021,0.6359374999999999,1,True
open_close_return,开收盘收益,2022,0.5064102564102565,1,True
open_close_return,开收盘收益,2023,0.5633116883116883,1,True
open_close_return,开收盘收益,2024,0.4981481481481481,1,False
volume_ratio20,20日量比,2021,0.5234375,-1,True
volume_ratio20,20日量比,2022,0.5368589743589743,-1,True
volume_ratio20,20日量比,2023,0.4366883116883117,-1,False
volume_ratio20,20日量比,2024,0.6277777777777778,-1,True
amount_ratio20,20日额比,2021,0.5125,-1,True
amount_ratio20,20日额比,2022,0.5416666666666667,-1,True
amount_ratio20,20日额比,2023,0.47077922077922074,-1,False
amount_ratio20,20日额比,2024,0.6203703703703703,-1,True
excess_return_5d,5日超额收益,2021,0.6031249999999999,1,True
excess_return_5d,5日超额收益,2022,0.39583333333333337,1,False
excess_return_5d,5日超额收益,2023,0.49837662337662336,1,False
excess_return_5d,5日超额收益,2024,0.5222222222222221,1,True
excess_return_20d,20日超额收益,2021,0.55,1,True
excess_return_20d,20日超额收益,2022,0.3766025641025641,1,False
excess_return_20d,20日超额收益,2023,0.512987012987013,1,True
excess_return_20d,20日超额收益,2024,0.5648148148148149,1,True
benchmark_return_20d,沪深300 20日收益,2021,0.5671875,-1,True
benchmark_return_20d,沪深300 20日收益,2022,0.33974358974358976,-1,False
benchmark_return_20d,沪深300 20日收益,2023,0.6217532467532467,1,True
benchmark_return_20d,沪深300 20日收益,2024,0.5185185185185185,1,True
benchmark_volatility20,沪深300 20日波动率,2021,0.5984375,-1,True
benchmark_volatility20,沪深300 20日波动率,2022,0.4951923076923077,-1,False
benchmark_volatility20,沪深300 20日波动率,2023,0.6038961038961038,-1,True
benchmark_volatility20,沪深300 20日波动率,2024,0.4,-1,False
beta60,60日贝塔,2021,0.671875,1,True
beta60,60日贝塔,2022,0.4623397435897436,1,False
beta60,60日贝塔,2023,0.32305194805194803,1,False
beta60,60日贝塔,2024,0.18888888888888888,1,False
