模型,feature,特征,指标,数值
逻辑回归,ret_1q,上季度收益,标准化系数,-0.09660693595601724
逻辑回归,pb,PB,标准化系数,-0.14183706891264475
逻辑回归,equity_growth_lag1,滞后净资产增长,标准化系数,-0.07131845954813058
逻辑回归,assets_growth_lag1,滞后总资产增长,标准化系数,0.001488629365520296
逻辑回归,ps,PS,标准化系数,-0.060677758195785934
逻辑回归,abs_ret_1q,上季度收益绝对值,标准化系数,-0.02564344594035686
逻辑回归,ev_ebitda,EV/EBITDA,标准化系数,-0.06381311275674882
逻辑回归,pe,PE,标准化系数,0.021102241865740112
决策树,ret_1q,上季度收益,模型重要性,0.22232382376523188
决策树,pb,PB,模型重要性,0.6463481094785276
决策树,equity_growth_lag1,滞后净资产增长,模型重要性,0.0
决策树,assets_growth_lag1,滞后总资产增长,模型重要性,0.0
决策树,ps,PS,模型重要性,0.017324301177139532
决策树,abs_ret_1q,上季度收益绝对值,模型重要性,0.036053057542222045
决策树,ev_ebitda,EV/EBITDA,模型重要性,0.07795070803687885
决策树,pe,PE,模型重要性,0.0
随机森林,ret_1q,上季度收益,模型重要性,0.16127583452946137
随机森林,pb,PB,模型重要性,0.3228271122156885
随机森林,equity_growth_lag1,滞后净资产增长,模型重要性,0.07009762927351214
随机森林,assets_growth_lag1,滞后总资产增长,模型重要性,0.02140847015376543
随机森林,ps,PS,模型重要性,0.14233179741883156
随机森林,abs_ret_1q,上季度收益绝对值,模型重要性,0.053806820449037285
随机森林,ev_ebitda,EV/EBITDA,模型重要性,0.1689535241604958
随机森林,pe,PE,模型重要性,0.05929881179920803
梯度提升,ret_1q,上季度收益,模型重要性,0.2235468839273688
梯度提升,pb,PB,模型重要性,0.5038951616396636
梯度提升,equity_growth_lag1,滞后净资产增长,模型重要性,0.05978300770933256
梯度提升,assets_growth_lag1,滞后总资产增长,模型重要性,0.0
梯度提升,ps,PS,模型重要性,0.07159764204234105
梯度提升,abs_ret_1q,上季度收益绝对值,模型重要性,0.0
梯度提升,ev_ebitda,EV/EBITDA,模型重要性,0.14117730468129394
梯度提升,pe,PE,模型重要性,0.0
