feature,特征,滚动验证平均AUC,AUC标准差,方向一致折数,验证折1AUC,验证折2AUC,验证折3AUC,验证折4AUC
ret_1q,上季度收益,0.5733857791415168,0.05490146439587861,4,0.6182722687286946,0.5019026373832723,0.6345294587883118,0.5388387516657885
pb,PB,0.5652032974871035,0.071600866239781,4,0.47275205677814963,0.6127858035486108,0.5217255729042646,0.6535497567173892
equity_growth_lag1,滞后净资产增长,0.563258875209963,0.022376916805183857,4,0.5557996144985525,0.5416466461717049,0.5547989590774569,0.6007902810921375
assets_growth_lag1,滞后总资产增长,0.5472344092462255,0.03147254942371033,4,0.5401156396840736,0.5412891642303168,0.5102306357791612,0.5973021972913503
ps,PS,0.544149471420846,0.0647915526072055,4,0.45189079537355265,0.5922248179829482,0.5162771711399122,0.6162051011869712
abs_ret_1q,上季度收益绝对值,0.5387286011213974,0.0679564338579797,4,0.43636874514226254,0.5301848814259513,0.6239458958397115,0.5644148820776644
ev_ebitda,EV/EBITDA,0.5375817842510411,0.05427090070062091,4,0.46052157722337905,0.5713574372561453,0.51583353176628,0.6026145907583599
pe,PE,0.5276879357665442,0.0615574069573987,4,0.4431530492347484,0.5504491368970066,0.5057304600242655,0.611419096910156
pe_adj,扣非PE,0.5267508622456575,0.058842881076195175,4,0.46372083073089404,0.5377193656302202,0.48796787654069007,0.6175953760808256
pcf_oper,PCF-经营现金流,0.5189179993905579,0.05730172921694705,4,0.44804975613217124,0.5647084990829483,0.47806947420938645,0.5848442681377259
pcf_net,PCF-净现金流,0.5061854183195136,0.019500962298517787,4,0.4830163284480933,0.5161346361340939,0.49282069598938666,0.5327700127064803
dividend_yield,股息率,0.4962013025315575,0.05175037063056011,4,0.41740798114848476,0.5202657617151902,0.48872829993990313,0.5584031673226517
eps_growth_lag1,滞后EPS增长,0.4939086239689431,0.04801997537118651,4,0.4846916095921705,0.5636747135249176,0.4287176412559105,0.4985505315027737
total_profit_growth_lag1,滞后利润总额增长,0.49134987624434034,0.047205518641302686,4,0.4844837279903506,0.5601941598898232,0.4271484618611877,0.49357315523599965
net_profit_growth_lag1,滞后净利润增长,0.49094832658358967,0.04829576578294628,4,0.4852539783727883,0.5618353383953179,0.4255839598144936,0.4911200297517588
operating_profit_growth_lag1,滞后营业利润增长,0.4907293319460309,0.04881629621626607,4,0.48925344838892426,0.5615566832303314,0.423583472236396,0.4885237239284718
log_mv,对数市值,0.5646636191003532,0.09505697885582022,3,0.43465221018321537,0.5134287940657998,0.6650397999795896,0.6455336721728082
net_cash_growth_lag1,滞后现金净流增长,0.49630101237778884,0.021921578761861342,3,0.4973533057340384,0.48906366341669394,0.4689829461056117,0.5298041342548114
revenue_growth_lag1,滞后营收增长,0.4937328709017958,0.02717558766958819,3,0.5066350109705585,0.4713691859603988,0.4649771518635689,0.531950134812657
