feature,lower,upper
return_1d,-0.07682405,0.1000260299999998
return_5d,-0.1527116787929195,0.29664870348707223
return_10d,-0.20289277011528076,0.38194816960258676
return_20d,-0.2605277528687452,0.49523898238245817
ma5_gap,-0.08484694394364603,0.13755410119233824
ma20_gap,-0.16446433583048095,0.28445429434380237
ma60_gap,-0.25269302117183967,0.4529956503278543
rsi14,0.20463017945999365,0.8348185804386609
macd_pct,-0.08908814533352143,0.07784408578442745
atr14_pct,0.008456340031825152,0.08024320026731495
volatility20,0.004482168434966491,0.05798671005159618
volume_ratio20,0.3586926849826012,3.942765458263628
amount_ratio20,0.34137103926959184,4.311966556718078
intraday_range,0.005597222222222258,0.10769246190858052
open_close_return,-0.058317134478424855,0.08590817613339162
excess_return_5d,-0.14253864603735314,0.20548605729613725
excess_return_20d,-0.2388620987783628,0.4410974554117692
return_20d_rank,-0.4898989898989899,0.5
market_median_return_5d,-0.0574485728545399,0.2510045925542457
market_median_return_20d,-0.1140209267776431,0.2375532039828627
market_breadth_20d,0.06,1.0
market_dispersion_20d,0.0437647604181429,0.3507193274447573
