symbol,name,source,raw_rows,raw_start,raw_end
601318.SH,601318.SH,Tushare Pro qfq (initial API snapshot),2186,2017-01-03,2025-12-31
000725.SZ,000725.SZ,AKShare qfq fallback (initial API snapshot),2186,2017-01-03,2025-12-31
600030.SH,600030.SH,AKShare qfq fallback (initial API snapshot),2169,2017-01-03,2025-12-31
601166.SH,601166.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
600519.SH,600519.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
000651.SZ,000651.SZ,Tushare adjusted return index,2179,2017-01-03,2025-12-31
601668.SH,601668.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
000063.SZ,000063.SZ,Tushare adjusted return index,2137,2017-01-03,2025-12-31
600516.SH,600516.SH,Tushare adjusted return index,2184,2017-01-03,2025-12-31
000858.SZ,000858.SZ,Tushare adjusted return index,2186,2017-01-03,2025-12-31
600048.SH,600048.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
000001.SZ,000001.SZ,Tushare adjusted return index,2186,2017-01-03,2025-12-31
600028.SH,600028.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
601398.SH,601398.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
601288.SH,601288.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
600606.SH,600606.SH,Tushare adjusted return index,2181,2017-01-03,2025-12-31
000002.SZ,000002.SZ,Tushare adjusted return index,2181,2017-01-03,2025-12-31
600036.SH,600036.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
000333.SZ,000333.SZ,Tushare adjusted return index,2146,2017-01-03,2025-12-31
600029.SH,600029.SH,Tushare adjusted return index,2183,2017-01-03,2025-12-31
601899.SH,601899.SH,Tushare adjusted return index,2182,2017-01-03,2025-12-31
601766.SH,601766.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
002230.SZ,002230.SZ,Tushare adjusted return index,2186,2017-01-03,2025-12-31
600340.SH,600340.SH,Tushare adjusted return index,2168,2017-01-03,2025-12-31
600887.SH,600887.SH,Tushare adjusted return index,2182,2017-01-03,2025-12-31
603799.SH,603799.SH,Tushare adjusted return index,2174,2017-01-03,2025-12-31
600585.SH,600585.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
601336.SH,601336.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
601939.SH,601939.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
601601.SH,601601.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
000732.SZ,000732.SZ,Tushare adjusted return index,1544,2017-01-03,2023-06-02
600050.SH,600050.SH,Tushare adjusted return index,2091,2017-01-03,2025-12-31
002415.SZ,002415.SZ,Tushare adjusted return index,2184,2017-01-03,2025-12-31
603993.SH,603993.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
600460.SH,600460.SH,Tushare adjusted return index,2110,2017-01-03,2025-12-31
300059.SZ,300059.SZ,Tushare adjusted return index,2186,2017-01-03,2025-12-31
601328.SH,601328.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
600690.SH,600690.SH,Tushare adjusted return index,2184,2017-01-03,2025-12-31
601988.SH,601988.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
002916.SZ,002916.SZ,Tushare adjusted return index,1953,2017-12-13,2025-12-31
601688.SH,601688.SH,Tushare adjusted return index,2186,2017-01-03,2025-12-31
002146.SZ,002146.SZ,Tushare adjusted return index,2176,2017-01-03,2025-12-31
