universe_rank,ts_code,median_amount,mean_amount,observed_days,symbol,name,list_date,selection_window,selection_metric
1,601318.SH,9352475.066,10117865.154727273,22,,,,2018-01,median_daily_amount_thousand_cny
2,000725.SZ,5668188.5825,6815668.8246818185,22,,,,2018-01,median_daily_amount_thousand_cny
3,600030.SH,4707802.2965,5031830.409318182,22,,,,2018-01,median_daily_amount_thousand_cny
4,601166.SH,3976981.1195,4559151.796045454,22,,,,2018-01,median_daily_amount_thousand_cny
5,600519.SH,3876328.409,4250182.209772727,22,,,,2018-01,median_daily_amount_thousand_cny
6,000651.SZ,3727574.0865,4064845.4610454547,22,,,,2018-01,median_daily_amount_thousand_cny
7,601668.SH,3715873.0085,4008576.8349545454,22,,,,2018-01,median_daily_amount_thousand_cny
8,000063.SZ,3638197.359,4109580.014681818,22,,,,2018-01,median_daily_amount_thousand_cny
9,600516.SH,3517923.573,3817066.798681818,22,,,,2018-01,median_daily_amount_thousand_cny
10,000858.SZ,3161463.0135,3174527.3225454544,22,,,,2018-01,median_daily_amount_thousand_cny
11,600048.SH,3125388.1805,3307104.562681818,22,,,,2018-01,median_daily_amount_thousand_cny
12,000001.SZ,2972125.5825,2934031.6963181817,22,,,,2018-01,median_daily_amount_thousand_cny
13,600028.SH,2789734.3745,2718093.8118636366,22,,,,2018-01,median_daily_amount_thousand_cny
14,601398.SH,2765893.2345000003,2646382.308818182,22,,,,2018-01,median_daily_amount_thousand_cny
15,601288.SH,2549061.329,2970230.8739090906,22,,,,2018-01,median_daily_amount_thousand_cny
16,600606.SH,2386831.801,2716265.7824545456,22,,,,2018-01,median_daily_amount_thousand_cny
17,000002.SZ,2231622.225,2388787.536090909,22,,,,2018-01,median_daily_amount_thousand_cny
18,600036.SH,2185703.5105,2259697.0973636364,22,,,,2018-01,median_daily_amount_thousand_cny
19,000333.SZ,2089081.1895,2104132.0520454547,22,,,,2018-01,median_daily_amount_thousand_cny
20,600029.SH,2069221.775,2161635.968818182,22,,,,2018-01,median_daily_amount_thousand_cny
21,601899.SH,2017941.6245,2419994.0998181817,22,,,,2018-01,median_daily_amount_thousand_cny
22,601766.SH,1992450.6579999998,2052297.7441818183,22,,,,2018-01,median_daily_amount_thousand_cny
23,002230.SZ,1980257.8344999999,2410763.4316818183,22,,,,2018-01,median_daily_amount_thousand_cny
