model,model_label,feature,importance,absolute_importance,importance_type
logistic_regression,逻辑回归,return_1d,0.07538803690892563,0.07538803690892563,standardized_coefficient
logistic_regression,逻辑回归,return_5d,0.009820273570120547,0.009820273570120547,standardized_coefficient
logistic_regression,逻辑回归,return_20d,0.13224655843755148,0.13224655843755148,standardized_coefficient
logistic_regression,逻辑回归,return_60d,-0.07947717189787536,0.07947717189787536,standardized_coefficient
logistic_regression,逻辑回归,return_120d,-0.009712060930835603,0.009712060930835603,standardized_coefficient
logistic_regression,逻辑回归,momentum_12_1,0.1841116369093517,0.1841116369093517,standardized_coefficient
logistic_regression,逻辑回归,ma20_gap,-0.05986081475305838,0.05986081475305838,standardized_coefficient
logistic_regression,逻辑回归,ma60_gap,-0.06631125926121592,0.06631125926121592,standardized_coefficient
logistic_regression,逻辑回归,ma120_gap,0.022871124592278667,0.022871124592278667,standardized_coefficient
logistic_regression,逻辑回归,rsi14,0.09381644063407972,0.09381644063407972,standardized_coefficient
logistic_regression,逻辑回归,macd_pct,-0.09171915765195107,0.09171915765195107,standardized_coefficient
logistic_regression,逻辑回归,atr14_pct,-0.0316022342100118,0.0316022342100118,standardized_coefficient
logistic_regression,逻辑回归,volatility20,-0.037892784168502724,0.037892784168502724,standardized_coefficient
logistic_regression,逻辑回归,volatility60,-0.09696566777881609,0.09696566777881609,standardized_coefficient
logistic_regression,逻辑回归,downside_volatility60,-0.043445678576352405,0.043445678576352405,standardized_coefficient
logistic_regression,逻辑回归,max_drawdown60,0.11349724842116476,0.11349724842116476,standardized_coefficient
logistic_regression,逻辑回归,volume_ratio20,0.0041785818322298785,0.0041785818322298785,standardized_coefficient
logistic_regression,逻辑回归,amount_ratio20,-0.04260920495231314,0.04260920495231314,standardized_coefficient
logistic_regression,逻辑回归,intraday_range,0.03495849512638161,0.03495849512638161,standardized_coefficient
logistic_regression,逻辑回归,open_close_return,-0.0495261311858459,0.0495261311858459,standardized_coefficient
logistic_regression,逻辑回归,amihud20,0.002588279913589521,0.002588279913589521,standardized_coefficient
logistic_regression,逻辑回归,amount_mean20_log,-0.03216991375387912,0.03216991375387912,standardized_coefficient
decision_tree,决策树,return_1d,0.0,0.0,impurity_importance
decision_tree,决策树,return_5d,0.06261686683789622,0.06261686683789622,impurity_importance
decision_tree,决策树,return_20d,0.0,0.0,impurity_importance
decision_tree,决策树,return_60d,0.0,0.0,impurity_importance
decision_tree,决策树,return_120d,0.2645730436881698,0.2645730436881698,impurity_importance
decision_tree,决策树,momentum_12_1,0.1955001846151665,0.1955001846151665,impurity_importance
decision_tree,决策树,ma20_gap,0.0,0.0,impurity_importance
decision_tree,决策树,ma60_gap,0.0,0.0,impurity_importance
decision_tree,决策树,ma120_gap,0.0,0.0,impurity_importance
decision_tree,决策树,rsi14,0.0,0.0,impurity_importance
decision_tree,决策树,macd_pct,0.0,0.0,impurity_importance
decision_tree,决策树,atr14_pct,0.03805237640865331,0.03805237640865331,impurity_importance
decision_tree,决策树,volatility20,0.0,0.0,impurity_importance
decision_tree,决策树,volatility60,0.37256731819410727,0.37256731819410727,impurity_importance
decision_tree,决策树,downside_volatility60,0.0,0.0,impurity_importance
decision_tree,决策树,max_drawdown60,0.0,0.0,impurity_importance
decision_tree,决策树,volume_ratio20,0.0,0.0,impurity_importance
decision_tree,决策树,amount_ratio20,0.0,0.0,impurity_importance
decision_tree,决策树,intraday_range,0.0,0.0,impurity_importance
decision_tree,决策树,open_close_return,0.0,0.0,impurity_importance
decision_tree,决策树,amihud20,0.0,0.0,impurity_importance
decision_tree,决策树,amount_mean20_log,0.06669021025600688,0.06669021025600688,impurity_importance
random_forest,随机森林,return_1d,0.032521772871966476,0.032521772871966476,impurity_importance
random_forest,随机森林,return_5d,0.029613489232841787,0.029613489232841787,impurity_importance
random_forest,随机森林,return_20d,0.027303540541693285,0.027303540541693285,impurity_importance
random_forest,随机森林,return_60d,0.03579811421487936,0.03579811421487936,impurity_importance
random_forest,随机森林,return_120d,0.07151325961084605,0.07151325961084605,impurity_importance
random_forest,随机森林,momentum_12_1,0.09989789183622845,0.09989789183622845,impurity_importance
random_forest,随机森林,ma20_gap,0.028881564742973563,0.028881564742973563,impurity_importance
random_forest,随机森林,ma60_gap,0.033075686853782094,0.033075686853782094,impurity_importance
random_forest,随机森林,ma120_gap,0.04143209051080441,0.04143209051080441,impurity_importance
random_forest,随机森林,rsi14,0.031468573442669165,0.031468573442669165,impurity_importance
random_forest,随机森林,macd_pct,0.03615323560814834,0.03615323560814834,impurity_importance
random_forest,随机森林,atr14_pct,0.06991808120933794,0.06991808120933794,impurity_importance
random_forest,随机森林,volatility20,0.049872425823051306,0.049872425823051306,impurity_importance
random_forest,随机森林,volatility60,0.08233831711866585,0.08233831711866585,impurity_importance
random_forest,随机森林,downside_volatility60,0.0655829170682008,0.0655829170682008,impurity_importance
random_forest,随机森林,max_drawdown60,0.05697544931199753,0.05697544931199753,impurity_importance
random_forest,随机森林,volume_ratio20,0.02975070101571888,0.02975070101571888,impurity_importance
random_forest,随机森林,amount_ratio20,0.029185762769820607,0.029185762769820607,impurity_importance
random_forest,随机森林,intraday_range,0.03692710980362939,0.03692710980362939,impurity_importance
random_forest,随机森林,open_close_return,0.030791867720559512,0.030791867720559512,impurity_importance
random_forest,随机森林,amihud20,0.03906128075576555,0.03906128075576555,impurity_importance
random_forest,随机森林,amount_mean20_log,0.04193686793641972,0.04193686793641972,impurity_importance
