ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,return_5d,return_20d,ma5,ma20,ma5_gap,ma20_gap,rsi14,atr14_pct,volatility20,volume_ratio20,intraday_range,future_return_3d,label_end_date,Label,Split
000001.SZ,2024-01-02,9.39,9.42,9.21,9.21,9.39,-0.18,-1.9169,1158366.45,1075742.252,,,,,,,,,,,,0.02280130293159599,0.006514657980455807,2024-01-05,1,not_labeled
000001.SZ,2024-01-03,9.19,9.22,9.15,9.2,9.21,-0.01,-0.1086,733610.31,673673.614,-0.0010857763300762269,,,,,,,,,,,0.007608695652173945,-0.005434782608695565,2024-01-08,0,not_labeled
000001.SZ,2024-01-04,9.19,9.19,9.08,9.11,9.2,-0.09,-0.9783,864193.99,787470.082,-0.009782608695652173,,,,,,,,,,,0.012074643249176667,0.007683863885839859,2024-01-09,1,not_labeled
000001.SZ,2024-01-05,9.1,9.44,9.07,9.27,9.11,0.16,1.7563,1991622.16,1852659.692,0.01756311745334793,,,,,,,,,,,0.03991370010787478,-0.01941747572815533,2024-01-10,0,not_labeled
000001.SZ,2024-01-08,9.23,9.3,9.11,9.15,9.27,-0.12,-1.2945,1121156.19,1029006.549,-0.012944983818770184,,,9.187999999999999,,-0.004135829342620689,,,,,,0.02076502732240451,0.002185792349726823,2024-01-11,1,not_labeled
000001.SZ,2024-01-09,9.16,9.19,9.09,9.18,9.15,0.03,0.3279,766193.88,700375.72,0.003278688524590123,-0.0032573289902281255,,9.181999999999999,,-0.00021781746896087917,,,,,,0.010893246187363797,0.0010893246187364536,2024-01-12,1,not_labeled
000001.SZ,2024-01-10,9.16,9.19,9.09,9.09,9.18,-0.09,-0.9804,858620.91,783771.15,-0.009803921568627416,-0.011956521739130421,,9.16,,-0.007641921397379958,,,,,,0.011001100110010962,0.013201320132013361,2024-01-15,1,not_labeled
000001.SZ,2024-01-11,9.08,9.22,9.03,9.17,9.09,0.08,0.8801,934686.37,853890.237,0.008800880088008833,0.00658616904500553,,9.172,,-0.0002180549498473905,,,,,,0.020719738276990324,0.018538713195201728,2024-01-16,1,not_labeled
000001.SZ,2024-01-12,9.13,9.27,9.11,9.19,9.17,0.02,0.2181,772582.15,711018.266,0.0021810250817884125,-0.008629989212513456,,9.156,,0.003713411970292624,,,,,,0.0174102285092492,0.0043525571273124175,2024-01-17,1,not_labeled
000001.SZ,2024-01-15,9.16,9.29,9.13,9.21,9.19,0.02,0.2176,745132.66,685950.951,0.0021762785636563198,0.006557377049180468,,9.168000000000001,,0.0045811518324607725,,,,,,0.01737242128121589,-0.0010857763300762269,2024-01-18,0,not_labeled
000001.SZ,2024-01-16,9.19,9.35,9.16,9.34,9.21,0.13,1.4115,1438312.58,1334465.409,0.01411509229098784,0.017429193899782147,,9.2,,0.01521739130434785,,,,,,0.02034261241970016,-0.018201284796573902,2024-01-19,0,not_labeled
000001.SZ,2024-01-17,9.33,9.39,9.23,9.23,9.34,-0.11,-1.1777,1482296.21,1380725.065,-0.011777301927194839,0.015401540154015514,,9.228,,0.00021673168617253324,,,,,,0.017334777898158193,-0.014084507042253613,2024-01-22,0,not_labeled
000001.SZ,2024-01-18,9.21,9.24,9.0,9.2,9.23,-0.03,-0.325,1755132.47,1597853.727,-0.003250270855904791,0.0032715376226826187,,9.233999999999998,,-0.0036820446177170396,,,,,,0.026086956521739157,-0.004347826086956386,2024-01-23,0,not_labeled
000001.SZ,2024-01-19,9.16,9.2,9.1,9.17,9.2,-0.03,-0.3261,963981.42,881865.024,-0.003260869565217317,-0.0021762785636560977,,9.23,,-0.00650054171180936,,,0.01991406248868759,,,0.010905125408942165,0.017448200654307522,2024-01-24,1,not_labeled
000001.SZ,2024-01-22,9.16,9.26,9.04,9.1,9.17,-0.07,-0.7634,1580319.66,1449858.242,-0.007633587786259555,-0.011943539630836164,,9.208,,-0.011728931364031303,,0.3859011043008075,0.020360717341259407,,,0.024175824175824246,0.04395604395604402,2024-01-25,1,not_labeled
000001.SZ,2024-01-23,9.05,9.18,8.96,9.16,9.1,0.06,0.6593,1135544.58,1030898.421,0.00659340659340657,-0.01927194860813697,,9.172,,-0.001308329699084232,,0.4401932493448303,0.02049807284366022,,,0.024017467248908173,0.05021834061135366,2024-01-26,1,not_labeled
000001.SZ,2024-01-24,9.23,9.34,9.07,9.33,9.16,0.17,1.8559,1759123.16,1620099.272,0.018558951965065518,0.010834236186348933,,9.191999999999998,,0.015013054830287365,,0.5591247195457636,0.02075417634529979,,,0.02893890675241153,0.03965702036441576,2024-01-29,1,not_labeled
000001.SZ,2024-01-25,9.33,9.54,9.27,9.5,9.33,0.17,1.8221,2162513.95,2037648.413,0.018220793140407254,0.03260869565217406,,9.252,,0.026805015131863286,,0.6412128277290691,0.020956947736251213,,,0.028421052631578902,0.0,2024-01-30,0,not_labeled
000001.SZ,2024-01-26,9.47,9.67,9.44,9.62,9.5,0.12,1.2632,2272287.06,2172799.799,0.012631578947368327,0.049073064340239725,,9.342,,0.029758081781203094,,0.6856992000632429,0.020925030037325702,,,0.023908523908523955,-0.01663201663201641,2024-01-31,0,not_labeled
