model,model_label,task_type,target,candidate,candidate_order,parameters,mean_validation_ic,minimum_validation_ic,positive_ic_ratio,mean_validation_top30_excess,native_metric,mean_validation_native_metric,ic_2021Q1,top30_excess_2021Q1,native_metric_2021Q1,ic_2021Q2,top30_excess_2021Q2,native_metric_2021Q2,ic_2021Q3,top30_excess_2021Q3,native_metric_2021Q3
linear_regression,线性回归,rank_regression,Next_Ret_Rank,ordinary least squares,0,{},0.12880178912593565,-0.03931710328343276,0.6666666666666666,0.025976591087249822,rank_target_R2,0.00453758252020009,0.11791046610840746,0.06436929009193057,0.0011411649696496662,0.30781200455283225,0.04911540264273251,0.08380809630232544,-0.03931710328343276,-0.035554919472913615,-0.07133651371137484
ridge,Ridge回归,rank_regression,Next_Ret_Rank,alpha=1,0,"{""alpha"": 1.0}",0.13138190725991614,-0.039261624738434274,0.6666666666666666,0.02630325775391648,rank_target_R2,0.0054075403205154915,0.1260789463427844,0.0614626234252639,0.002761796995921384,0.3073284001753983,0.0689687359760658,0.08580480003572699,-0.039261624738434274,-0.05152158613958027,-0.0723439760701019
ridge,Ridge回归,rank_regression,Next_Ret_Rank,alpha=10,1,"{""alpha"": 10.0}",0.13150581487828836,-0.03938913600764083,0.6666666666666666,0.033253257753916465,rank_target_R2,0.005605571751408522,0.12645685259439765,0.07719595675859722,0.0031364724417959344,0.3074497280481083,0.07408540264273249,0.08579026191600425,-0.03938913600764083,-0.0515215861395803,-0.07211001910357462
ridge,Ridge回归,rank_regression,Next_Ret_Rank,alpha=100,2,"{""alpha"": 100.0}",0.13101339900870107,-0.04094031538654124,0.6666666666666666,0.03611214664280537,rank_target_R2,0.006456473786496164,0.12768987387415387,0.06663929009193056,0.005121878480691788,0.3062906385384906,0.09321873597606584,0.08478147507763678,-0.04094031538654124,-0.0515215861395803,-0.07053393219884008
logistic_regression,逻辑回归,classification,Above_Quarter_Median,C=0.01,0,"{""C"": 0.01}",0.12579186600320497,-0.047400799292183694,0.6666666666666666,0.007218813309472026,AUC,0.5676630664730543,0.1275616411549628,0.020809290091930555,0.560449208662818,0.2972147561468358,0.0712754026427325,0.6583170687438931,-0.047400799292183694,-0.07042825280624697,0.4842229220124519
logistic_regression,逻辑回归,classification,Above_Quarter_Median,C=0.1,1,"{""C"": 0.1}",0.1250289492695016,-0.046979024085405906,0.6666666666666666,0.005356591087249794,AUC,0.5676001400287245,0.12643376233220918,0.03074929009193053,0.5604038224575117,0.2956321095617015,0.05211540264273248,0.6579257240746588,-0.046979024085405906,-0.06679491947291363,0.48447087355400303
logistic_regression,逻辑回归,classification,Above_Quarter_Median,C=1,2,"{""C"": 1.0}",0.12454408562384571,-0.04688626495047087,0.6666666666666666,0.0010099244205831425,AUC,0.5674593291624007,0.12556334558295412,0.029852623425263902,0.5601195065736962,0.2949551762390539,0.05211540264273248,0.6576940002933842,-0.04688626495047087,-0.07893825280624696,0.48456448062012175
decision_tree,决策树,rank_regression,Next_Ret_Rank,"depth=2,leaf=100",0,"{""max_depth"": 2, ""min_samples_leaf"": 100}",0.10758526848567677,-0.05660922996241535,0.6666666666666666,-0.030505631134972427,rank_target_R2,0.0002505882498589074,0.1623198442457299,-0.032834043241402794,0.019004121533392593,0.2170451911737158,0.01633540264273247,0.04662115420317148,-0.05660922996241535,-0.07501825280624697,-0.06487351098698735
decision_tree,决策树,rank_regression,Next_Ret_Rank,"depth=3,leaf=100",1,"{""max_depth"": 3, ""min_samples_leaf"": 100}",0.10534371551706502,-0.08108308361073491,0.6666666666666666,-0.014755631134972419,rank_target_R2,-0.00209575315374555,0.1486462682025993,-0.07712737657473612,0.013962487822651193,0.24846796195933069,0.06695206930939915,0.06493688727244318,-0.08108308361073491,-0.034091586139580285,-0.08518663455633102
decision_tree,决策树,rank_regression,Next_Ret_Rank,"depth=3,leaf=250",2,"{""max_depth"": 3, ""min_samples_leaf"": 250}",0.10534371551706502,-0.08108308361073491,0.6666666666666666,-0.014755631134972419,rank_target_R2,-0.00209575315374555,0.1486462682025993,-0.07712737657473612,0.013962487822651193,0.24846796195933069,0.06695206930939915,0.06493688727244318,-0.08108308361073491,-0.034091586139580285,-0.08518663455633102
