model,model_label,feature,importance,absolute_importance,importance_type
linear_regression,线性回归,rank__企业倍数(EV除EBITDA),-400678311289.1393,400678311289.1393,coefficient
linear_regression,线性回归,rank__市净率PB(MRQ),-400678311289.16754,400678311289.16754,coefficient
linear_regression,线性回归,rank__市现率PCF(现金净流量TTM),-400678311289.0962,400678311289.0962,coefficient
linear_regression,线性回归,rank__市现率PCF(经营现金流TTM),-400678311289.0757,400678311289.0757,coefficient
linear_regression,线性回归,rank__市盈率PE(TTM),-400678311289.08575,400678311289.08575,coefficient
linear_regression,线性回归,"rank__市盈率PE(TTM,扣除非经常性损益)",-400678311289.0693,400678311289.0693,coefficient
linear_regression,线性回归,rank__市销率PS(TTM),-400678311289.1089,400678311289.1089,coefficient
linear_regression,线性回归,rank__股息率(近12个月),0.0188340887272671,0.0188340887272671,coefficient
linear_regression,线性回归,rank__MV,-0.05769792655488131,0.05769792655488131,coefficient
linear_regression,线性回归,rank__净利润同比增长率,600151334028.2046,600151334028.2046,coefficient
linear_regression,线性回归,rank__净资产同比增长率,58877490777.45377,58877490777.45377,coefficient
linear_regression,线性回归,rank__利润总额(同比增长率),600151334028.1704,600151334028.1704,coefficient
linear_regression,线性回归,rank__基本每股收益(同比增长率),58877490777.581955,58877490777.581955,coefficient
linear_regression,线性回归,rank__总资产同比增长率,58877490777.48246,58877490777.48246,coefficient
linear_regression,线性回归,rank__现金净流量同比增长率,-1134958669435.2935,1134958669435.2935,coefficient
linear_regression,线性回归,rank__经营活动产生的现金流量净额(同比增长率),-1134958669435.2903,1134958669435.2903,coefficient
linear_regression,线性回归,rank__营业利润(同比增长率),600151334028.233,600151334028.233,coefficient
linear_regression,线性回归,rank__营业总收入(同比增长率),600151334028.176,600151334028.176,coefficient
linear_regression,线性回归,rank__营业收入(同比增长率),0.05166483341552377,0.05166483341552377,coefficient
linear_regression,线性回归,value_composite,-2804748179023.659,2804748179023.659,coefficient
linear_regression,线性回归,growth_composite,-529897416997.2354,529897416997.2354,coefficient
linear_regression,线性回归,income_growth_composite,-2165095373002.8677,2165095373002.8677,coefficient
linear_regression,线性回归,cashflow_composite,2387672320425.5254,2387672320425.5254,coefficient
ridge,Ridge回归,rank__企业倍数(EV除EBITDA),-0.03619795105703746,0.03619795105703746,coefficient
ridge,Ridge回归,rank__市净率PB(MRQ),-0.0699499034176091,0.0699499034176091,coefficient
ridge,Ridge回归,rank__市现率PCF(现金净流量TTM),0.0016166246698642954,0.0016166246698642954,coefficient
ridge,Ridge回归,rank__市现率PCF(经营现金流TTM),0.0166433410237459,0.0166433410237459,coefficient
ridge,Ridge回归,rank__市盈率PE(TTM),0.003711295949509981,0.003711295949509981,coefficient
ridge,Ridge回归,"rank__市盈率PE(TTM,扣除非经常性损益)",0.02618050992267714,0.02618050992267714,coefficient
ridge,Ridge回归,rank__市销率PS(TTM),-0.014466292705335528,0.014466292705335528,coefficient
ridge,Ridge回归,rank__股息率(近12个月),0.019489246561641412,0.019489246561641412,coefficient
ridge,Ridge回归,rank__MV,-0.0576457148396984,0.0576457148396984,coefficient
ridge,Ridge回归,rank__净利润同比增长率,0.01830132249927435,0.01830132249927435,coefficient
ridge,Ridge回归,rank__净资产同比增长率,-0.019227589489716465,0.019227589489716465,coefficient
ridge,Ridge回归,rank__利润总额(同比增长率),-0.01706607363596275,0.01706607363596275,coefficient
ridge,Ridge回归,rank__基本每股收益(同比增长率),0.10359348722649571,0.10359348722649571,coefficient
ridge,Ridge回归,rank__总资产同比增长率,0.013881809361776278,0.013881809361776278,coefficient
ridge,Ridge回归,rank__现金净流量同比增长率,-0.007501543729615789,0.007501543729615789,coefficient
ridge,Ridge回归,rank__经营活动产生的现金流量净额(同比增长率),0.006061262316480825,0.006061262316480825,coefficient
ridge,Ridge回归,rank__营业利润(同比增长率),0.0411691057870392,0.0411691057870392,coefficient
ridge,Ridge回归,rank__营业总收入(同比增长率),0.00017870397519376176,0.00017870397519376176,coefficient
ridge,Ridge回归,rank__营业收入(同比增长率),0.0299721681439956,0.0299721681439956,coefficient
ridge,Ridge回归,value_composite,0.010351767944877615,0.010351767944877615,coefficient
ridge,Ridge回归,growth_composite,0.015487831590094432,0.015487831590094432,coefficient
ridge,Ridge回归,income_growth_composite,0.010645764656366406,0.010645764656366406,coefficient
ridge,Ridge回归,cashflow_composite,-0.0007201407065678419,0.0007201407065678419,coefficient
logistic_regression,逻辑回归,rank__企业倍数(EV除EBITDA),-0.08436086297541745,0.08436086297541745,standardized_coefficient
logistic_regression,逻辑回归,rank__市净率PB(MRQ),-0.10214507956031783,0.10214507956031783,standardized_coefficient
logistic_regression,逻辑回归,rank__市现率PCF(现金净流量TTM),0.003249314755579374,0.003249314755579374,standardized_coefficient
logistic_regression,逻辑回归,rank__市现率PCF(经营现金流TTM),0.03389090345349296,0.03389090345349296,standardized_coefficient
logistic_regression,逻辑回归,rank__市盈率PE(TTM),0.009851545050278031,0.009851545050278031,standardized_coefficient
logistic_regression,逻辑回归,"rank__市盈率PE(TTM,扣除非经常性损益)",0.04774399318953275,0.04774399318953275,standardized_coefficient
logistic_regression,逻辑回归,rank__市销率PS(TTM),-0.0058278638194202235,0.0058278638194202235,standardized_coefficient
logistic_regression,逻辑回归,rank__股息率(近12个月),0.03369994989091437,0.03369994989091437,standardized_coefficient
logistic_regression,逻辑回归,rank__MV,-0.0845719630066109,0.0845719630066109,standardized_coefficient
logistic_regression,逻辑回归,rank__净利润同比增长率,0.016392042086733838,0.016392042086733838,standardized_coefficient
logistic_regression,逻辑回归,rank__净资产同比增长率,-0.04189045212603483,0.04189045212603483,standardized_coefficient
logistic_regression,逻辑回归,rank__利润总额(同比增长率),-0.0001140935006865476,0.0001140935006865476,standardized_coefficient
logistic_regression,逻辑回归,rank__基本每股收益(同比增长率),0.18778255351199596,0.18778255351199596,standardized_coefficient
logistic_regression,逻辑回归,rank__总资产同比增长率,0.008674224248788727,0.008674224248788727,standardized_coefficient
logistic_regression,逻辑回归,rank__现金净流量同比增长率,0.003930314436842459,0.003930314436842459,standardized_coefficient
logistic_regression,逻辑回归,rank__经营活动产生的现金流量净额(同比增长率),-0.0049073045819990925,0.0049073045819990925,standardized_coefficient
logistic_regression,逻辑回归,rank__营业利润(同比增长率),0.044552498679139796,0.044552498679139796,standardized_coefficient
logistic_regression,逻辑回归,rank__营业总收入(同比增长率),-0.017909371957529088,0.017909371957529088,standardized_coefficient
logistic_regression,逻辑回归,rank__营业收入(同比增长率),0.08361472321771767,0.08361472321771767,standardized_coefficient
logistic_regression,逻辑回归,value_composite,0.021387104901036978,0.021387104901036978,standardized_coefficient
logistic_regression,逻辑回归,growth_composite,0.0331890483912738,0.0331890483912738,standardized_coefficient
logistic_regression,逻辑回归,income_growth_composite,0.011890056722691661,0.011890056722691661,standardized_coefficient
logistic_regression,逻辑回归,cashflow_composite,-0.0006224295491930406,0.0006224295491930406,standardized_coefficient
decision_tree,决策树,rank__企业倍数(EV除EBITDA),0.0,0.0,impurity_importance
decision_tree,决策树,rank__市净率PB(MRQ),0.16209007937449266,0.16209007937449266,impurity_importance
decision_tree,决策树,rank__市现率PCF(现金净流量TTM),0.0,0.0,impurity_importance
decision_tree,决策树,rank__市现率PCF(经营现金流TTM),0.0,0.0,impurity_importance
decision_tree,决策树,rank__市盈率PE(TTM),0.03835140196066363,0.03835140196066363,impurity_importance
decision_tree,决策树,"rank__市盈率PE(TTM,扣除非经常性损益)",0.018601395150383743,0.018601395150383743,impurity_importance
decision_tree,决策树,rank__市销率PS(TTM),0.0,0.0,impurity_importance
decision_tree,决策树,rank__股息率(近12个月),0.0,0.0,impurity_importance
decision_tree,决策树,rank__MV,0.11972070565269152,0.11972070565269152,impurity_importance
decision_tree,决策树,rank__净利润同比增长率,0.0,0.0,impurity_importance
decision_tree,决策树,rank__净资产同比增长率,0.01834516464951408,0.01834516464951408,impurity_importance
decision_tree,决策树,rank__利润总额(同比增长率),0.0,0.0,impurity_importance
decision_tree,决策树,rank__基本每股收益(同比增长率),0.49052069697652534,0.49052069697652534,impurity_importance
decision_tree,决策树,rank__总资产同比增长率,0.0,0.0,impurity_importance
decision_tree,决策树,rank__现金净流量同比增长率,0.0,0.0,impurity_importance
decision_tree,决策树,rank__经营活动产生的现金流量净额(同比增长率),0.0,0.0,impurity_importance
decision_tree,决策树,rank__营业利润(同比增长率),0.04410716642462548,0.04410716642462548,impurity_importance
decision_tree,决策树,rank__营业总收入(同比增长率),0.0,0.0,impurity_importance
decision_tree,决策树,rank__营业收入(同比增长率),0.0,0.0,impurity_importance
decision_tree,决策树,value_composite,0.016945836330472704,0.016945836330472704,impurity_importance
decision_tree,决策树,growth_composite,0.0,0.0,impurity_importance
decision_tree,决策树,income_growth_composite,0.0913175534806309,0.0913175534806309,impurity_importance
decision_tree,决策树,cashflow_composite,0.0,0.0,impurity_importance
random_forest,随机森林,rank__企业倍数(EV除EBITDA),0.06765072098814409,0.06765072098814409,impurity_importance
random_forest,随机森林,rank__市净率PB(MRQ),0.10184539575050697,0.10184539575050697,impurity_importance
random_forest,随机森林,rank__市现率PCF(现金净流量TTM),0.007065512807015163,0.007065512807015163,impurity_importance
random_forest,随机森林,rank__市现率PCF(经营现金流TTM),0.009585097447328751,0.009585097447328751,impurity_importance
random_forest,随机森林,rank__市盈率PE(TTM),0.020380177760813384,0.020380177760813384,impurity_importance
random_forest,随机森林,"rank__市盈率PE(TTM,扣除非经常性损益)",0.018322859540695235,0.018322859540695235,impurity_importance
random_forest,随机森林,rank__市销率PS(TTM),0.02641190380177807,0.02641190380177807,impurity_importance
random_forest,随机森林,rank__股息率(近12个月),0.010247509359268867,0.010247509359268867,impurity_importance
random_forest,随机森林,rank__MV,0.10200121787435623,0.10200121787435623,impurity_importance
random_forest,随机森林,rank__净利润同比增长率,0.1433616947309379,0.1433616947309379,impurity_importance
random_forest,随机森林,rank__净资产同比增长率,0.03195487601252354,0.03195487601252354,impurity_importance
random_forest,随机森林,rank__利润总额(同比增长率),0.04169152649782572,0.04169152649782572,impurity_importance
random_forest,随机森林,rank__基本每股收益(同比增长率),0.18089465209594063,0.18089465209594063,impurity_importance
random_forest,随机森林,rank__总资产同比增长率,0.014220425250271954,0.014220425250271954,impurity_importance
random_forest,随机森林,rank__现金净流量同比增长率,0.009100759523104737,0.009100759523104737,impurity_importance
random_forest,随机森林,rank__经营活动产生的现金流量净额(同比增长率),0.008056302143316745,0.008056302143316745,impurity_importance
random_forest,随机森林,rank__营业利润(同比增长率),0.06260622469200665,0.06260622469200665,impurity_importance
random_forest,随机森林,rank__营业总收入(同比增长率),0.0155805178975607,0.0155805178975607,impurity_importance
random_forest,随机森林,rank__营业收入(同比增长率),0.011681507101331912,0.011681507101331912,impurity_importance
random_forest,随机森林,value_composite,0.021611914265010992,0.021611914265010992,impurity_importance
random_forest,随机森林,growth_composite,0.015349945711507051,0.015349945711507051,impurity_importance
random_forest,随机森林,income_growth_composite,0.0734188498572057,0.0734188498572057,impurity_importance
random_forest,随机森林,cashflow_composite,0.006960408891549169,0.006960408891549169,impurity_importance
hist_gradient_boosting,梯度提升,rank__企业倍数(EV除EBITDA),,,not_reported
