model,model_label,portfolio,return_type,average_turnover,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,quarter_count
decision_tree,决策树,strict_top30,gross_return,0.7333333333333334,0.19497879385814043,0.26808081219702284,0.10141333596283632,2.445306273698986,0.0,1.0,3
decision_tree,决策树,strict_top30,net_return,0.7333333333333334,0.19006984357566492,0.2611399026705339,0.10063607393861197,2.4058967179869644,0.0,1.0,3
hist_gradient_boosting,梯度提升,strict_top30,gross_return,0.9222222222222222,0.33136752019810434,0.46463905442880993,0.04905175694365349,8.177847293799708,0.0,1.0,3
hist_gradient_boosting,梯度提升,strict_top30,net_return,0.9222222222222222,0.3246900787889777,0.45485276884162174,0.04871795972739416,8.082440278766196,0.0,1.0,3
linear_regression,线性回归,buffer_top30_top50,gross_return,0.7777777777777777,0.3735392088902165,0.5268208489575137,0.15557138787683908,2.9171888051188097,0.0,1.0,3
linear_regression,线性回归,buffer_top30_top50,net_return,0.7777777777777777,0.36787621158130546,0.5184333339847484,0.15439926256780334,2.899035147219855,0.0,1.0,3
linear_regression,线性回归,strict_top30,gross_return,0.8333333333333334,0.4208470315495545,0.597336561567636,0.11120972106456904,4.501325120854002,0.0,1.0,3
linear_regression,线性回归,strict_top30,net_return,0.8333333333333334,0.41458981056256383,0.5879641760198195,0.11030334463214174,4.477873686348017,0.0,1.0,3
logistic_regression,逻辑回归,strict_top30,gross_return,0.8333333333333334,0.40345328754586585,0.5713175080959045,0.14212061330407327,3.409623463564729,0.0,1.0,3
logistic_regression,逻辑回归,strict_top30,net_return,0.8333333333333334,0.3972626644000554,0.5620828806013021,0.14118729346877162,3.3849442068723947,0.0,1.0,3
random_forest,随机森林,strict_top30,gross_return,0.9111111111111111,0.5139281764139687,0.7383625710261357,0.22621950562656157,2.685552878217907,0.0,1.0,3
random_forest,随机森林,strict_top30,net_return,0.9111111111111111,0.5067579490961049,0.7273936618954566,0.22584283781557604,2.657757763590049,0.0,1.0,3
ridge,Ridge回归,strict_top30,gross_return,0.8222222222222223,0.398853538950672,0.5644547079513351,0.10329818420117198,4.615290334461679,0.0,1.0,3
ridge,Ridge回归,strict_top30,net_return,0.8222222222222223,0.39273440655526715,0.5553366513872624,0.10250674796215992,4.586754947165981,0.0,1.0,3
market_equal_weight,全市场等权,market_equal_weight,gross_return,,-0.15910261296587425,-0.2062982510309077,0.11413757297980166,-1.9275428364929708,-0.09198092444861561,0.3333333333333333,3
