Date,Strategy,Cash,MarketValue,NAV,Exposure,Signal,Selected,Stop,MAFast,MASlow,Return,PeakNAV,Drawdown
2016-01-04,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,3.13203728,0.00000000,500000.00000000,0.00000000
2016-01-05,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,3.12401817,0.00000000,500000.00000000,0.00000000
2016-01-06,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,3.11542035,0.00000000,500000.00000000,0.00000000
2016-01-07,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,3.11132815,0.00000000,500000.00000000,0.00000000
2016-01-08,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,3.10297837,0.00000000,500000.00000000,0.00000000
2016-01-11,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,3.09177643,0.00000000,500000.00000000,0.00000000
2016-01-12,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,3.07408479,0.00000000,500000.00000000,0.00000000
2016-01-13,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,3.05271431,0.00000000,500000.00000000,0.00000000
2016-01-14,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,3.03097181,0.00000000,500000.00000000,0.00000000
2016-01-15,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,3.01142009,0.00000000,500000.00000000,0.00000000
2016-01-18,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,2.98500665,0.00000000,500000.00000000,0.00000000
2016-01-19,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,2.95809721,0.00000000,500000.00000000,0.00000000
2016-01-20,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,2.93081572,0.00000000,500000.00000000,0.00000000
2016-01-21,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,2.90156387,0.00000000,500000.00000000,0.00000000
2016-01-22,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,2.86869746,0.00000000,500000.00000000,0.00000000
2016-01-25,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,2.83903360,0.00000000,500000.00000000,0.00000000
2016-01-26,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,2.80904690,0.00000000,500000.00000000,0.00000000
2016-01-27,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,2.77650585,0.00000000,500000.00000000,0.00000000
2016-01-28,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,2.74117433,0.00000000,500000.00000000,0.00000000
2016-01-29,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,2.70323863,0.00000000,500000.00000000,0.00000000
2016-02-01,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,2.67010969,0.00000000,500000.00000000,0.00000000
2016-02-02,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,2.64568155,0.00000000,500000.00000000,0.00000000
2016-02-03,A,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,2.62418761,0.00000000,500000.00000000,0.00000000
