date,strategy,symbol,side,shares,raw_price,fill_price,gross_value,commission,slippage_cost,reason
2016-02-18,A,510300,BUY,193300,2.58251391,2.58509642,499699.13874180,149.90974162,499.19993880,T-1收盘价高于MA20
2016-02-19,A,510300,SELL,200,2.55899822,2.55643922,511.28784436,5.00000000,0.51179964,T-1收盘价高于MA20
2016-02-26,A,510300,SELL,193100,2.45737749,2.45492011,474045.07372568,142.21352212,474.51959332,T-1收盘价不高于MA20
2016-03-03,A,510300,BUY,185100,2.55983817,2.56239801,474299.87131227,142.28996139,473.82604527,T-1收盘价高于MA20
2016-03-04,A,510300,SELL,200,2.55311974,2.55056662,510.11332405,5.00000000,0.51062395,T-1收盘价高于MA20
2016-03-11,A,510300,SELL,184900,2.50272925,2.50022652,462291.88368667,138.68756511,462.75463833,T-1收盘价不高于MA20
2016-03-15,A,510300,BUY,179900,2.56823656,2.57080480,462487.78290114,138.74633487,462.02575714,T-1收盘价高于MA20
2016-03-16,A,510300,SELL,200,2.55395932,2.55140536,510.28107214,5.00000000,0.51079186,T-1收盘价高于MA20
2016-04-21,A,510300,SELL,179700,2.64298271,2.64033973,474469.04899401,142.34071470,474.94399299,T-1收盘价不高于MA20
2016-05-04,A,510300,BUY,176600,2.68581444,2.68850025,474789.14493410,142.43674348,474.31483010,T-1收盘价高于MA20
2016-05-05,A,510300,SELL,200,2.68497466,2.68228969,536.45793707,5.00000000,0.53699493,T-1收盘价高于MA20
2016-05-09,A,510300,SELL,176400,2.62030671,2.61768640,461759.88154036,138.52796446,462.22210364,T-1收盘价不高于MA20
2016-06-01,A,510300,BUY,173300,2.66229924,2.66496154,461837.83475029,138.55135043,461.37645829,T-1收盘价高于MA20
2016-06-02,A,510300,SELL,100,2.65222089,2.64956867,264.95686691,5.00000000,0.26522209,T-1收盘价高于MA20
2016-06-14,A,510300,SELL,173200,2.57411593,2.57154181,445391.04219692,133.61731266,445.83687908,T-1收盘价不高于MA20
2016-06-16,A,510300,BUY,169700,2.62198652,2.62460851,445396.06355644,133.61881907,444.95111244,T-1收盘价高于MA20
2016-06-17,A,510300,SELL,169700,2.60854897,2.60594042,442228.08944879,132.66842683,442.67076021,T-1收盘价不高于MA20
2016-06-20,A,510300,BUY,168500,2.62030663,2.62292694,441963.18882216,132.58895665,441.52166715,T-1收盘价高于MA20
2016-06-21,A,510300,SELL,100,2.62870591,2.62607720,262.60772041,5.00000000,0.26287059,T-1收盘价高于MA20
2016-06-22,A,510300,SELL,168400,2.61106846,2.60845739,439264.22473534,131.77926742,439.70392866,T-1收盘价不高于MA20
2016-06-23,A,510300,BUY,167000,2.62870510,2.63133381,439432.74545170,131.82982364,438.99375170,T-1收盘价高于MA20
2016-06-24,A,510300,SELL,167000,2.62030654,2.61768623,437153.60098782,131.14608030,437.59119218,T-1收盘价不高于MA20
2016-06-28,A,510300,BUY,166700,2.61694731,2.61956426,436681.36169358,131.00440851,436.24511658,T-1收盘价高于MA20
2016-06-29,A,510300,SELL,100,2.64130311,2.63866181,263.86618069,5.00000000,0.26413031,T-1收盘价高于MA20
2016-07-28,A,510300,SELL,166600,2.72528677,2.72256148,453578.74310612,136.07362293,454.03277588,T-1收盘价不高于MA20
2016-08-09,A,510300,BUY,164400,2.75720113,2.75995833,453737.14963777,136.12114489,453.28386577,T-1收盘价高于MA20
2016-08-10,A,510300,SELL,200,2.77483761,2.77206277,554.41255448,5.00000000,0.55496752,T-1收盘价高于MA20
