Date,Strategy,Cash,MarketValue,NAV,Exposure,Signal,Selected,Stop,MAFast,MASlow,ATR,Cooldown,Return,PeakNAV,Drawdown
2016-01-04,B,365906.57910988,125372.00332800,491278.58243788,0.25519534,LONG,510300,3.00838230,3.18647625,3.12235099,0.05820052,0,0.00000000,491278.58243788,0.00000000
2016-01-05,B,488707.09891822,0.00000000,488707.09891822,0.00000000,CASH,CASH,,3.16274962,3.11435944,0.06493823,0,-0.00523427,491278.58243788,-0.00523427
2016-01-06,B,385411.77018115,104829.32439000,490241.09457115,0.21383218,LONG,510300,2.77925910,3.13009453,3.10667102,0.06890646,0,0.00313889,491278.58243788,-0.00211181
2016-01-07,B,385411.77018115,101961.28789800,487373.05807915,0.20920584,LONG,510300,2.82346745,3.10157297,3.10041558,0.06890645,0,-0.00585026,491278.58243788,-0.00794971
2016-01-08,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,3.06536302,3.09082572,0.07432142,0,-0.00021195,491278.58243788,-0.00815998
2016-01-11,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,3.02675562,3.07963756,0.07915768,0,0.00000000,491278.58243788,-0.00815998
2016-01-12,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.97202733,3.06930366,0.08432463,0,0.00000000,491278.58243788,-0.00815998
2016-01-13,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.92887297,3.05957603,0.08134847,0,0.00000000,491278.58243788,-0.00815998
2016-01-14,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.87910495,3.04783672,0.08399394,0,0.00000000,491278.58243788,-0.00815998
2016-01-15,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.83388383,3.03328660,0.08841685,0,0.00000000,491278.58243788,-0.00815998
2016-01-18,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.78353705,3.01587054,0.08998761,0,0.00000000,491278.58243788,-0.00815998
2016-01-19,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.75344479,3.00049371,0.09114501,0,0.00000000,491278.58243788,-0.00815998
2016-01-20,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.73153691,2.98745921,0.08982228,0,0.00000000,491278.58243788,-0.00815998
2016-01-21,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.70155477,2.97473702,0.09073694,0,0.00000000,491278.58243788,-0.00815998
2016-01-22,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.67203190,2.95932955,0.09330110,0,0.00000000,491278.58243788,-0.00815998
2016-01-25,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.65131159,2.94495482,0.09339495,0,0.00000000,491278.58243788,-0.00815998
2016-01-26,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.64606647,2.93141202,0.09409178,0,0.00000000,491278.58243788,-0.00815998
2016-01-27,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.62413874,2.90985579,0.09690330,0,0.00000000,491278.58243788,-0.00815998
2016-01-28,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.60324371,2.88839578,0.10088207,0,0.00000000,491278.58243788,-0.00815998
2016-01-29,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.57259343,2.86514454,0.10346788,0,0.00000000,491278.58243788,-0.00815998
2016-02-01,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.55668232,2.84223188,0.10610619,0,0.00000000,491278.58243788,-0.00815998
2016-02-02,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.53791830,2.81803757,0.09904765,0,0.00000000,491278.58243788,-0.00815998
2016-02-03,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.51683831,2.79282325,0.09599606,0,0.00000000,491278.58243788,-0.00815998
2016-02-04,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.49810984,2.76707919,0.09545545,0,0.00000000,491278.58243788,-0.00815998
2016-02-05,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.49029927,2.74256473,0.09007199,0,0.00000000,491278.58243788,-0.00815998
2016-02-15,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.47702973,2.71836564,0.08356527,0,0.00000000,491278.58243788,-0.00815998
2016-02-16,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.46182861,2.69330747,0.07910499,0,0.00000000,491278.58243788,-0.00815998
2016-02-17,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.46854732,2.67385301,0.07995142,0,0.00000000,491278.58243788,-0.00815998
2016-02-18,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.48055706,2.65430191,0.07716883,0,0.00000000,491278.58243788,-0.00815998
2016-02-19,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.49735389,2.63461038,0.07323212,0,0.00000000,491278.58243788,-0.00815998
2016-02-22,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.50667610,2.61563183,0.07003485,0,0.00000000,491278.58243788,-0.00815998
2016-02-23,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.52397690,2.60511333,0.06958806,0,0.00000000,491278.58243788,-0.00815998
2016-02-24,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.53405500,2.59414341,0.06701937,0,0.00000000,491278.58243788,-0.00815998
2016-02-25,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.54724055,2.58230172,0.06672543,0,0.00000000,491278.58243788,-0.00815998
2016-02-26,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.54052181,2.56761766,0.07050474,0,0.00000000,491278.58243788,-0.00815998
2016-02-29,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.53909409,2.55581180,0.06949692,0,0.00000000,491278.58243788,-0.00815998
2016-03-01,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.53279529,2.54689679,0.07235239,0,0.00000000,491278.58243788,-0.00815998
2016-03-02,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.52389298,2.53885968,0.06983290,0,0.00000000,491278.58243788,-0.00815998
2016-03-03,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.52338905,2.53572994,0.06966492,0,0.00000000,491278.58243788,-0.00815998
2016-03-04,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.52280116,2.53091616,0.06777528,0,0.00000000,491278.58243788,-0.00815998
2016-03-07,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.52599261,2.52978368,0.06605360,0,0.00000000,491278.58243788,-0.00815998
2016-03-08,B,487269.75871297,0.00000000,487269.75871297,0.00000000,CASH,CASH,,2.52590864,2.52926795,0.06731337,0,0.00000000,491278.58243788,-0.00815998
2016-03-09,B,396426.60958749,90814.62320000,487241.23278749,0.18638534,LONG,510300,2.45964500,2.52691646,2.52593659,0.06857313,0,-0.00005854,491278.58243788,-0.00821805
2016-03-10,B,487004.10193125,0.00000000,487004.10193125,0.00000000,CASH,CASH,,2.52212932,2.52249324,0.06974891,0,-0.00048668,491278.58243788,-0.00870073
2016-03-11,B,400798.26785103,86642.80837600,487441.07622703,0.17775032,LONG,510300,2.38246354,2.53052776,2.52044961,0.07063075,0,0.00089727,491278.58243788,-0.00781126
2016-03-14,B,400798.26785103,88520.67960800,489318.94745903,0.18090589,LONG,510300,2.38246354,2.53607075,2.51739819,0.07155456,0,0.00385251,491278.58243788,-0.00398885
2016-03-15,B,400798.26785103,88231.76983200,489030.03768303,0.18042198,LONG,510300,2.42705906,2.55286758,2.51583049,0.07310825,0,-0.00059043,491278.58243788,-0.00457692
2016-03-16,B,400798.26785103,88809.58904000,489607.85689103,0.18138922,LONG,510300,2.42705906,2.56428940,2.51890990,0.07117662,0,0.00118156,491278.58243788,-0.00340077
2016-03-17,B,400798.26785103,90254.12037600,491052.38822703,0.18379734,LONG,510300,2.43806109,2.56638901,2.52344504,0.07180650,0,0.00295038,491278.58243788,-0.00046042
2016-03-18,B,400798.26785103,91525.30254400,492323.57039503,0.18590477,LONG,510300,2.47677787,2.57327573,2.53114359,0.07344421,0,0.00258869,492323.57039503,0.00000000
2016-03-21,B,400798.26785103,93547.62832000,494345.89617103,0.18923517,LONG,510300,2.51095937,2.58075030,2.53780634,0.07482995,0,0.00410772,494345.89617103,0.00000000
2016-03-22,B,400798.26785103,92912.04532000,493710.31317103,0.18819142,LONG,510300,2.56815225,2.59208810,2.54732455,0.07562778,0,-0.00128571,494345.89617103,-0.00128571
2016-03-23,B,400798.26785103,93085.38623200,493883.65408303,0.18847635,LONG,510300,2.56815225,2.60250213,2.55449119,0.07457798,0,0.00035110,494345.89617103,-0.00093506
2016-03-24,B,400798.26785103,91640.87140800,492439.13925903,0.18609583,LONG,510300,2.56815225,2.61728335,2.56221774,0.07390609,0,-0.00292481,494345.89617103,-0.00385713
2016-03-25,B,400798.26785103,92016.43891200,492814.70676303,0.18671610,LONG,510300,2.56815225,2.63130872,2.56745277,0.06693536,0,0.00076267,494345.89617103,-0.00309740
2016-03-28,B,400798.26785103,91149.72678400,491947.99463503,0.18528326,LONG,510300,2.56815225,2.64692974,2.57403153,0.06605353,0,-0.00175870,494345.89617103,-0.00485066
2016-03-29,B,400798.26785103,90398.56666400,491196.83451503,0.18403736,LONG,510300,2.56815225,2.65457232,2.58007840,0.06416389,0,-0.00152691,494345.89617103,-0.00637016
2016-03-30,B,400798.26785103,92883.16755200,493681.43540303,0.18814393,LONG,510300,2.56815225,2.66087115,2.58301784,0.06109845,0,0.00505826,494345.89617103,-0.00134412
2016-03-31,B,400798.26785103,92709.81012800,493508.07797903,0.18785875,LONG,510300,2.58201035,2.67271295,2.58749701,0.05904087,0,-0.00035115,494345.89617103,-0.00169480
2016-04-01,B,400798.26785103,92998.72816000,493796.99601103,0.18833393,LONG,510300,2.58201035,2.67985158,2.59197616,0.05841099,0,0.00058544,494345.89617103,-0.00111036
2016-04-05,B,400798.26785103,93894.32631200,494692.59416303,0.18980338,LONG,510300,2.58721733,2.68413479,2.59695923,0.05811704,0,0.00181370,494692.59416303,0.00000000
2016-04-06,B,400798.26785103,93720.98540000,494519.25325103,0.18951939,LONG,510300,2.61619161,2.68514264,2.60104646,0.05664731,0,-0.00035040,494692.59416303,-0.00035040
2016-04-07,B,400798.26785103,92565.36384000,493363.63169103,0.18762097,LONG,510300,2.61787139,2.68749421,2.60563760,0.05328793,0,-0.00233686,494692.59416303,-0.00268644
2016-04-08,B,400798.26785103,91785.31769600,492583.58554703,0.18633450,LONG,510300,2.61787139,2.68598252,2.60846506,0.05253206,0,-0.00158108,494692.59416303,-0.00426327
2016-04-11,B,400798.26785103,92796.47645600,493594.74430703,0.18800135,LONG,510300,2.61787139,2.68640242,2.61607963,0.05190218,0,0.00205277,494692.59416303,-0.00221926
2016-04-12,B,400798.26785103,92680.91619200,493479.18404303,0.18781120,LONG,510300,2.61787139,2.68866997,2.62389015,0.05240608,0,-0.00023412,494692.59416303,-0.00245286
2016-04-13,B,400798.26785103,93865.44028800,494663.70813903,0.18975607,LONG,510300,2.61787139,2.69312110,2.63352033,0.04925669,0,0.00240035,494692.59416303,-0.00005839
2016-04-14,B,400798.26785103,94212.11351200,495010.38136303,0.19032351,LONG,510300,2.62719368,2.70319922,2.64278659,0.05072642,0,0.00070083,495010.38136303,0.00000000
2016-04-15,B,400798.26785103,94298.78809600,495097.05594703,0.19046526,LONG,510300,2.63928701,2.70706244,2.64872147,0.04971861,0,0.00017510,495097.05594703,0.00000000
2016-04-18,B,400798.26785103,92969.83388000,493768.10173103,0.18828643,LONG,510300,2.64709764,2.71168156,2.65493629,0.04707310,0,-0.00268423,495097.05594703,-0.00268423
2016-04-19,B,400798.26785103,93085.38623200,493883.65408303,0.18847635,LONG,510300,2.64709764,2.71159756,2.65882755,0.04623324,0,0.00023402,495097.05594703,-0.00245084
2016-04-20,B,400798.26785103,91467.51398400,492265.78183503,0.18580921,LONG,510300,2.64709764,2.70924599,2.66215891,0.04379771,0,-0.00327582,495097.05594703,-0.00571862
2016-04-21,B,400798.26785103,91034.16617600,491832.43402703,0.18509183,LONG,510300,2.64709764,2.70269520,2.66423051,0.04879476,0,-0.00088031,495097.05594703,-0.00659390
2016-04-22,B,491425.58264129,0.00000000,491425.58264129,0.00000000,CASH,CASH,,2.69824405,2.66716997,0.04925668,0,-0.00082722,495097.05594703,-0.00741566
2016-04-25,B,357367.91524005,133544.94854400,490912.86378405,0.27203392,LONG,510300,2.56165503,2.69723623,2.67164912,0.04871080,0,-0.00104333,495097.05594703,-0.00845126
2016-04-26,B,357367.91524005,134306.86550400,491674.78074405,0.27316200,LONG,510300,2.56165503,2.69244917,2.67601629,0.04950864,0,0.00155204,495097.05594703,-0.00691233
2016-04-27,B,357367.91524005,133671.92479200,491039.84003205,0.27222216,LONG,510300,2.56890889,2.68950977,2.67906773,0.04795493,0,-0.00129138,495097.05594703,-0.00819479
2016-04-28,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.68186719,2.68197919,0.04677915,0,-0.00026769,495097.05594703,-0.00846029
2016-04-29,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.67304890,2.68427476,0.04463753,0,0.00000000,495097.05594703,-0.00846029
2016-05-03,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.66364274,2.68505863,0.04404963,0,0.00000000,495097.05594703,-0.00846029
2016-05-04,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.66322282,2.68631839,0.04459553,0,0.00000000,495097.05594703,-0.00846029
2016-05-05,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.66145916,2.68528260,0.04287385,0,0.00000000,495097.05594703,-0.00846029
2016-05-06,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.66439862,2.68486268,0.04278987,0,0.00000000,495097.05594703,-0.00846029
2016-05-09,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.66246698,2.68223118,0.04333578,0,0.00000000,495097.05594703,-0.00846029
2016-05-10,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.65398457,2.67920774,0.04417563,0,0.00000000,495097.05594703,-0.00846029
2016-05-11,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.64609008,2.67573640,0.04216002,0,0.00000000,495097.05594703,-0.00846029
2016-05-12,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.63769162,2.67344083,0.04236998,0,0.00000000,495097.05594703,-0.00846029
2016-05-13,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.63147681,2.67218107,0.04127817,0,0.00000000,495097.05594703,-0.00846029
2016-05-16,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.62450609,2.66820581,0.04161411,0,0.00000000,495097.05594703,-0.00846029
2016-05-17,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.61887913,2.66473448,0.04257993,0,0.00000000,495097.05594703,-0.00846029
2016-05-18,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.60770922,2.66084320,0.04182410,0,0.00000000,495097.05594703,-0.00846029
2016-05-19,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.59586744,2.65552420,0.04241200,0,0.00000000,495097.05594703,-0.00846029
2016-05-20,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.58352175,2.65020519,0.03766689,0,0.00000000,495097.05594703,-0.00846029
2016-05-23,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.57898660,2.64656588,0.03678505,0,0.00000000,495097.05594703,-0.00846029
2016-05-24,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.58024640,2.64382240,0.03649111,0,0.00000000,495097.05594703,-0.00846029
2016-05-25,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.58016238,2.63956721,0.03552531,0,0.00000000,495097.05594703,-0.00846029
2016-05-26,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.57890260,2.63536800,0.03523137,0,0.00000000,495097.05594703,-0.00846029
2016-05-27,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.57671897,2.63002099,0.03594524,0,0.00000000,495097.05594703,-0.00846029
2016-05-30,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.57562718,2.62439406,0.03527338,0,0.00000000,495097.05594703,-0.00846029
2016-05-31,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.57369549,2.61873912,0.03615522,0,0.00000000,495097.05594703,-0.00846029
2016-06-01,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.58117008,2.61736737,0.03741499,0,0.00000000,495097.05594703,-0.00846029
2016-06-02,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.58923259,2.61551973,0.03703707,0,0.00000000,495097.05594703,-0.00846029
2016-06-03,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.59805095,2.61532377,0.03682711,0,0.00000000,495097.05594703,-0.00846029
2016-06-06,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.60829704,2.61658354,0.03548336,0,0.00000000,495097.05594703,-0.00846029
2016-06-07,B,490908.39364744,0.00000000,490908.39364744,0.00000000,CASH,CASH,,2.61652746,2.61691948,0.03371968,0,0.00000000,495097.05594703,-0.00846029
2016-06-08,B,294460.81603659,196130.66073600,490591.47677259,0.39978408,LONG,510300,2.60164069,2.62635362,2.61753536,0.03334175,0,-0.00064557,495097.05594703,-0.00910040
2016-06-13,B,294460.81603659,189702.14748800,484162.96352459,0.39181466,LONG,510300,2.60164069,2.63601186,2.61753536,0.03308980,0,-0.01310360,495097.05594703,-0.02208475
2016-06-14,B,483669.51390889,0.00000000,483669.51390889,0.00000000,CASH,CASH,,2.63693571,2.61504383,0.03523141,0,-0.00101918,495097.05594703,-0.02308142
2016-06-15,B,302571.34934905,184646.97433600,487218.32368505,0.37898200,LONG,510300,2.51969406,2.63878341,2.61297223,0.03434957,0,0.00733726,495097.05594703,-0.01591351
2016-06-16,B,302571.34934905,183523.60998400,486094.95933305,0.37754683,LONG,510300,2.54950808,2.64390647,2.61216036,0.03665913,0,-0.00230567,495097.05594703,-0.01818249
2016-06-17,B,302571.34934905,184292.23014400,486863.57949305,0.37852951,LONG,510300,2.54950808,2.63844752,2.60910894,0.03632319,0,0.00158121,495097.05594703,-0.01663003
2016-06-20,B,302571.34934905,184351.34572800,486922.69507705,0.37860496,LONG,510300,2.54950808,2.63517213,2.60675739,0.03573530,0,0.00012142,495097.05594703,-0.01651062
2016-06-21,B,302571.34934905,183937.51974400,486508.86909305,0.37807640,LONG,510300,2.54950808,2.63172877,2.60443382,0.03565132,0,-0.00084988,495097.05594703,-0.01734647
2016-06-22,B,302571.34934905,185060.85030400,487632.19965305,0.37950909,LONG,510300,2.54950808,2.62459016,2.60395793,0.03691110,0,0.00230896,495097.05594703,-0.01507756
2016-06-23,B,302571.34934905,184469.57689600,487040.92624505,0.37875580,LONG,510300,2.55446312,2.62064290,2.60580559,0.03712107,0,-0.00121254,495097.05594703,-0.01627182
2016-06-24,B,302571.34934905,182518.45990400,485089.80925305,0.37625705,LONG,510300,2.55446312,2.61585576,2.60745726,0.03712105,0,-0.00400606,495097.05594703,-0.02021270
2016-06-27,B,302571.34934905,184824.33798400,487395.68733305,0.37920799,LONG,510300,2.55446312,2.60863306,2.60784918,0.03980855,0,0.00475351,495097.05594703,-0.01555527
2016-06-28,B,302571.34934905,185770.33868800,488341.68803705,0.38041057,LONG,510300,2.55446312,2.61342015,2.60902495,0.04001852,0,0.00194093,495097.05594703,-0.01364453
2016-06-29,B,302571.34934905,186598.10822400,489169.45757305,0.38145903,LONG,510300,2.55689854,2.61845915,2.61095658,0.04094234,0,0.00169506,495097.05594703,-0.01197260
2016-06-30,B,302571.34934905,186893.71923200,489465.06858105,0.38183260,LONG,510300,2.57042028,2.62123065,2.61294421,0.04006052,0,0.00060431,495097.05594703,-0.01137552
2016-07-01,B,302571.34934905,186716.33939200,489287.68874105,0.38160850,LONG,510300,2.58242985,2.62601774,2.61521178,0.03615524,0,-0.00036240,495097.05594703,-0.01173379
2016-07-04,B,302571.34934905,189849.95251200,492421.30186105,0.38554374,LONG,510300,2.58242985,2.62946107,2.61795526,0.03611325,0,0.00640444,495097.05594703,-0.00540450
2016-07-05,B,302571.34934905,190322.97856000,492894.32790905,0.38613343,LONG,510300,2.61904680,2.63727160,2.62235044,0.03884274,0,0.00096061,495097.05594703,-0.00444908
2016-07-06,B,302571.34934905,191268.94547200,493840.29482105,0.38730931,LONG,510300,2.62794951,2.64634185,2.62640968,0.03775094,0,0.00191921,495097.05594703,-0.00253841
2016-07-07,B,302571.34934905,191505.47468800,494076.82403705,0.38760263,LONG,510300,2.64138656,2.65516017,2.63077684,0.03775093,0,0.00047896,495097.05594703,-0.00206067
2016-07-08,B,302571.34934905,190795.97011200,493367.31946105,0.38672195,LONG,510300,2.64315065,2.66515434,2.63578791,0.03854879,0,-0.00143602,495097.05594703,-0.00349373
2016-07-11,B,302571.34934905,191268.94547200,493840.29482105,0.38730931,LONG,510300,2.64315065,2.67691217,2.64051903,0.03800290,0,0.00095867,495097.05594703,-0.00253841
2016-07-12,B,302571.34934905,196117.19635200,498688.54570105,0.39326589,LONG,510300,2.64583776,2.68606644,2.64547410,0.03552534,0,0.00981745,498688.54570105,0.00000000
2016-07-13,B,302571.34934905,196531.03923200,499102.38858105,0.39376898,LONG,510300,2.70924598,2.70076368,2.65266875,0.03825483,0,0.00082986,499102.38858105,0.00000000
2016-07-14,B,302571.34934905,196235.42752000,498806.77686905,0.39340971,LONG,510300,2.72083536,2.71487296,2.66000336,0.03539936,0,-0.00059229,499102.38858105,-0.00059229
2016-07-15,B,302571.34934905,196471.94054400,499043.28989305,0.39369719,LONG,510300,2.72083536,2.72814243,2.66420256,0.03502144,0,0.00047416,499102.38858105,-0.00011841
2016-07-18,B,302571.34934905,195762.43596800,498333.78531705,0.39283396,LONG,510300,2.72234743,2.74199982,2.66887767,0.03422359,0,-0.00142173,499102.38858105,-0.00153997
2016-07-19,B,302571.34934905,194757.31968000,497328.66902905,0.39160686,LONG,510300,2.72234743,2.75039823,2.67313286,0.03392963,0,-0.00201695,499102.38858105,-0.00355382
2016-07-20,B,302571.34934905,194343.45990400,496914.80925305,0.39110016,LONG,510300,2.72234743,2.75669701,2.67587634,0.03258588,0,-0.00083217,499102.38858105,-0.00438303
2016-07-21,B,302571.34934905,195407.72556800,497979.07491705,0.39240148,LONG,510300,2.72234743,2.76106422,2.67895576,0.03187201,0,0.00214175,499102.38858105,-0.00225067
2016-07-22,B,302571.34934905,193693.08780800,496264.43715705,0.39030217,LONG,510300,2.72234743,2.76660719,2.68253910,0.03212397,0,-0.00344319,499102.38858105,-0.00568611
2016-07-25,B,302571.34934905,193633.97222400,496205.32157305,0.39022954,LONG,510300,2.72234743,2.77072241,2.68542255,0.02939449,0,-0.00011912,499102.38858105,-0.00580455
2016-07-26,B,302571.34934905,196117.19635200,498688.54570105,0.39326589,LONG,510300,2.72234743,2.77408183,2.69118947,0.02834469,0,0.00500443,499102.38858105,-0.00082917
2016-07-27,B,302571.34934905,192510.59097600,495081.94032505,0.38884592,LONG,510300,2.72915024,2.77408183,2.69776822,0.02830270,0,-0.00723218,499102.38858105,-0.00805536
2016-07-28,B,302571.34934905,193042.69881600,495614.04816505,0.38950207,LONG,510300,2.72915024,2.76837096,2.70149152,0.03220794,0,0.00107479,499102.38858105,-0.00698923
2016-07-29,B,302571.34934905,192392.35980800,494963.70915705,0.38869993,LONG,510300,2.72915024,2.76383584,2.70599867,0.03317376,0,-0.00131219,499102.38858105,-0.00829225
2016-08-01,B,302571.34934905,190795.97011200,493367.31946105,0.38672195,LONG,510300,2.72915024,2.75804098,2.70983396,0.03355168,0,-0.00322527,499102.38858105,-0.01149077
2016-08-02,B,493060.28068850,0.00000000,493060.28068850,0.00000000,CASH,CASH,,2.75098634,2.71288539,0.03191400,0,-0.00062233,499102.38858105,-0.01210595
