date,strategy,symbol,side,shares,raw_price,fill_price,gross_value,commission,slippage_cost,reason
2016-01-04,B,510300,BUY,42900,3.12166167,3.12478333,134053.20492864,40.21596148,133.91928564,MA10高于MA30且风控允许
2016-01-05,B,510300,SELL,42900,2.86620819,2.86334198,122837.37101965,36.85121131,122.96033135,T-1收盘价触发ATR移动止损
2016-01-06,B,510300,BUY,35400,2.91415786,2.91707202,103264.34943224,30.97930483,103.16118824,MA10高于MA30且风控允许
2016-01-08,B,510300,SELL,35400,2.88108886,2.87820777,101888.55509836,30.56656653,101.99054564,MA10不高于MA30
2016-03-09,B,510300,BUY,35500,2.55563885,2.55819449,90815.90435417,27.24477131,90.72517917,MA10高于MA30且风控允许
2016-03-10,B,510300,SELL,35500,2.55479913,2.55224433,90604.67374589,27.18140212,90.69536911,MA10不高于MA30
2016-03-11,B,510300,BUY,34400,2.50272925,2.50523198,86179.98008620,25.85399403,86.09388620,MA10高于MA30且风控允许
2016-04-22,B,510300,SELL,34400,2.63794350,2.63530556,90654.51114360,27.19635334,90.74525640,T-1收盘价触发ATR移动止损
2016-04-25,B,510300,BUY,50400,2.65642021,2.65907663,134017.46216258,40.20523865,133.88357858,MA10高于MA30且风控允许
2016-04-28,B,510300,SELL,50400,2.65306085,2.65040779,133580.55257316,40.07416577,133.71426684,MA10不高于MA30
2016-06-08,B,510300,BUY,73600,2.66565854,2.66832420,196388.66101254,58.91659830,196.19246854,MA10高于MA30且风控允许
2016-06-14,B,510300,SELL,73600,2.57411593,2.57154181,189265.47751555,56.77964325,189.45493245,T-1收盘价触发ATR移动止损
2016-06-15,B,510300,BUY,70400,2.56907654,2.57164562,181043.85140442,54.31315542,180.86298842,MA10高于MA30且风控允许
2016-08-02,B,510300,SELL,70400,2.70933000,2.70662067,190546.09516800,57.16382855,190.73683200,T-1收盘价触发ATR移动止损
2016-08-03,B,510300,BUY,76500,2.71268959,2.71540228,207728.27438863,62.31848232,207.52075363,MA10高于MA30且风控允许
2016-08-10,B,510300,SELL,76500,2.77483761,2.77206277,212062.80208784,63.61884063,212.27507717,MA10不高于MA30
