Date,Strategy,Cash,MarketValue,NAV,Exposure,Signal,Selected,Stop,Score510300,Score510500,Score159915,Return,PeakNAV,Drawdown
2016-01-04,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,,,0.00000000,500000.00000000,0.00000000
2016-01-05,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,,,,0.00000000,500000.00000000,0.00000000
2016-01-06,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.12289991,-0.13673398,-0.40075528,0.00000000,500000.00000000,0.00000000
2016-01-07,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.12289991,-0.13673398,-0.40075528,0.00000000,500000.00000000,0.00000000
2016-01-08,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.12289991,-0.13673398,-0.40075528,0.00000000,500000.00000000,0.00000000
2016-01-11,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.12289991,-0.13673398,-0.40075528,0.00000000,500000.00000000,0.00000000
2016-01-12,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.12289991,-0.13673398,-0.40075528,0.00000000,500000.00000000,0.00000000
2016-01-13,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.87778229,-0.85180974,-0.86721732,0.00000000,500000.00000000,0.00000000
2016-01-14,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.87778229,-0.85180974,-0.86721732,0.00000000,500000.00000000,0.00000000
2016-01-15,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.87778229,-0.85180974,-0.86721732,0.00000000,500000.00000000,0.00000000
2016-01-18,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.87778229,-0.85180974,-0.86721732,0.00000000,500000.00000000,0.00000000
2016-01-19,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.87778229,-0.85180974,-0.86721732,0.00000000,500000.00000000,0.00000000
2016-01-20,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.84877315,-0.85009144,-0.71040142,0.00000000,500000.00000000,0.00000000
2016-01-21,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.84877315,-0.85009144,-0.71040142,0.00000000,500000.00000000,0.00000000
2016-01-22,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.84877315,-0.85009144,-0.71040142,0.00000000,500000.00000000,0.00000000
2016-01-25,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.84877315,-0.85009144,-0.71040142,0.00000000,500000.00000000,0.00000000
2016-01-26,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.84877315,-0.85009144,-0.71040142,0.00000000,500000.00000000,0.00000000
2016-01-27,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.63822340,-0.50732029,-0.22454787,0.00000000,500000.00000000,0.00000000
2016-01-28,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.63822340,-0.50732029,-0.22454787,0.00000000,500000.00000000,0.00000000
2016-01-29,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.63822340,-0.50732029,-0.22454787,0.00000000,500000.00000000,0.00000000
2016-02-01,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.63822340,-0.50732029,-0.22454787,0.00000000,500000.00000000,0.00000000
2016-02-02,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.63822340,-0.50732029,-0.22454787,0.00000000,500000.00000000,0.00000000
2016-02-03,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.63034493,-0.55358552,-0.33280326,0.00000000,500000.00000000,0.00000000
2016-02-04,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.63034493,-0.55358552,-0.33280326,0.00000000,500000.00000000,0.00000000
2016-02-05,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.63034493,-0.55358552,-0.33280326,0.00000000,500000.00000000,0.00000000
2016-02-15,C,500000.00000000,0.00000000,500000.00000000,0.00000000,CASH,CASH,,-0.63034493,-0.55358552,-0.33280326,0.00000000,500000.00000000,0.00000000
