date,strategy,symbol,side,shares,raw_price,fill_price,gross_value,commission,slippage_cost,reason
2016-02-17,C,159915,BUY,118900,2.09899998,2.10109898,249820.66871962,74.94620062,249.57109762,周度动量最高：159915
2016-02-24,C,159915,SELL,100,2.10200000,2.09989800,209.98980000,5.00000000,0.21020000,周度再平衡至50%目标仓位
2016-03-02,C,159915,SELL,118800,1.82299995,1.82117695,216355.82166594,64.90674650,216.57239406,三只ETF动量均不为正
2016-03-09,C,510300,BUY,91100,2.55563885,2.55819449,233051.51793423,69.91545538,232.81869923,周度动量最高：510300
2016-03-23,C,510300,SELL,91100,2.69841210,2.69571369,245579.51696769,73.67385509,245.82534231,周度动量最高：159915
2016-03-23,C,159915,BUY,113900,2.09999990,2.10209990,239429.17859861,71.82875358,239.18998861,周度动量最高：159915
2016-03-30,C,159915,BUY,1100,2.05800009,2.06005809,2266.06389910,5.00000000,2.26380010,周度动量最高：159915
2016-04-06,C,159915,SELL,115000,2.16799998,2.16583198,249070.67770230,74.72120331,249.31999770,周度动量最高：510500
2016-04-06,C,510500,BUY,45300,5.35731838,5.36267570,242929.20913661,72.87876274,242.68652261,周度动量最高：510500
2016-04-13,C,510500,SELL,200,5.38287385,5.37749098,1075.49819523,5.00000000,1.07657477,周度再平衡至50%目标仓位
2016-04-20,C,510500,SELL,100,5.40841882,5.40301040,540.30104012,5.00000000,0.54084188,周度再平衡至50%目标仓位
2016-04-27,C,510500,SELL,45000,5.18094458,5.17576364,232909.36359390,69.87280908,233.14250610,三只ETF动量均不为正
2016-06-01,C,159915,BUY,115400,2.06699991,2.06906691,238770.32140361,71.63109642,238.53178961,周度动量最高：159915
2016-06-08,C,159915,SELL,800,2.09100008,2.08890908,1671.12726394,5.00000000,1.67280006,周度再平衡至50%目标仓位
2016-06-15,C,159915,SELL,114600,1.95099998,1.94904898,223361.01311029,67.00830393,223.58459771,周度动量最高：510500
2016-06-15,C,510500,BUY,47200,4.89906505,4.90396412,231467.10623036,69.44013187,231.23587036,周度动量最高：510500
2016-06-22,C,510500,SELL,800,5.06308162,5.05801854,4046.41483070,5.00000000,4.05046530,周度再平衡至50%目标仓位
2016-06-29,C,510500,SELL,900,5.26912689,5.26385776,4737.47198680,5.00000000,4.74221420,周度再平衡至50%目标仓位
2016-07-06,C,510500,SELL,45500,5.39440960,5.38901519,245200.19116320,73.56005735,245.44563680,周度动量最高：159915
2016-07-06,C,159915,BUY,113200,2.14499998,2.14714498,243056.81173374,72.91704352,242.81399774,周度动量最高：159915
2016-07-13,C,159915,SELL,113200,2.16000009,2.15784009,244267.49817781,73.28024945,244.51201019,周度动量最高：510500
