Date,Open,High,Low,Close,Volume,Source
2015-01-05,3566.08900000,3669.04200000,3551.51000000,3641.54100000,45119811200.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-06,3608.42800000,3683.22600000,3587.23100000,3641.05900000,42096217600.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-07,3620.92400000,3671.19000000,3601.69800000,3643.79000000,32019123200.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-08,3650.07300000,3659.94500000,3552.10000000,3559.25900000,29500304000.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-09,3547.57400000,3689.75300000,3536.39500000,3546.72300000,34998265600.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-12,3531.51500000,3560.52700000,3461.32200000,3513.57600000,26656716800.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-13,3506.45100000,3550.15800000,3494.76800000,3514.04000000,18715396800.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-14,3522.90700000,3547.24200000,3471.56000000,3502.42300000,19601251200.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-15,3501.71900000,3604.12100000,3482.27000000,3604.12100000,23781233600.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-16,3616.24800000,3662.15800000,3601.25800000,3635.14600000,28268160000.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-19,3414.01300000,3497.25200000,3330.98100000,3355.15500000,32950528000.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-20,3336.79300000,3419.20400000,3325.68100000,3396.22200000,29784323200.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-21,3420.49100000,3557.79400000,3409.43000000,3548.88500000,33792822400.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-22,3551.05200000,3576.75600000,3520.05300000,3567.61300000,26885360000.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-23,3582.08800000,3627.80600000,3548.62600000,3571.73200000,28017216000.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-26,3580.11800000,3611.61700000,3559.37600000,3607.98500000,23976620800.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-27,3614.03800000,3616.25800000,3510.01700000,3574.93100000,28766918400.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-28,3547.23900000,3583.31200000,3512.39300000,3525.32300000,21622020800.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-29,3474.91500000,3505.58200000,3453.90100000,3481.79800000,21161886400.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-01-30,3496.88500000,3514.21700000,3431.93600000,3434.39000000,19647915200.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-02-02,3360.19300000,3407.25600000,3347.08500000,3353.96000000,19518369600.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-02-03,3388.60200000,3441.70900000,3360.71700000,3437.44500000,19284609600.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-02-04,3446.14400000,3476.81700000,3399.56500000,3401.76800000,19130435200.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-02-05,3487.95100000,3487.95100000,3366.86200000,3366.94600000,25043060800.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
2015-02-06,3352.33000000,3374.05100000,3285.93500000,3312.42000000,19266419200.00000000,Sina via AKShare (unadjusted index); Eastmoney unavailable: ProxyError
