Date,Open,High,Low,Close,Volume,Source
2015-01-05,2.95273625,3.05497782,2.93555974,3.01653504,3075898438.00000000,Yahoo Finance chart API (adjusted)
2015-01-06,2.99772306,3.03289415,2.95437265,2.99608731,1602342411.00000000,Yahoo Finance chart API (adjusted)
2015-01-07,2.98136424,3.01817127,2.96500560,2.99526906,1704322177.00000000,Yahoo Finance chart API (adjusted)
2015-01-08,3.00344847,3.01162779,2.92001934,2.92983460,1236136569.00000000,Yahoo Finance chart API (adjusted)
2015-01-09,2.92165509,3.04679867,2.89711714,2.90856814,2078056281.00000000,Yahoo Finance chart API (adjusted)
2015-01-12,2.90938625,2.92819870,2.85213102,2.89957118,1382650488.00000000,Yahoo Finance chart API (adjusted)
2015-01-13,2.89711749,2.92492713,2.87257953,2.89384580,969740091.00000000,Yahoo Finance chart API (adjusted)
2015-01-14,2.89957052,2.92247253,2.85458418,2.88730145,963163112.00000000,Yahoo Finance chart API (adjusted)
2015-01-15,2.88730163,2.97400243,2.86603536,2.96909499,1311928040.00000000,Yahoo Finance chart API (adjusted)
2015-01-16,2.97972830,3.01408151,2.97154898,2.99526906,1313395824.00000000,Yahoo Finance chart API (adjusted)
2015-01-19,2.83740810,2.86194605,2.69590569,2.69590569,1276527273.00000000,Yahoo Finance chart API (adjusted)
2015-01-20,2.73641407,2.82239211,2.72980047,2.79593730,1700513729.00000000,Yahoo Finance chart API (adjusted)
2015-01-21,2.80585836,2.93978555,2.80337821,2.92407799,1388185591.00000000,Yahoo Finance chart API (adjusted)
2015-01-22,2.92903805,2.94970591,2.89431613,2.92903805,994191346.00000000,Yahoo Finance chart API (adjusted)
2015-01-23,2.94970615,2.98690803,2.91829103,2.94309235,974562336.00000000,Yahoo Finance chart API (adjusted)
2015-01-26,2.95962636,2.97616057,2.92821144,2.97120047,880206459.00000000,Yahoo Finance chart API (adjusted)
2015-01-27,2.97781390,2.98194755,2.88191544,2.94143867,1231244985.00000000,Yahoo Finance chart API (adjusted)
2015-01-28,2.91911775,2.95135952,2.88439603,2.89431643,958400896.00000000,Yahoo Finance chart API (adjusted)
2015-01-29,2.85628735,2.88356882,2.83727299,2.86372781,953056647.00000000,Yahoo Finance chart API (adjusted)
2015-01-30,2.88026238,2.89596994,2.81577884,2.82817960,1117981743.00000000,Yahoo Finance chart API (adjusted)
2015-02-02,2.77775024,2.80999201,2.75542907,2.76452303,858340407.00000000,Yahoo Finance chart API (adjusted)
2015-02-03,2.79676418,2.83975320,2.77196286,2.82983279,872503658.00000000,Yahoo Finance chart API (adjusted)
2015-02-04,2.84306019,2.86868836,2.79428441,2.79759121,1093056902.00000000,Yahoo Finance chart API (adjusted)
2015-02-05,2.87282206,2.87695571,2.76121603,2.76452303,1464772222.00000000,Yahoo Finance chart API (adjusted)
2015-02-06,2.76452269,2.77857675,2.70251931,2.72318697,1332376592.00000000,Yahoo Finance chart API (adjusted)
2015-02-09,2.72318707,2.78601712,2.71988027,2.75460219,1251856642.00000000,Yahoo Finance chart API (adjusted)
2015-02-10,2.75790905,2.81164534,2.75542890,2.80999184,1393534589.00000000,Yahoo Finance chart API (adjusted)
2015-02-11,2.81329889,2.83975351,2.81247204,2.82817960,1191126006.00000000,Yahoo Finance chart API (adjusted)
2015-02-12,2.82817924,2.84884710,2.80503123,2.83975315,778512221.00000000,Yahoo Finance chart API (adjusted)
2015-02-13,2.84636700,2.89596963,2.84636700,2.85794091,1081377591.00000000,Yahoo Finance chart API (adjusted)
